signal_id,marker_bar_timestamp,signal_type,direction,entry_price,stop,target,risk_points,atr_at_entry,exit_type,exit_timestamp,exit_price,realized_R,MFE_R,MAE_R,MFE_ATR,MAE_ATR,bars_held,max_forward_range,net_directional_move,total_absolute_move,directional_efficiency,movement_efficiency,fav_excursion_over_total,adv_excursion_over_total,time_near_entry_bars,direction_changes,max_consec_favorable,max_consec_adverse,bars_to_plus_0.25r,bars_to_plus_0.50r,bars_to_plus_1.00r,bars_to_plus_1.50r,bars_to_plus_2.00r,bars_to_target,bars_to_minus_0.25r,bars_to_minus_0.50r,bars_to_minus_1.00r,behavior_class,meaningful_expansion,candidate_id,candidate_ids,timestamp_ct,bar_index_x,open,high,low,close,signal_atr,source_displacement_time,source_displacement_high,source_displacement_low,source_displacement_midpoint,bos_or_reclaim_time,bos_level,retest_time,expiry_time,event_id,reclaim_level,body_atr,body_range,upper_wick_ratio,lower_wick_ratio,close_loc,range_atr,rel_volume,ret_1,ret_2,ret_3,ret_4,ret_8,mom_accel,consec_up,consec_down,dist_high_8_atr,dist_low_8_atr,break_high_8,break_low_8,dist_high_16_atr,dist_low_16_atr,break_high_16,break_low_16,dist_high_32_atr,dist_low_32_atr,break_high_32,break_low_32,impulse_3bar,pullback_from_high_8,pullback_from_low_8,disp_long,disp_short,mid_reclaim_up,mid_reclaim_down,ema8_slope,price_vs_ema8,price_vs_ema21,trend_agree,atr_percentile,atr_expansion,session_bucket,minutes_since_open,timestamp,bar_index_y,in_rth,avg_range_3_atr,avg_range_5_atr,avg_range_8_atr,atr_short_long_ratio,realized_vol_8,inside_bar_density_8,alternating_bars_8,overlap_density_5,dist_session_high_atr,dist_session_low_atr,session_travel_atr,pre_entry_efficiency_5,atr,pre_entry_move_3_atr,pre_entry_move_5_atr,day_of_week,dist_from_disp_mid_atr,dist_from_bos_atr,net_R
1,2017-10-02 15:00:00+00:00,S,Short,6001.0,6004.986336834279,5989.040989497162,3.9863368342794274,5.315115779039283,TARGET,2017-10-02 10:30:00-05:00,5989.040989497162,3.0,5.2679943700231675,0.8152848429797759,3.253100291803756,0.5680647355033241,2,16.0,-20.0,20.0,0.0,0.865979381443299,1.05,0.1625,0,1,2,0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,IMMEDIATE_EXPANSION,True,,,2017-10-02 15:00:00+00:00,68,6000.25,6003.0,5997.25,6001.0,5.315115779039283,2017-10-02 09:45:00-05:00,6008.5,5999.5,6004.0,2017-10-02 09:45:00-05:00,5999.5,2017-10-02 10:00:00-05:00,2017-10-02 11:00:00-05:00,MOMENTUM_DISPLACEMENT_2017-10-02 09:45:00-05:00_Short,,0.14110699205419075,0.13043478260869565,0.34782608695652173,0.5217391304347826,0.6521739130434783,1.0818202724154624,1.3738971958745805,0.00012499479188377016,-0.0006245055997335935,-0.0003331667499583135,-0.00012496355229729694,0.0019200267134151794,0.000874401511564038,1,0,-1.6462482406322254,-2.3988188649212425,0.0,0.0,-1.6462482406322254,-2.3988188649212425,0.0,0.0,-1.6462482406322254,-3.1984251532283237,0.0,0.0,0.37628531214450867,1.6462482406322254,2.3988188649212425,0.0,0.0,1.0,0.0,0.045998906627857813,0.1609961731978446,0.7737399435913016,True,,1.248839493517003,2.0,30.0,2017-10-02 10:00:00-05:00,68,True,1.4267484752145951,1.7873552326864162,1.5227796225848085,1.8385320638568732,0.0007001886036410971,0.125,4.0,1.0,1.6462482406322254,3.1984251532283237,4.844673393860549,-0.2682926829268293,5.315115779039283,0.37628531214450867,0.5173923041986994,0,0.564427968216763,-0.2822139841083815,2.818128765796819
2,2017-10-02 16:30:00+00:00,RL,Long,5974.90516475333,5969.230803078356,5989.091068940763,5.674361674973625,7.56581556663104,TIME,2017-10-02 12:15:00-05:00,5980.0,0.8978693179077242,1.4706209657862686,0.0,1.1639509090770332,0.0,3,5.75,5.0948352466703,5.5948352466703,0.9106318635034751,1.0,1.491524750730887,0.0,0,1,1,1,1.0,1.0,1.0,,,,,,,CLEAN_WINNER,True,3.0,3.0,2017-10-02 16:30:00+00:00,74,5975.0,5977.75,5973.25,5977.25,7.56581556663104,2017-10-02 10:45:00-05:00,5981.75,5966.5,5974.125,2017-10-02 11:15:00-05:00,,2017-10-02 11:30:00-05:00,2017-10-02 12:15:00-05:00,A_MID_4_2017-10-02 10:45:00-05:00_Long,5974.125,0.29739027870618523,0.5,0.1111111111111111,0.3888888888888889,0.8888888888888888,0.5947805574123705,0.7889834040153948,0.0003765690376569264,0.002053646269907894,0.0018017263052041432,-0.0006269854539374675,-0.004579707731379279,-0.0012998768969616492,2,0,-4.130420537585906,-2.4782523225515436,0.0,0.0,-4.295637359089342,-2.4782523225515436,0.0,0.0,-4.295637359089342,-2.4782523225515436,0.0,0.0,1.4208646649295518,4.130420537585906,2.4782523225515436,0.0,0.0,0.0,0.0,-0.12837931042859446,-0.4493275864998402,-1.3925175022464795,True,,1.3224224673000597,3.0,120.0,2017-10-02 11:30:00-05:00,74,True,1.7512983079364242,1.764515653656699,1.4415167676174814,2.253543840105995,0.0013960769354926293,0.0,4.0,1.0,4.295637359089342,2.4782523225515436,6.7738896816408865,-0.43352601156069365,7.5658155666310405,1.4208646649295518,-2.4782523225515436,0,0.10311707263531633,,0.7701016426117412
3,2017-10-03 16:15:00+00:00,L,Long,5995.75,5990.974812205785,6010.075563382645,4.775187794214617,6.36691705895304,TIME,2017-10-03 12:15:00-05:00,5994.25,-0.3141237715964441,0.6282475431928882,0.6806015051256289,0.48684407195513496,0.5758111939687902,4,4.5,-1.5,2.5,0.0,0.48,1.2,1.3,2,3,1,3,1.0,1.0,,,,,2.0,2.0,,IMMEDIATE_EXPANSION,False,,,2017-10-03 16:15:00+00:00,164,5997.75,5999.25,5994.25,5995.75,6.36691705895304,2017-10-03 11:00:00-05:00,5998.75,5991.5,5995.125,2017-10-03 11:00:00-05:00,5998.75,2017-10-03 11:15:00-05:00,2017-10-03 12:15:00-05:00,MOMENTUM_DISPLACEMENT_2017-10-03 11:00:00-05:00_Long,,0.3141237715964334,0.4,0.3,0.3,0.3,0.7853094289910835,0.45638276089577823,-0.0002917882451021203,0.0007093382291578632,0.0006675845954855486,0.00020852448077413044,0.0014614999164856979,-0.0012932069215605413,0,1,-0.47118565739465007,-2.552255644221021,0.0,0.0,-1.4135569721839503,-2.552255644221021,0.0,0.0,-1.4135569721839503,-2.552255644221021,0.0,0.0,0.6282475431928668,0.47118565739465007,2.552255644221021,0.0,0.0,0.0,1.0,0.0977068683682227,0.3419740392888509,0.6658651540108133,True,0.74,0.9592964839381546,3.0,105.0,2017-10-03 11:15:00-05:00,164,True,0.8900173528565613,1.0209022576884086,1.281036006041705,1.8545037792400731,0.0005710940342079902,0.25,5.0,1.0,1.4135569721839503,2.552255644221021,3.965812616404971,0.3333333333333333,6.36691705895304,0.6282475431928668,0.7460439575415293,1,0.09816367862388543,-0.47118565739465007,-0.4659502612013921
4,2017-10-03 17:15:00+00:00,RS,Short,5994.538315715068,5998.771474127984,5983.955419682779,4.233158412916055,5.644211217220891,TIME,2017-10-03 13:00:00-05:00,5996.25,-0.4043515781760511,0.30433912209316444,0.8177544866664269,0.23693241686067296,0.6809179793877215,3,3.0,1.7116842849318346,1.7116842849318346,1.0,0.27122436106698217,0.7526596618368036,2.0223848027381353,0,1,1,1,1.0,,,,,,1.0,2.0,,WRONG_DIRECTION,False,5.0,5.0,2017-10-03 17:15:00+00:00,168,5994.5,5995.25,5992.5,5994.25,5.644211217220891,2017-10-03 11:00:00-05:00,5998.75,5991.5,5995.125,2017-10-03 12:00:00-05:00,,2017-10-03 12:15:00-05:00,2017-10-03 13:00:00-05:00,A_MID_4_2017-10-03 11:00:00-05:00_Short,5995.125,0.04429316876683002,0.09090909090909091,0.2727272727272727,0.6363636363636364,0.6363636363636364,0.48722485643513014,0.4284361005856011,-4.170489615484829e-05,-0.00016679871564984072,-0.00033354179695643804,-0.0002501772088562282,-4.170489615484829e-05,8.339414058256e-05,0,3,-0.8858633753366003,-0.8858633753366003,0.0,0.0,-1.8603130882068606,-2.6132969572429707,0.0,0.0,-1.8603130882068606,-2.6132969572429707,0.0,0.0,0.35434535013464014,0.8858633753366003,0.8858633753366003,0.0,0.0,1.0,0.0,-0.007030691435906762,-0.0246074200258348,0.2903374051599467,False,0.64,0.872088217816078,4.0,165.0,2017-10-03 12:15:00-05:00,168,True,0.6791619210913936,0.8415702065697702,0.8969366675283078,1.5324591936049787,0.00048537643606265423,0.25,6.0,1.0,1.8603130882068606,2.6132969572429707,4.473610045449831,-0.7647058823529411,5.644211217220891,0.35434535013464014,0.5758111939687902,1,0.10394442418133094,,-0.5756184974077783
5,2017-10-04 15:00:00+00:00,L,Long,5991.553896764904,5987.294615723611,6004.331739888781,4.259281041292525,5.679041388390197,TARGET,2017-10-04 10:30:00-05:00,6004.331739888781,3.0,3.039504345824473,0.0,2.182256536424846,0.0,2,10.5,10.196103235096416,12.696103235096416,0.8030891877840803,1.0,1.019691081221592,0.0,0,1,1,1,1.0,1.0,1.0,1.0,1.0,2.0,,,,CLEAN_WINNER,True,,,2017-10-04 15:00:00+00:00,250,5990.5,5997.75,5990.5,5994.5,5.679041388390197,2017-10-04 09:45:00-05:00,5991.0,5982.0,5986.5,2017-10-04 09:45:00-05:00,5991.0,2017-10-04 10:00:00-05:00,2017-10-04 11:00:00-05:00,MOMENTUM_DISPLACEMENT_2017-10-04 09:45:00-05:00_Long,,0.7043442240405745,0.5517241379310345,0.4482758620689655,0.0,0.5517241379310345,1.2766239060735411,1.6634101602998643,0.0007094862484871012,0.0016709833737154067,0.0007930214115781098,0.0006259650294202501,0.0010437105999248075,-0.00025132919139925214,2,0,-0.39619362602282315,-2.641290840152154,0.0,0.0,-0.39619362602282315,-2.641290840152154,0.0,0.0,-0.44021514002535905,-2.641290840152154,0.0,0.0,0.8364087660481822,0.39619362602282315,2.641290840152154,0.0,0.0,0.0,0.0,0.24322040536967546,0.8512714187935437,0.8437705619570739,True,0.88,1.3466822734662502,2.0,30.0,2017-10-04 10:00:00-05:00,250,True,1.6287960180938283,1.7168390460989003,1.5627637470900246,2.390242163163912,0.0006646140075432878,0.25,4.0,1.0,0.5722796820329668,2.641290840152154,3.2135705221851207,0.23076923076923078,5.679041388390197,0.8364087660481822,0.6603227100380386,2,0.8899207488142961,0.09753349676864984,2.8297834791901897
6,2017-10-04 16:45:00+00:00,S,Short,6005.25,6009.914795634982,5991.255613095055,4.664795634981601,6.219727513308976,TARGET,2017-10-04 12:30:00-05:00,5991.255613095055,3.0,4.233840353453747,0.3215574951990188,2.905923759120317,0.24674978343809184,3,15.5,-14.5,14.5,0.0,0.9294117647058823,1.3620689655172413,0.10344827586206896,0,2,3,0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,,,CLEAN_WINNER,True,,,2017-10-04 16:45:00+00:00,257,6005.5,6007.5,6001.75,6005.25,6.219727513308976,2017-10-04 11:30:00-05:00,6010.5,6004.25,6007.375,2017-10-04 11:30:00-05:00,6004.25,2017-10-04 11:45:00-05:00,2017-10-04 12:45:00-05:00,MOMENTUM_DISPLACEMENT_2017-10-04 11:30:00-05:00_Short,,0.040194686899876216,0.043478260869565216,0.34782608695652173,0.6086956521739131,0.6086956521739131,0.924477798697153,0.8626113424966537,0.0,-0.0008319121500769411,-0.00016649323621231726,0.00045814244064978915,0.0025040691123074943,0.0008319121500769411,0,0,-1.647982162894925,-3.7381058816884885,0.0,0.0,-1.647982162894925,-4.140052750687251,0.0,0.0,-1.647982162894925,-4.140052750687251,0.0,0.0,0.16077874759950486,1.647982162894925,3.7381058816884885,0.0,0.0,1.0,0.0,0.11311251407443419,0.39589379926044654,1.2886779961173627,True,0.91,1.048426756238429,3.0,135.0,2017-10-04 11:45:00-05:00,257,True,1.152247691129785,1.0772176089166827,1.210864942858771,2.1244003156641535,0.0007093555766446818,0.125,4.0,1.0,1.647982162894925,4.140052750687251,5.788034913582176,0.25925925925925924,6.219727513308976,0.16077874759950486,-0.562725616598267,2,0.34165483864894786,-0.16077874759950486,2.8445805439871408
7,2017-10-05 15:30:00+00:00,L,Long,6032.144615791485,6027.253541529357,6046.81783857787,4.891074262128313,6.521432349504411,TARGET,2017-10-05 11:15:00-05:00,6046.81783857787,3.0,3.446151766499721,0.5407024407628621,2.4701760961009245,0.41822204902171806,3,12.0,13.855384208514806,14.644615791485194,0.9461077303626313,0.8643786773597336,1.1509611756639608,0.18058621879468156,1,2,2,1,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,,DELAYED_EXPANSION,True,,,2017-10-05 15:30:00+00:00,343,6030.0,6035.75,6028.25,6032.5,6.521432349504411,2017-10-05 10:15:00-05:00,6031.5,6018.5,6025.0,2017-10-05 10:15:00-05:00,6031.5,2017-10-05 10:30:00-05:00,2017-10-05 11:30:00-05:00,MOMENTUM_DISPLACEMENT_2017-10-05 10:15:00-05:00_Long,,0.38335136608294107,0.3333333333333333,0.43333333333333335,0.23333333333333334,0.5666666666666667,1.1500540982488232,1.3806038274494183,0.00037311885908541953,0.0019931899343907933,0.0018683828108780887,0.0009540797278799751,0.00029017949674581267,-0.0012463479626070306,2,0,-1.2267243714654115,-2.3001081964976464,0.0,0.0,-1.2267243714654115,-3.4118271581381756,0.0,0.0,-1.2267243714654115,-4.331870436737234,0.0,0.0,1.7250811473732348,1.2267243714654115,2.3001081964976464,0.0,0.0,0.0,0.0,0.2683443107599964,0.9392050876599873,1.6721860120685494,True,0.97,1.2202889860084536,3.0,60.0,2017-10-05 10:30:00-05:00,343,True,1.4311784333763133,1.4337341091501996,1.7059135790690878,2.5090865349453693,0.0010748613834576923,0.25,7.0,1.0,1.2267243714654115,4.600216392995293,5.826940764460704,0.4117647058823529,6.521432349504411,1.7250811473732348,1.3417297812902937,3,1.095559289521441,0.09884573770579413,2.8517708051145965
8,2017-10-05 18:45:00+00:00,L,Long,6055.866750467382,6051.183131140972,6069.917608446612,4.683619326409826,6.244825768546532,TIME,2017-10-05 14:45:00-05:00,6061.25,1.1493781106980525,1.8966634377237406,0.07830492655843528,1.4224133955011455,0.05840886619207109,4,6.75,5.3832495326178105,6.8832495326178105,0.7820796713976566,0.9603513008235471,1.290560438136458,0.053281588244659846,0,3,1,1,1.0,1.0,1.0,1.0,,,,,,CLEAN_WINNER,True,,,2017-10-05 18:45:00+00:00,356,6053.75,6059.5,6052.25,6058.5,6.244825768546532,2017-10-05 13:30:00-05:00,6055.25,6046.25,6050.75,2017-10-05 13:30:00-05:00,6055.25,2017-10-05 13:45:00-05:00,2017-10-05 14:45:00-05:00,MOMENTUM_DISPLACEMENT_2017-10-05 13:30:00-05:00_Long,,0.7606297078654207,0.6551724137931034,0.13793103448275862,0.20689655172413793,0.8620689655172413,1.1609611330577474,0.9645834582858513,0.0007846376213092032,0.0019431926241368913,0.001777520565499513,0.0013222047764647193,0.0023161551823971394,-0.0003730090483893278,2,0,0.5204308527500248,-2.4420216936731927,1.0,0.0,0.5204308527500248,-6.405302803077228,1.0,0.0,0.5204308527500248,-8.166761073923464,1.0,0.0,1.7214251283270048,-0.5204308527500248,2.4420216936731927,0.0,0.0,0.0,0.0,0.3857914252165238,1.3502699882578333,2.8393782125986937,True,0.83,0.9614656256305117,4.0,255.0,2017-10-05 13:45:00-05:00,356,True,0.8273516120641419,0.824682735896193,0.8757249926082147,1.6501559645333508,0.0005752251100159675,0.125,5.0,1.0,0.16013257007693069,8.967423924308118,9.127556494385049,0.5833333333333334,6.244825768546532,1.7214251283270048,1.6813919858077722,3,0.8193584027842463,0.09876183743805822,0.9945832929570171
9,2017-10-06 15:30:00+00:00,L,Long,6054.25,6048.999837991455,6070.000486025635,5.250162008544976,7.000216011393265,TIME,2017-10-06 11:30:00-05:00,6068.0,2.6189668009522356,2.714201957350499,0.2380878909956578,2.063391817342855,0.18151018618460646,4,7.75,13.75,14.75,0.9322033898305084,0.9193548387096774,0.9661016949152542,0.0847457627118644,0,3,2,1,1.0,1.0,2.0,4.0,4.0,,,,,CLEAN_WINNER,True,,,2017-10-06 15:30:00+00:00,434,6058.5,6058.75,6050.5,6054.25,7.000216011393265,2017-10-06 10:15:00-05:00,6059.25,6052.0,6055.625,2017-10-06 10:15:00-05:00,6059.25,2017-10-06 10:30:00-05:00,2017-10-06 11:30:00-05:00,MOMENTUM_DISPLACEMENT_2017-10-06 10:15:00-05:00_Long,,0.6071241220389305,0.5151515151515151,0.030303030303030304,0.45454545454545453,0.45454545454545453,1.178535060428512,1.0089547378704005,-0.0007427274602846978,0.00045443278525980624,0.0011161637040100203,0.00033045561568001425,-0.00016514594773131552,-0.0019407775305151365,0,1,-1.3213877950259076,-1.9642251007141869,0.0,0.0,-2.2856437535583267,-2.392783304506373,0.0,0.0,-2.464209671805071,-2.392783304506373,0.0,0.0,0.9642559585324191,1.3213877950259076,1.9642251007141869,0.0,0.0,0.0,1.0,0.003592730764747035,0.012574557676484698,-0.34895857791740587,False,1.0,1.199414255853228,3.0,60.0,2017-10-06 10:30:00-05:00,434,True,1.226152638627644,1.4428126194336937,1.4954895653164832,2.363277442957594,0.0012046526855398218,0.125,4.0,1.0,2.464209671805071,2.392783304506373,4.856992976311444,-0.25,7.000216011393265,0.9642559585324191,-1.0713955094804657,4,0.1964225100714187,-0.7142636729869771,2.480875824174754
10,2017-10-06 15:45:00+00:00,RS,Short,6058.0,6063.12961472222,6045.17596319445,5.12961472222014,6.839486296293747,STOP,2017-10-06 11:30:00-05:00,6063.12961472222,-1.0,0.9747320745827786,2.0469373566238347,0.7260407447384258,1.5203939706736826,3,7.75,10.0,11.0,0.9090909090909091,0.32258064516129037,0.45454545454545453,0.9545454545454544,1,2,1,2,1.0,1.0,,,,,1.0,2.0,3.0,IMMEDIATE_EXPANSION,False,12.0,12.0,2017-10-06 15:45:00+00:00,435,6054.5,6058.75,6054.0,6058.0,6.839486296293747,2017-10-06 10:15:00-05:00,6059.25,6052.0,6055.625,2017-10-06 10:30:00-05:00,,2017-10-06 10:45:00-05:00,2017-10-06 11:30:00-05:00,A_MID_4_2017-10-06 10:15:00-05:00_Short,6055.625,0.5117343391559417,0.7368421052631579,0.15789473684210525,0.10526315789473684,0.8421052631578947,0.6944966031402067,0.8054785075141428,0.0006193995953256426,-0.00012378791004741263,0.0010741138560688146,0.0017362546506820564,0.0005367686527106841,0.0013621270556103404,1,0,-0.8041539615307656,-2.375909431795444,0.0,0.0,-1.6448603758583842,-2.9973011293419445,0.0,0.0,-1.9738324510300609,-2.9973011293419445,0.0,0.0,0.9503637727181775,0.8041539615307656,2.375909431795444,0.0,0.0,1.0,0.0,0.12470152333780087,0.43645533168256895,0.17375236024784163,True,0.97,1.0566094280696958,3.0,75.0,2017-10-06 10:45:00-05:00,435,True,1.0478369801764522,1.4255456590772662,1.3707169798819867,2.2428728744937803,0.00094282912760692,0.125,5.0,1.0,1.9738324510300609,2.9973011293419445,4.971133580372006,0.23711340206185566,6.839486296293747,-0.9503637727181775,-0.8407064143276185,4,0.34724830157010333,,-1.1413361508145028
