year,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
2017,172.0,0.4127906976744186,0.07718600744389467,13.275993280349883,1.136454901861004,11.14658274376507,1.191037072575083
2018,694.0,0.47262247838616717,0.24116747614302317,167.37022844325807,1.4716445987260618,10.349264973774211,16.17218506506369
2019,660.0,0.4621212121212121,0.17527554905088014,115.6818623735809,1.3522547244020875,13.28157505308414,8.709950582760001
2020,692.0,0.4869942196531792,0.3255636356364146,225.29003586039892,1.6909334489316454,9.672495102721019,23.291822168720607
2021,675.0,0.482962962962963,0.20328206423461156,137.2153933583628,1.4321368540205919,14.178086803281786,9.677990779870363
2022,630.0,0.4714285714285714,0.20524046185825412,129.3014909707001,1.4203857779896751,11.67834238067087,11.071904449788214
2023,659.0,0.48254931714719274,0.22808644741151576,150.30896884418888,1.5004528537751558,13.949561710449139,10.775175017262198
2024,673.0,0.4635958395245171,0.20567598792768943,138.419939875335,1.4285867630377327,13.051740719166702,10.60547729637802
2025,634.0,0.4889589905362776,0.2965211375578659,187.99440121168698,1.6784458323894318,8.488527702312766,22.146879624421373
2026,323.0,0.47058823529411764,0.19714819075293458,63.67886561319787,1.4311799869098822,8.98050031655385,7.090792647244602
