stop_atr,target_r,hold_bars,entry_mode,N,AvgR,PF
0.5,1.5,3,CURRENT,13047.0,-0.06920242698318863,0.8787791403008928
0.5,1.5,3,NEXT_OPEN,13047.0,0.00914513149695845,1.0163884282917661
0.5,1.5,4,CURRENT,13047.0,-0.07238489453995206,0.8777893393790654
0.5,1.5,4,NEXT_OPEN,13047.0,0.0090886859508033,1.0159419356865855
0.5,1.5,6,CURRENT,13047.0,-0.07548757860885284,0.8765316618081521
0.5,1.5,6,NEXT_OPEN,13047.0,0.005068147708416002,1.008679727849499
0.5,1.5,8,CURRENT,13047.0,-0.07582628589603903,0.8775853305999778
0.5,1.5,8,NEXT_OPEN,13047.0,0.007410270928046935,1.0125788126675215
0.5,2.0,3,CURRENT,13047.0,-0.06337449090741509,0.8942317121051117
0.5,2.0,3,NEXT_OPEN,13047.0,0.051141059342334615,1.0875529180099273
0.5,2.0,4,CURRENT,13047.0,-0.06711135926907805,0.89316041484827
0.5,2.0,4,NEXT_OPEN,13047.0,0.05107828270845223,1.0845927600755527
0.5,2.0,6,CURRENT,13047.0,-0.07252046415081002,0.8896342618966286
0.5,2.0,6,NEXT_OPEN,13047.0,0.04757869818484622,1.0761582000361105
0.5,2.0,8,CURRENT,13047.0,-0.0717740500049159,0.8928082655102005
0.5,2.0,8,NEXT_OPEN,13047.0,0.050170430433892806,1.0791848987156945
0.5,2.5,3,CURRENT,13047.0,-0.058565348330302296,0.9042210253954078
0.5,2.5,3,NEXT_OPEN,13047.0,0.0718216167241982,1.1196563826997021
0.5,2.5,4,CURRENT,13047.0,-0.06279689458769618,0.9028740799992487
0.5,2.5,4,NEXT_OPEN,13047.0,0.07081038627696427,1.1133537519463024
0.5,2.5,6,CURRENT,13047.0,-0.06968427129583682,0.8981055056619065
0.5,2.5,6,NEXT_OPEN,13047.0,0.07068982113120025,1.10830582775961
0.5,2.5,8,CURRENT,13047.0,-0.0672202081195916,0.9040835785092886
0.5,2.5,8,NEXT_OPEN,13047.0,0.07447523975606803,1.111764391636247
0.5,3.0,3,CURRENT,13047.0,-0.053504095803782806,0.9132513065279497
0.5,3.0,3,NEXT_OPEN,13047.0,0.0858808652173194,1.141037617926348
0.5,3.0,4,CURRENT,13047.0,-0.057892894259545184,0.9117212709352946
0.5,3.0,4,NEXT_OPEN,13047.0,0.08185352680494459,1.1282729940113834
0.5,3.0,6,CURRENT,13047.0,-0.06769626517493961,0.9031835699617593
0.5,3.0,6,NEXT_OPEN,13047.0,0.08269673545676408,1.1231345170543223
0.5,3.0,8,CURRENT,13047.0,-0.06483610945477658,0.9100256882568961
0.5,3.0,8,NEXT_OPEN,13047.0,0.0864586473206324,1.1254196581754652
0.75,1.5,3,CURRENT,13047.0,-0.04151122539872493,0.9130246749517329
0.75,1.5,3,NEXT_OPEN,13047.0,-0.01204906753598076,0.9758740181649588
0.75,1.5,4,CURRENT,13047.0,-0.04847266617786548,0.9061477927353334
0.75,1.5,4,NEXT_OPEN,13047.0,-0.012141320494747128,0.9768839742078376
0.75,1.5,6,CURRENT,13047.0,-0.05074253252435813,0.9088918937161526
0.75,1.5,6,NEXT_OPEN,13047.0,-0.01542109519285565,0.9722355599393884
0.75,1.5,8,CURRENT,13047.0,-0.051586098540947596,0.9108225065113245
0.75,1.5,8,NEXT_OPEN,13047.0,-0.01433328459540435,0.9749164810053979
0.75,2.0,3,CURRENT,13047.0,-0.03766621112886933,0.9226192651001213
0.75,2.0,3,NEXT_OPEN,13047.0,0.0022022066862822185,1.0042955418636552
0.75,2.0,4,CURRENT,13047.0,-0.045061628854731466,0.9154012501862083
0.75,2.0,4,NEXT_OPEN,13047.0,-0.0024052402288137842,0.995588520479247
0.75,2.0,6,CURRENT,13047.0,-0.05241551663471384,0.9104056877189397
0.75,2.0,6,NEXT_OPEN,13047.0,-0.0036942298157182536,0.9936912435152985
0.75,2.0,8,CURRENT,13047.0,-0.05216194441343848,0.9150911754307354
0.75,2.0,8,NEXT_OPEN,13047.0,-0.0027122050617856643,0.9955478862016292
0.75,2.5,3,CURRENT,13047.0,-0.03529334039749658,0.9280775887032923
0.75,2.5,3,NEXT_OPEN,13047.0,0.011658570306004935,1.0225297618516416
0.75,2.5,4,CURRENT,13047.0,-0.041846852061769316,0.9224298388709647
0.75,2.5,4,NEXT_OPEN,13047.0,0.007138652279645928,1.0128912730695445
0.75,2.5,6,CURRENT,13047.0,-0.04733036146571686,0.9207527572914587
0.75,2.5,6,NEXT_OPEN,13047.0,0.004741920757812707,1.0078963758547814
0.75,2.5,8,CURRENT,13047.0,-0.0478612619645866,0.9243094413962315
0.75,2.5,8,NEXT_OPEN,13047.0,0.006780491056680889,1.0107752305903164
0.75,3.0,3,CURRENT,13047.0,-0.030367626664091853,0.9382779845580185
0.75,3.0,3,NEXT_OPEN,13047.0,0.020020007652368943,1.03851669733515
0.75,3.0,4,CURRENT,13047.0,-0.035808052016163966,0.9339786287633903
0.75,3.0,4,NEXT_OPEN,13047.0,0.015980180888570294,1.0286448894373292
0.75,3.0,6,CURRENT,13047.0,-0.04178370496602264,0.9307384921135807
0.75,3.0,6,NEXT_OPEN,13047.0,0.010715406457303353,1.0175820634271204
0.75,3.0,8,CURRENT,13047.0,-0.04438674533056232,0.9309823237021664
0.75,3.0,8,NEXT_OPEN,13047.0,0.013782792739288665,1.0214948577573293
1.0,1.5,3,CURRENT,13047.0,-0.02920063514400293,0.9263366984955157
1.0,1.5,3,NEXT_OPEN,13047.0,-0.017066698533468788,0.9603594127088245
1.0,1.5,4,CURRENT,13047.0,-0.03386186377279813,0.9228179522954192
1.0,1.5,4,NEXT_OPEN,13047.0,-0.02187319939999408,0.9528420509491752
