signal_id,marker_bar_timestamp,signal_type,direction,entry_price,stop,target,realized_R
P41_00000,2020-01-01 17:45:00-06:00,MRS,Short,8551.75,8558.322504658343,8538.604990683314,-0.7987822410039009
P41_00001,2020-01-01 18:00:00-06:00,MRS,Short,8551.0,8557.277147182747,8538.445705634505,-1.0
P41_00002,2020-01-01 19:30:00-06:00,MRS,Short,8553.25,8558.715019319054,8542.319961361893,-1.0
P41_00003,2020-01-02 02:15:00-06:00,MRS,Short,8571.75,8575.272686720204,8564.704626559595,-1.0
P41_00004,2020-01-02 02:30:00-06:00,MRS,Short,8569.5,8573.038923383046,8562.422153233909,-1.0
P41_00005,2020-01-02 03:30:00-06:00,MRS,Short,8585.5,8589.79283868032,8576.91432263936,-1.0
P41_00006,2020-01-02 04:45:00-06:00,MRS,Short,8593.25,8597.29913006324,8585.15173987352,2.0
P41_00007,2020-01-02 09:30:00-06:00,MRL,Long,8591.0,8582.82993153092,8607.34013693816,2.0
P41_00008,2020-01-02 17:30:00-06:00,MRS,Short,8676.0,8682.383224745261,8663.233550509478,-0.39165157107401594
P41_00009,2020-01-02 22:15:00-06:00,MRL,Long,8603.75,8594.935550370103,8621.378899259797,-1.0
P41_00010,2020-01-03 00:15:00-06:00,MRL,Long,8588.5,8579.59781664377,8606.304366712457,1.1233199317337648
P41_00011,2020-01-03 02:15:00-06:00,MRL,Long,8575.75,8566.292843245003,8594.664313509993,-1.0
P41_00012,2020-01-03 03:15:00-06:00,MRL,Long,8554.25,8544.976600463884,8572.796799072234,-1.0
P41_00013,2020-01-03 03:45:00-06:00,MRL,Long,8551.5,8542.045193767328,8570.409612465344,-1.0
P41_00014,2020-01-03 05:00:00-06:00,MRL,Long,8528.0,8517.211431047986,8549.577137904027,2.0
P41_00015,2020-01-03 05:30:00-06:00,MRL,Long,8535.0,8524.214830852601,8556.570338294798,2.0
P41_00016,2020-01-03 07:45:00-06:00,MRS,Short,8566.25,8576.747080820827,8545.255838358345,2.0
P41_00017,2020-01-03 11:15:00-06:00,MRS,Short,8620.0,8632.459246414914,8595.08150717017,-1.0
P41_00018,2020-01-03 12:00:00-06:00,MRS,Short,8624.75,8636.294447658005,8601.66110468399,2.0
P41_00019,2020-01-05 23:00:00-06:00,MRS,Short,8560.25,8567.0492236764,8546.651552647198,2.0
P41_00020,2020-01-06 03:30:00-06:00,MRL,Long,8514.25,8505.60277898937,8531.544442021259,0.8673306708341026
P41_00021,2020-01-06 03:45:00-06:00,MRL,Long,8514.5,8506.122223347273,8531.255553305455,0.9250664372243692
P41_00022,2020-01-06 07:30:00-06:00,MRL,Long,8525.0,8517.206473906705,8540.58705218659,-1.0
P41_00023,2020-01-06 12:45:00-06:00,MRS,Short,8606.0,8614.809974241805,8588.380051516391,-1.0
P41_00024,2020-01-06 15:00:00-06:00,MRS,Short,8625.0,8634.36707940654,8606.265841186918,-0.7206088159438985
P41_00025,2020-01-06 17:15:00-06:00,MRS,Short,8631.75,8639.743151419467,8615.763697161068,-0.3440445270813612
P41_00026,2020-01-06 22:30:00-06:00,MRS,Short,8656.5,8662.05825059954,8645.383498800917,0.9445417952967589
P41_00027,2020-01-07 02:45:00-06:00,MRS,Short,8654.75,8662.498344093798,8639.253311812407,0.22585470893077442
P41_00028,2020-01-07 03:30:00-06:00,MRS,Short,8655.25,8662.778694232533,8640.192611534932,1.1954264208404939
P41_00029,2020-01-07 08:00:00-06:00,MRL,Long,8637.0,8629.971918657231,8651.05616268554,-1.0
P41_00030,2020-01-07 08:15:00-06:00,MRL,Long,8642.25,8635.000710181714,8656.748579636573,-1.0
P41_00031,2020-01-07 12:30:00-06:00,MRS,Short,8653.25,8662.262705519486,8635.224588961028,1.1650219767302954
P41_00032,2020-01-07 15:45:00-06:00,MRL,Long,8619.5,8609.814435183716,8638.87112963257,-1.0
P41_00033,2020-01-07 18:45:00-06:00,MRL,Long,8485.25,8466.238503073238,8523.272993853523,2.0
P41_00034,2020-01-07 21:00:00-06:00,MRS,Short,8584.25,8605.744146659568,8541.261706680862,-0.5001361612657598
P41_00035,2020-01-08 01:15:00-06:00,MRS,Short,8598.0,8610.402825394836,8573.19434921033,-1.0
P41_00036,2020-01-08 02:00:00-06:00,MRS,Short,8599.25,8611.297970988504,8575.154058022992,-1.0
P41_00037,2020-01-08 02:15:00-06:00,MRS,Short,8601.75,8613.821330203611,8577.60733959278,-1.0
