fold,direction,tier,threshold,N,tpd
1,Long,0.995,0.9901769452140629,4,0.016260162601626018
1,Long,0.99,0.9746126690830482,23,0.09349593495934959
1,Long,0.98,0.9519788509498951,55,0.22357723577235772
1,Long,0.95,0.9101288226582712,117,0.47560975609756095
1,Long,0.9,0.8522625315330282,234,0.9512195121951219
1,Short,0.995,0.9800159852906951,9,0.03515625
1,Short,0.99,0.972642925991581,21,0.08203125
1,Short,0.98,0.9568531415136082,50,0.1953125
1,Short,0.95,0.9208896582181811,140,0.546875
1,Short,0.9,0.86635792494199,307,1.19921875
2,Long,0.995,0.9887889455184355,9,0.03543307086614173
2,Long,0.99,0.9787128429854993,21,0.08267716535433071
2,Long,0.98,0.9621574227471551,40,0.15748031496062992
2,Long,0.95,0.9268644715883813,103,0.40551181102362205
2,Long,0.9,0.8747436578548679,217,0.8543307086614174
2,Short,0.995,0.9882448284637914,14,0.0546875
2,Short,0.99,0.9817450624185715,36,0.140625
2,Short,0.98,0.970195283695084,71,0.27734375
2,Short,0.95,0.9396798279135058,154,0.6015625
2,Short,0.9,0.8902438452482497,317,1.23828125
3,Long,0.995,0.9902640455307403,14,0.05622489959839357
3,Long,0.99,0.982505583120832,21,0.08433734939759036
3,Long,0.98,0.965596774032142,40,0.1606425702811245
3,Long,0.95,0.930916020222488,92,0.36947791164658633
3,Long,0.9,0.8792870534750712,217,0.8714859437751004
3,Short,0.995,0.9878417369220868,21,0.0846774193548387
3,Short,0.99,0.9817884303917185,39,0.15725806451612903
3,Short,0.98,0.9704631552051509,65,0.2620967741935484
3,Short,0.95,0.9406250129543589,174,0.7016129032258065
3,Short,0.9,0.8950276765097888,339,1.3669354838709677
4,Long,0.995,0.9908571137956677,6,0.023715415019762844
4,Long,0.99,0.9818102157101216,15,0.05928853754940711
4,Long,0.98,0.9660527737938028,41,0.16205533596837945
4,Long,0.95,0.9302034549579354,103,0.40711462450592883
4,Long,0.9,0.8805209672154304,220,0.8695652173913043
4,Short,0.995,0.9883004547863056,23,0.08984375
4,Short,0.99,0.9821390778073312,32,0.125
4,Short,0.98,0.9692386832842571,69,0.26953125
4,Short,0.95,0.9389899747961125,156,0.609375
4,Short,0.9,0.8915259671694105,331,1.29296875
5,Long,0.995,0.987814035230072,11,0.04417670682730924
5,Long,0.99,0.9785508795438409,23,0.09236947791164658
5,Long,0.98,0.9634786371218835,44,0.17670682730923695
5,Long,0.95,0.926876639449959,120,0.4819277108433735
5,Long,0.9,0.8801091930315021,254,1.0200803212851406
5,Short,0.995,0.9901664002505329,17,0.06614785992217899
5,Short,0.99,0.9827797490662573,28,0.10894941634241245
5,Short,0.98,0.9708384196006794,60,0.23346303501945526
5,Short,0.95,0.939535854818002,147,0.5719844357976653
5,Short,0.9,0.891268358591905,311,1.2101167315175096
6,Long,0.995,0.9877704498318876,15,0.05976095617529881
6,Long,0.99,0.9788380247269701,29,0.11553784860557768
6,Long,0.98,0.9629533000447688,69,0.2749003984063745
6,Long,0.95,0.9287815401866863,140,0.5577689243027888
6,Long,0.9,0.8827344603270166,249,0.9920318725099602
6,Short,0.995,0.9913096984820868,13,0.050980392156862744
6,Short,0.99,0.9838813187547856,29,0.11372549019607843
6,Short,0.98,0.9727215132164272,59,0.23137254901960785
6,Short,0.95,0.9423995523369866,132,0.5176470588235295
6,Short,0.9,0.8970568342702759,277,1.0862745098039215
7,Long,0.995,0.9841781516118385,4,0.03278688524590164
7,Long,0.99,0.9747466132596517,9,0.07377049180327869
7,Long,0.98,0.9583066630691718,15,0.12295081967213115
7,Long,0.95,0.9211755491726498,41,0.3360655737704918
7,Long,0.9,0.8726173735555557,98,0.8032786885245902
7,Short,0.995,0.9895386981832511,9,0.07377049180327869
7,Short,0.99,0.981085991110008,18,0.14754098360655737
7,Short,0.98,0.96892427439793,26,0.21311475409836064
7,Short,0.95,0.9378391360459213,62,0.5081967213114754
7,Short,0.9,0.8912059559090468,128,1.0491803278688525
