signal_id,marker_bar_timestamp,timestamp_ct,signal_type,direction,entry_price,stop,target,atr,architecture,candidate_id,event_id,entry_bar_index,impulse_3bar,realized_R,net_R,gross_R,MFE_R,MAE_R,MFE_minus_MAE,exit_type,target_hit,stop_hit,positive_R,R_ge_1,R_ge_2,clean_winner,immediate_expansion,wrong_direction,behavior_class,directional_efficiency,movement_efficiency,bars_to_plus_0.50r,bars_to_minus_0.50r,bars_to_plus_0.25r,bars_to_plus_0.50r,bars_to_plus_1.00r,bars_to_plus_1.50r,bars_to_plus_2.00r,bars_to_target,bars_to_minus_0.25r,bars_to_minus_0.50r,bars_to_minus_1.00r,close,close_3,filter_threshold,accepted,reject_reason,timestamp_ct_feat,signal_atr,close_feat,close_3_feat,impulse_3bar_x,filter_threshold_feat,accepted_feat,reject_reason_feat,candidate_id_feat,event_id_feat,body_atr,body_range,upper_wick_ratio,lower_wick_ratio,close_loc,range_atr,rel_volume,ret_1,ret_2,ret_3,ret_4,ret_8,mom_accel,consec_up,consec_down,dist_high_8_atr,dist_low_8_atr,break_high_8,break_low_8,dist_high_16_atr,dist_low_16_atr,break_high_16,break_low_16,dist_high_32_atr,dist_low_32_atr,break_high_32,break_low_32,impulse_3bar_y,pullback_from_high_8,pullback_from_low_8,disp_long,disp_short,mid_reclaim_up,mid_reclaim_down,ema8_slope,price_vs_ema8,price_vs_ema21,trend_agree,atr_percentile,atr_expansion,session_bucket,minutes_since_open,timestamp,bar_index,in_rth,avg_range_3_atr,avg_range_5_atr,avg_range_8_atr,atr_short_long_ratio,realized_vol_8,inside_bar_density_8,alternating_bars_8,overlap_density_5,dist_session_high_atr,dist_session_low_atr,session_travel_atr,pre_entry_efficiency_5,atr_feat,pre_entry_move_3_atr,pre_entry_move_5_atr,day_of_week,dist_from_disp_mid_atr,dist_from_bos_atr,impulse_margin,ret_1_atr,ret_2_atr,ret_3_atr,ret_4_atr,mom_accel_atr,trend_aligned,countertrend,rejection_wick,candidate_age_bars
2,2017-10-02 16:30:00+00:00,2017-10-02 16:30:00+00:00,RL,Long,5974.90516475333,5969.230803078356,5989.091068940763,7.56581556663104,DISPLACEMENT_FAILURE_REVERSAL,3.0,A_MID_4_2017-10-02 10:45:00-05:00_Long,74,1.4208646649295518,0.8978693179077242,0.7701016426117412,0.8978693179077242,1.4706209657862686,0.0,1.4706209657862686,TIME,0,0,1,0,0,1,1,0,CLEAN_WINNER,0.9106318635034751,1.0,1.0,,1.0,1.0,1.0,,,,,,,5977.25,5966.5,0.65,True,,2017-10-02 16:30:00+00:00,7.56581556663104,5977.25,5966.5,1.4208646649295518,0.65,True,,3.0,A_MID_4_2017-10-02 10:45:00-05:00_Long,0.29739027870618523,0.5,0.1111111111111111,0.3888888888888889,0.8888888888888888,0.5947805574123705,0.7889834040153948,0.0003765690376569264,0.002053646269907894,0.0018017263052041432,-0.0006269854539374675,-0.004579707731379279,-0.0012998768969616492,2,0,-4.130420537585906,-2.4782523225515436,0.0,0.0,-4.295637359089342,-2.4782523225515436,0.0,0.0,-4.295637359089342,-2.4782523225515436,0.0,0.0,1.4208646649295518,4.130420537585906,2.4782523225515436,0.0,0.0,0.0,0.0,-0.12837931042859446,-0.4493275864998402,-1.3925175022464795,True,,1.3224224673000597,3.0,420,2017-10-02 11:30:00-05:00,74,True,1.7512983079364242,1.764515653656699,1.4415167676174814,2.253543840105995,0.0013960769354926293,0.0,4.0,1.0,4.295637359089342,2.4782523225515436,6.7738896816408865,-0.43352601156069365,7.5658155666310405,1.4208646649295518,-2.4782523225515436,0,,,0.7708646649295517,0.0003765690376569264,0.002053646269907894,0.001801726305204143,-0.0006269854539374675,-0.0012998768969616492,0.0,1.0,0.3888888888888889,0.0
5,2017-10-04 15:00:00+00:00,2017-10-04 15:00:00+00:00,L,Long,5991.553896764904,5987.294615723611,6004.331739888781,5.679041388390197,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-04 09:45:00-05:00_Long,250,0.8364087660481822,3.0,2.8297834791901897,3.0,3.039504345824473,0.0,3.039504345824473,TARGET,1,0,1,1,1,1,1,0,CLEAN_WINNER,0.8030891877840803,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,5994.5,5989.75,0.65,True,,2017-10-04 15:00:00+00:00,5.679041388390197,5994.5,5989.75,0.8364087660481822,0.65,True,,,MOMENTUM_DISPLACEMENT_2017-10-04 09:45:00-05:00_Long,0.7043442240405745,0.5517241379310345,0.4482758620689655,0.0,0.5517241379310345,1.2766239060735411,1.6634101602998643,0.0007094862484871012,0.0016709833737154067,0.0007930214115781098,0.0006259650294202501,0.0010437105999248075,-0.00025132919139925214,2,0,-0.39619362602282315,-2.641290840152154,0.0,0.0,-0.39619362602282315,-2.641290840152154,0.0,0.0,-0.44021514002535905,-2.641290840152154,0.0,0.0,0.8364087660481822,0.39619362602282315,2.641290840152154,0.0,0.0,0.0,0.0,0.24322040536967546,0.8512714187935437,0.8437705619570739,True,0.88,1.3466822734662502,2.0,330,2017-10-04 10:00:00-05:00,250,True,1.6287960180938283,1.7168390460989003,1.5627637470900246,2.390242163163912,0.0006646140075432878,0.25,4.0,1.0,0.5722796820329668,2.641290840152154,3.2135705221851207,0.23076923076923078,5.679041388390197,0.8364087660481822,0.6603227100380386,2,,,0.18640876604818213,0.0007094862484871013,0.0016709833737154065,0.0007930214115781097,0.0006259650294202501,-0.00025132919139925214,1.0,0.0,0.0,
7,2017-10-05 15:30:00+00:00,2017-10-05 15:30:00+00:00,L,Long,6032.144615791485,6027.253541529357,6046.81783857787,6.521432349504411,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-05 10:15:00-05:00_Long,343,1.7250811473732348,3.0,2.8517708051145965,3.0,3.446151766499721,0.5407024407628621,2.9054493257368588,TARGET,1,0,1,1,1,0,0,0,DELAYED_EXPANSION,0.9461077303626313,0.8643786773597336,2.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,,6032.5,6021.25,0.65,True,,2017-10-05 15:30:00+00:00,6.521432349504411,6032.5,6021.25,1.7250811473732348,0.65,True,,,MOMENTUM_DISPLACEMENT_2017-10-05 10:15:00-05:00_Long,0.38335136608294107,0.3333333333333333,0.43333333333333335,0.23333333333333334,0.5666666666666667,1.1500540982488232,1.3806038274494183,0.00037311885908541953,0.0019931899343907933,0.0018683828108780887,0.0009540797278799751,0.00029017949674581267,-0.0012463479626070306,2,0,-1.2267243714654115,-2.3001081964976464,0.0,0.0,-1.2267243714654115,-3.4118271581381756,0.0,0.0,-1.2267243714654115,-4.331870436737234,0.0,0.0,1.7250811473732348,1.2267243714654115,2.3001081964976464,0.0,0.0,0.0,0.0,0.2683443107599964,0.9392050876599873,1.6721860120685494,True,0.97,1.2202889860084536,3.0,360,2017-10-05 10:30:00-05:00,343,True,1.4311784333763133,1.4337341091501996,1.7059135790690878,2.5090865349453693,0.0010748613834576923,0.25,7.0,1.0,1.2267243714654115,4.600216392995293,5.826940764460704,0.4117647058823529,6.521432349504411,1.7250811473732348,1.3417297812902937,3,,,1.075081147373235,0.0003731188590854195,0.0019931899343907933,0.0018683828108780887,0.0009540797278799751,-0.0012463479626070306,1.0,0.0,0.23333333333333334,
8,2017-10-05 18:45:00+00:00,2017-10-05 18:45:00+00:00,L,Long,6055.866750467382,6051.183131140972,6069.917608446612,6.244825768546532,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-05 13:30:00-05:00_Long,356,1.7214251283270048,1.1493781106980525,0.9945832929570171,1.1493781106980525,1.8966634377237406,0.07830492655843528,1.8183585111653053,TIME,0,0,1,0,0,1,1,0,CLEAN_WINNER,0.7820796713976566,0.9603513008235471,1.0,,1.0,1.0,1.0,1.0,,,,,,6058.5,6047.75,0.65,True,,2017-10-05 18:45:00+00:00,6.244825768546532,6058.5,6047.75,1.7214251283270048,0.65,True,,,MOMENTUM_DISPLACEMENT_2017-10-05 13:30:00-05:00_Long,0.7606297078654207,0.6551724137931034,0.13793103448275862,0.20689655172413793,0.8620689655172413,1.1609611330577474,0.9645834582858513,0.0007846376213092032,0.0019431926241368913,0.001777520565499513,0.0013222047764647193,0.0023161551823971394,-0.0003730090483893278,2,0,0.5204308527500248,-2.4420216936731927,1.0,0.0,0.5204308527500248,-6.405302803077228,1.0,0.0,0.5204308527500248,-8.166761073923464,1.0,0.0,1.7214251283270048,-0.5204308527500248,2.4420216936731927,0.0,0.0,0.0,0.0,0.3857914252165238,1.3502699882578333,2.8393782125986937,True,0.83,0.9614656256305117,4.0,555,2017-10-05 13:45:00-05:00,356,True,0.8273516120641419,0.824682735896193,0.8757249926082147,1.6501559645333508,0.0005752251100159675,0.125,5.0,1.0,0.16013257007693069,8.967423924308118,9.127556494385049,0.5833333333333334,6.244825768546532,1.7214251283270048,1.6813919858077722,3,,,1.0714251283270046,0.0007846376213092032,0.0019431926241368913,0.001777520565499513,0.0013222047764647191,-0.0003730090483893278,1.0,0.0,0.20689655172413793,
9,2017-10-06 15:30:00+00:00,2017-10-06 15:30:00+00:00,L,Long,6054.25,6048.999837991455,6070.000486025635,7.000216011393265,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-06 10:15:00-05:00_Long,434,0.9642559585324192,2.6189668009522356,2.480875824174754,2.6189668009522356,2.714201957350499,0.2380878909956578,2.476114066354841,TIME,0,0,1,1,1,1,1,0,CLEAN_WINNER,0.9322033898305084,0.9193548387096774,1.0,,1.0,1.0,2.0,4.0,4.0,,,,,6054.25,6047.5,0.65,True,,2017-10-06 15:30:00+00:00,7.000216011393265,6054.25,6047.5,0.9642559585324192,0.65,True,,,MOMENTUM_DISPLACEMENT_2017-10-06 10:15:00-05:00_Long,0.6071241220389305,0.5151515151515151,0.030303030303030304,0.45454545454545453,0.45454545454545453,1.178535060428512,1.0089547378704005,-0.0007427274602846978,0.00045443278525980624,0.0011161637040100203,0.00033045561568001425,-0.00016514594773131552,-0.0019407775305151365,0,1,-1.3213877950259076,-1.9642251007141869,0.0,0.0,-2.2856437535583267,-2.392783304506373,0.0,0.0,-2.464209671805071,-2.392783304506373,0.0,0.0,0.9642559585324191,1.3213877950259076,1.9642251007141869,0.0,0.0,0.0,1.0,0.003592730764747035,0.012574557676484698,-0.34895857791740587,False,1.0,1.199414255853228,3.0,360,2017-10-06 10:30:00-05:00,434,True,1.226152638627644,1.4428126194336937,1.4954895653164832,2.363277442957594,0.0012046526855398218,0.125,4.0,1.0,2.464209671805071,2.392783304506373,4.856992976311444,-0.25,7.000216011393265,0.9642559585324191,-1.0713955094804657,4,,,0.31425595853241917,-0.0007427274602846978,0.00045443278525980624,0.0011161637040100203,0.00033045561568001425,-0.0019407775305151365,1.0,0.0,0.45454545454545453,
10,2017-10-06 15:45:00+00:00,2017-10-06 15:45:00+00:00,RS,Short,6058.0,6063.12961472222,6045.17596319445,6.839486296293747,DISPLACEMENT_FAILURE_REVERSAL,12.0,A_MID_4_2017-10-06 10:15:00-05:00_Short,435,0.9503637727181776,-1.0,-1.1413361508145028,-1.0,0.9747320745827786,2.0469373566238347,-1.0722052820410561,STOP,0,1,0,0,0,0,1,0,IMMEDIATE_EXPANSION,0.9090909090909091,0.32258064516129037,1.0,2.0,1.0,1.0,,,,,1.0,2.0,3.0,6058.0,6051.5,0.65,True,,2017-10-06 15:45:00+00:00,6.839486296293747,6058.0,6051.5,0.9503637727181776,0.65,True,,12.0,A_MID_4_2017-10-06 10:15:00-05:00_Short,0.5117343391559417,0.7368421052631579,0.15789473684210525,0.10526315789473684,0.8421052631578947,0.6944966031402067,0.8054785075141428,0.0006193995953256426,-0.00012378791004741263,0.0010741138560688146,0.0017362546506820564,0.0005367686527106841,0.0013621270556103404,1,0,-0.8041539615307656,-2.375909431795444,0.0,0.0,-1.6448603758583842,-2.9973011293419445,0.0,0.0,-1.9738324510300609,-2.9973011293419445,0.0,0.0,0.9503637727181775,0.8041539615307656,2.375909431795444,0.0,0.0,1.0,0.0,0.12470152333780087,0.43645533168256895,0.17375236024784163,True,0.97,1.0566094280696958,3.0,375,2017-10-06 10:45:00-05:00,435,True,1.0478369801764522,1.4255456590772662,1.3707169798819867,2.2428728744937803,0.00094282912760692,0.125,5.0,1.0,1.9738324510300609,2.9973011293419445,4.971133580372006,0.23711340206185566,6.839486296293747,-0.9503637727181775,-0.8407064143276185,4,,,0.3003637727181776,-0.0006193995953256425,0.00012378791004741263,-0.0010741138560688146,-0.0017362546506820564,-0.0013621270556103404,0.0,1.0,0.15789473684210525,0.0
11,2017-10-06 20:00:00+00:00,2017-10-06 20:00:00+00:00,L,Long,6064.5,6060.1583643006115,6077.524907098166,5.788847599185042,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-06 14:45:00-05:00_Long,452,0.9501027459721508,-1.0,-1.1669877553526933,-1.0,1.266803661296294,1.15163969208754,0.11516396920875405,STOP,0,1,0,0,0,0,0,0,DELAYED_EXPANSION,1.0,0.5238095238095238,3.0,3.0,1.0,3.0,3.0,,,,3.0,3.0,3.0,6064.5,6059.0,0.65,True,,2017-10-06 20:00:00+00:00,5.788847599185042,6064.5,6059.0,0.9501027459721508,0.65,True,,,MOMENTUM_DISPLACEMENT_2017-10-06 14:45:00-05:00_Long,0.5182378614393549,0.4444444444444444,0.25925925925925924,0.2962962962962963,0.2962962962962963,1.1660351882385485,1.2829609182889965,-0.0004944375772558685,0.0004949269982676974,0.0009077405512460945,0.0007425742574256322,0.0003711493257454457,-0.0014842915737914852,0,1,-0.7773567921590324,-1.3387811420516669,0.0,0.0,-0.7773567921590324,-1.9865784688508605,0.0,0.0,-0.7773567921590324,-4.664140752954194,0.0,0.0,0.9501027459721507,0.7773567921590324,1.3387811420516669,0.0,0.0,0.0,1.0,0.0861154141804144,0.30140394963184325,0.5824210007813055,True,0.71,1.0252708911854005,5.0,630,2017-10-06 15:00:00-05:00,452,True,1.050871219029803,0.915553555209527,0.815144969555652,1.285625985762434,0.00044571948065357935,0.0,4.0,1.0,1.2092216766918282,4.664140752954194,5.873362429646022,0.13333333333333333,5.788847599185042,0.9501027459721507,0.3454919076262366,4,,,0.3001027459721508,-0.0004944375772558685,0.0004949269982676974,0.0009077405512460946,0.0007425742574256322,-0.0014842915737914855,1.0,0.0,0.2962962962962963,
13,2017-10-09 16:30:00+00:00,2017-10-09 16:30:00+00:00,S,Short,6072.25,6075.632875206757,6062.101374379729,4.510500275676018,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-09 11:15:00-05:00_Short,529,0.9422458131571724,-0.4434097944269615,-0.6577245283999928,-0.4434097944269615,0.517311426831455,0.7390163240449358,-0.22170489721348074,TIME,0,0,0,0,0,0,0,0,DELAYED_EXPANSION,0.6,0.4117647058823529,2.0,4.0,1.0,2.0,,,,,1.0,4.0,,6072.25,6076.5,0.65,True,,2017-10-09 16:30:00+00:00,4.510500275676018,6072.25,6076.5,0.9422458131571724,0.65,True,,,MOMENTUM_DISPLACEMENT_2017-10-09 11:15:00-05:00_Short,0.05542622430336308,0.0625,0.5625,0.375,0.4375,0.8868195888538093,0.6011924683599221,4.117259552050001e-05,-0.0006171823568137391,-0.0006994157821114122,-0.00045267489711930953,-0.000329258756225026,0.0006995004427884366,1,0,-1.2748031589773507,-1.385655607584077,0.0,0.0,-2.6050325422580647,-1.385655607584077,0.0,0.0,-2.6050325422580647,-1.385655607584077,0.0,0.0,0.9422458131571724,1.2748031589773507,1.385655607584077,0.0,0.0,0.0,0.0,-0.10839039785074954,-0.37936639247762344,-0.6143059294694841,True,0.64,0.9588808975600552,3.0,420,2017-10-09 11:30:00-05:00,529,True,0.9237704050560513,0.9755015477391903,1.1500941542947838,1.6116781226008152,0.00039274579044021747,0.125,3.0,1.0,2.6050325422580647,1.385655607584077,3.990688149842142,-0.2413793103448276,4.510500275676018,0.9422458131571724,0.38798357012354157,0,,,0.29224581315717235,-4.117259552050001e-05,0.0006171823568137391,0.0006994157821114122,0.0004526748971193095,-0.0006995004427884366,1.0,0.0,0.5625,
14,2017-10-09 19:00:00+00:00,2017-10-09 19:00:00+00:00,S,Short,6064.047120392457,6067.736817659272,6052.978028592013,4.919596355752737,MOMENTUM_DISPLACEMENT,,MOMENTUM_DISPLACEMENT_2017-10-09 13:45:00-05:00_Short,539,2.6933103941558323,-0.054985434541626785,-0.25147851990141984,-0.054985434541626785,2.5197515460349718,0.5292790888583686,1.9904724571766033,TIME,0,0,0,0,0,0,1,0,IMMEDIATE_EXPANSION,0.01970255758993243,0.8264107015517463,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,4.0,4.0,,6056.0,6069.25,0.65,True,,2017-10-09 19:00:00+00:00,4.919596355752737,6056.0,6069.25,2.6933103941558323,0.65,True,,,MOMENTUM_DISPLACEMENT_2017-10-09 13:45:00-05:00_Short,1.7277840264395905,0.85,0.075,0.075,0.075,2.03268708992893,2.413793103448276,-0.0014015994723389769,-0.00218313630184952,-0.00218313630184952,-0.0026761085264934703,-0.0027171675586661337,-0.0006189657037514174,0,2,-3.811288293616744,1.7277840264395905,0.0,1.0,-4.471911597843646,1.7277840264395905,0.0,1.0,-5.691523851801004,1.7277840264395905,0.0,1.0,2.6933103941558323,3.811288293616744,-1.7277840264395905,0.0,1.0,0.0,0.0,-0.6210090106967346,-2.1735315374386635,-3.000367896611021,True,0.81,1.1770305885023085,5.0,570,2017-10-09 14:00:00-05:00,539,True,1.202673194874617,1.1281413349105562,0.9147091904680185,1.512521670949124,0.00040642607711807965,0.125,4.0,1.0,5.691523851801004,0.15245153174466974,5.843975383545674,-0.7808219178082192,4.919596355752737,2.6933103941558323,2.896579103148725,0,,,2.0433103941558324,0.0014015994723389769,0.00218313630184952,0.00218313630184952,0.0026761085264934703,0.0006189657037514174,1.0,0.0,0.075,
15,2017-10-09 19:30:00+00:00,2017-10-09 19:30:00+00:00,RL,Long,6059.0,6055.138411540349,6068.653971149129,5.148784612868432,DISPLACEMENT_FAILURE_REVERSAL,16.0,A_MID_4_2017-10-09 14:00:00-05:00_Long,541,1.0682132607089003,-1.0,-1.1877465730943024,-1.0,1.1653235571370488,1.1005833595183239,0.06474019761872496,STOP,0,1,0,0,0,0,1,0,IMMEDIATE_EXPANSION,1.0,0.5142857142857143,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,6059.0,6064.5,0.65,True,,2017-10-09 19:30:00+00:00,5.148784612868432,6059.0,6064.5,1.0682132607089003,0.65,True,,16.0,A_MID_4_2017-10-09 14:00:00-05:00_Long,0.582661778568491,0.5454545454545454,0.045454545454545456,0.4090909090909091,0.4090909090909091,1.0682132607089003,1.2919715491682369,-0.0004948861761794321,0.0004953764861295173,-0.0009069173056310831,-0.0016888412901099326,-0.002428483227001399,-0.0014856391484382447,0,1,-3.058974337484578,-0.7283272232106138,0.0,0.0,-3.69019126426711,-0.7283272232106138,0.0,0.0,-4.855514821404092,-0.7283272232106138,0.0,0.0,1.0682132607089003,3.058974337484578,0.7283272232106138,0.0,0.0,0.0,1.0,-0.28701624195941816,-1.0045568468579635,-1.935881555512607,True,0.84,1.1884882796129383,5.0,600,2017-10-09 14:30:00-05:00,541,True,1.5375796934446293,1.378966209278762,1.1713929506637373,1.525794471129552,0.0007414913834013748,0.25,4.0,1.0,4.855514821404092,0.7283272232106138,5.5838420446147055,-0.4606741573033708,5.148784612868432,-1.0682132607089003,-1.9907610767756778,0,,,0.4182132607089003,-0.0004948861761794321,0.0004953764861295173,-0.0009069173056310831,-0.0016888412901099326,-0.0014856391484382447,0.0,1.0,0.4090909090909091,0.0
