year,N,WinRate,AvgR,TotalR,PF,MaxDD,ReturnMaxDD
2017,29.0,0.5517241379310345,0.4134370959778534,11.989675783357749,1.9957648876459924,3.080514750776241,3.892101402967325
2018,277.0,0.5487364620938628,0.5790712958225221,160.40274894283863,2.323433141640699,6.392712961509233,25.091498696817716
2019,207.0,0.5845410628019324,0.6027406483870938,124.76731421612843,2.5788374809911527,6.120649297133462,20.384653352800626
2020,303.0,0.5973597359735974,0.7206109469967407,218.34511694001242,2.987060863780592,6.05240380419211,36.07576824083991
2021,237.0,0.5991561181434599,0.6196016404028122,146.8455887754665,2.7088946697047027,4.950436094866589,29.6631621864061
2022,359.0,0.5348189415041783,0.4348002657518369,156.09329540490944,2.0189220717411747,9.066845647182674,17.21583243819884
2023,277.0,0.5270758122743683,0.45127179310417564,125.00228668985665,2.066516069413529,13.329904928682637,9.377582762865986
2024,233.0,0.5536480686695279,0.5924739372414404,138.0464273772556,2.5219097828200367,4.55362667835243,30.31571033996201
2025,221.0,0.5701357466063348,0.6687028603686137,147.78333214146363,2.756324071180378,5.653610800810355,26.139636658448655
2026,132.0,0.553030303030303,0.4822151167013555,63.652395404578925,2.253317209191629,6.063476030651764,10.49767412006029
