signal_id,marker_bar_timestamp,actionable_timestamp,first_eligible_1m,signal_type,direction,confidence,quality_score,phase44_entry,stop,target,phase44_net_R,lookahead_ok,A_MFE_R,A_MAE_R,A_wrong_direction,A_exit_type,A_filled,A_sim_net_R,A_sim_MFE_R,A_sim_MAE_R,B1_w5_filled,B1_w5_delay_min,B1_w5_net_R,B1_w5_gross_R,B1_w5_MFE_R,B1_w5_MAE_R,B1_w5_entry_price,B1_w5_entry_time,B1_w5_wrong_direction,B1_w5_exit_type,B1_w5_rel_volume_1m,B1_w5_volume_expansion,B1_w5_directional_volume_response,B1_w5_breakout_volume,B1_w5_pullback_volume_ratio,B1_w5_lookahead_ok,B1_w10_filled,B1_w10_delay_min,B1_w10_net_R,B1_w10_gross_R,B1_w10_MFE_R,B1_w10_MAE_R,B1_w10_entry_price,B1_w10_entry_time,B1_w10_wrong_direction,B1_w10_exit_type,B1_w10_rel_volume_1m,B1_w10_volume_expansion,B1_w10_directional_volume_response,B1_w10_breakout_volume,B1_w10_pullback_volume_ratio,B1_w10_lookahead_ok,B1_w15_filled,B1_w15_delay_min,B1_w15_net_R,B1_w15_gross_R,B1_w15_MFE_R,B1_w15_MAE_R,B1_w15_entry_price,B1_w15_entry_time,B1_w15_wrong_direction,B1_w15_exit_type,B1_w15_rel_volume_1m,B1_w15_volume_expansion,B1_w15_directional_volume_response,B1_w15_breakout_volume,B1_w15_pullback_volume_ratio,B1_w15_lookahead_ok,B2_w5_filled,B2_w5_delay_min,B2_w10_filled,B2_w10_delay_min,B2_w15_filled,B2_w15_delay_min,B3_w5_filled,B3_w5_delay_min,B3_w5_net_R,B3_w5_gross_R,B3_w5_MFE_R,B3_w5_MAE_R,B3_w5_entry_price,B3_w5_entry_time,B3_w5_wrong_direction,B3_w5_exit_type,B3_w5_rel_volume_1m,B3_w5_volume_expansion,B3_w5_directional_volume_response,B3_w5_breakout_volume,B3_w5_pullback_volume_ratio,B3_w5_lookahead_ok,B3_w10_filled,B3_w10_delay_min,B3_w10_net_R,B3_w10_gross_R,B3_w10_MFE_R,B3_w10_MAE_R,B3_w10_entry_price,B3_w10_entry_time,B3_w10_wrong_direction,B3_w10_exit_type,B3_w10_rel_volume_1m,B3_w10_volume_expansion,B3_w10_directional_volume_response,B3_w10_breakout_volume,B3_w10_pullback_volume_ratio,B3_w10_lookahead_ok,B3_w15_filled,B3_w15_delay_min,B3_w15_net_R,B3_w15_gross_R,B3_w15_MFE_R,B3_w15_MAE_R,B3_w15_entry_price,B3_w15_entry_time,B3_w15_wrong_direction,B3_w15_exit_type,B3_w15_rel_volume_1m,B3_w15_volume_expansion,B3_w15_directional_volume_response,B3_w15_breakout_volume,B3_w15_pullback_volume_ratio,B3_w15_lookahead_ok,B4_w5_filled,B4_w5_delay_min,B4_w10_filled,B4_w10_delay_min,B4_w15_filled,B4_w15_delay_min,B2_w10_net_R,B2_w10_gross_R,B2_w10_MFE_R,B2_w10_MAE_R,B2_w10_entry_price,B2_w10_entry_time,B2_w10_wrong_direction,B2_w10_exit_type,B2_w10_rel_volume_1m,B2_w10_volume_expansion,B2_w10_directional_volume_response,B2_w10_breakout_volume,B2_w10_pullback_volume_ratio,B2_w10_lookahead_ok,B2_w15_net_R,B2_w15_gross_R,B2_w15_MFE_R,B2_w15_MAE_R,B2_w15_entry_price,B2_w15_entry_time,B2_w15_wrong_direction,B2_w15_exit_type,B2_w15_rel_volume_1m,B2_w15_volume_expansion,B2_w15_directional_volume_response,B2_w15_breakout_volume,B2_w15_pullback_volume_ratio,B2_w15_lookahead_ok,B4_w10_net_R,B4_w10_gross_R,B4_w10_MFE_R,B4_w10_MAE_R,B4_w10_entry_price,B4_w10_entry_time,B4_w10_wrong_direction,B4_w10_exit_type,B4_w10_rel_volume_1m,B4_w10_volume_expansion,B4_w10_directional_volume_response,B4_w10_breakout_volume,B4_w10_pullback_volume_ratio,B4_w10_lookahead_ok,B4_w15_net_R,B4_w15_gross_R,B4_w15_MFE_R,B4_w15_MAE_R,B4_w15_entry_price,B4_w15_entry_time,B4_w15_wrong_direction,B4_w15_exit_type,B4_w15_rel_volume_1m,B4_w15_volume_expansion,B4_w15_directional_volume_response,B4_w15_breakout_volume,B4_w15_pullback_volume_ratio,B4_w15_lookahead_ok,B2_w5_net_R,B2_w5_gross_R,B2_w5_MFE_R,B2_w5_MAE_R,B2_w5_entry_price,B2_w5_entry_time,B2_w5_wrong_direction,B2_w5_exit_type,B2_w5_rel_volume_1m,B2_w5_volume_expansion,B2_w5_directional_volume_response,B2_w5_breakout_volume,B2_w5_pullback_volume_ratio,B2_w5_lookahead_ok,B4_w5_net_R,B4_w5_gross_R,B4_w5_MFE_R,B4_w5_MAE_R,B4_w5_entry_price,B4_w5_entry_time,B4_w5_wrong_direction,B4_w5_exit_type,B4_w5_rel_volume_1m,B4_w5_volume_expansion,B4_w5_directional_volume_response,B4_w5_breakout_volume,B4_w5_pullback_volume_ratio,B4_w5_lookahead_ok
8,2017-10-05 18:45:00+00:00,2017-10-05 14:00:00-05:00,2017-10-05 14:00:00-05:00,L,Long,B,37.038322391948874,6055.866750467382,6051.183131140972,6069.917608446612,0.9945832929570172,True,1.8966634377237406,0.07830492655843528,0,TIME,True,0.9945832929570171,1.8966634377237406,0.07830492655843528,True,0.0,0.20153646487220434,0.29734888259833425,0.792930353595558,0.42950394153092725,6058.75,2017-10-05 14:00:00-05:00,0.0,TIME,2.1914435210834102,1.225613954555887,9.04284691376921e-05,2.260556672663774,,True,True,0.0,0.20153646487220434,0.29734888259833425,0.792930353595558,0.42950394153092725,6058.75,2017-10-05 14:00:00-05:00,0.0,TIME,2.1914435210834102,1.225613954555887,9.04284691376921e-05,2.260556672663774,,True,True,0.0,0.20153646487220434,0.29734888259833425,0.792930353595558,0.42950394153092725,6058.75,2017-10-05 14:00:00-05:00,0.0,TIME,2.1914435210834102,1.225613954555887,9.04284691376921e-05,2.260556672663774,,True,False,,False,,False,,True,0.0,0.20153646487220434,0.29734888259833425,0.792930353595558,0.42950394153092725,6058.75,2017-10-05 14:00:00-05:00,0.0,TIME,2.1914435210834102,1.225613954555887,9.04284691376921e-05,2.260556672663774,,True,True,0.0,0.20153646487220434,0.29734888259833425,0.792930353595558,0.42950394153092725,6058.75,2017-10-05 14:00:00-05:00,0.0,TIME,2.1914435210834102,1.225613954555887,9.04284691376921e-05,2.260556672663774,,True,True,0.0,0.20153646487220434,0.29734888259833425,0.792930353595558,0.42950394153092725,6058.75,2017-10-05 14:00:00-05:00,0.0,TIME,2.1914435210834102,1.225613954555887,9.04284691376921e-05,2.260556672663774,,True,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2017-10-09 19:00:00+00:00,2017-10-09 14:15:00-05:00,2017-10-09 14:15:00-05:00,S,Short,B,41.97559517484841,6064.047120392457,6067.736817659272,6052.978028592013,-0.2514785199014198,True,2.5197515460349718,0.5292790888583686,0,TIME,True,-0.25147851990141984,2.5197515460349718,0.5292790888583686,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,False,,False,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2017-10-20 14:45:00+00:00,2017-10-20 10:00:00-05:00,2017-10-20 10:00:00-05:00,S,Short,B,38.43438967013289,6106.441629117782,6110.6784977618,6093.731023185729,-1.1711169405791402,True,0.458269840516231,1.8429579810653103,1,STOP,True,-1.1711169405791402,0.458269840516231,1.1348878821171438,False,,,,,,,,,,,,,,,,True,8.0,-1.1970913255755937,-1.0,0.6796252606054952,1.155362943029342,6107.0,2017-10-20 10:08:00-05:00,0.0,STOP,0.9653858367735789,1.3587604290822406,0.00023705963086853086,0.9747755451047456,,True,True,8.0,-1.1970913255755937,-1.0,0.6796252606054952,1.155362943029342,6107.0,2017-10-20 10:08:00-05:00,0.0,STOP,0.9653858367735789,1.3587604290822406,0.00023705963086853086,0.9747755451047456,,True,False,,True,8.0,True,8.0,False,,,,,,,,,,,,,,,,True,8.0,-1.1970913255755937,-1.0,0.6796252606054952,1.155362943029342,6107.0,2017-10-20 10:08:00-05:00,0.0,STOP,0.9653858367735789,1.3587604290822406,0.00023705963086853086,0.9747755451047456,,True,True,8.0,-1.1970913255755937,-1.0,0.6796252606054952,1.155362943029342,6107.0,2017-10-20 10:08:00-05:00,0.0,STOP,0.9653858367735789,1.3587604290822406,0.00023705963086853086,0.9747755451047456,,True,False,,False,,False,,-1.1970913255755937,-1.0,0.6796252606054952,1.155362943029342,6107.0,2017-10-20 10:08:00-05:00,0.0,STOP,0.9653858367735789,1.3587604290822406,0.00023705963086853086,0.9747755451047456,,True,-1.1970913255755937,-1.0,0.6796252606054952,1.155362943029342,6107.0,2017-10-20 10:08:00-05:00,0.0,STOP,0.9653858367735789,1.3587604290822406,0.00023705963086853086,0.9747755451047456,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2017-10-23 19:15:00+00:00,2017-10-23 14:30:00-05:00,2017-10-23 14:30:00-05:00,S,Short,B,43.50891463012734,6077.644063087062,6082.480052302167,6063.136095441747,2.85008237865057,True,3.131533676659369,0.0,0,TARGET,True,2.85008237865057,3.0798379451595657,0.0,True,4.0,2.944145063276904,3.0,0.5200287212150307,0.2503841991035333,6069.5,2017-10-23 14:34:00-05:00,0.0,TARGET,1.2174496644295303,1.372994247653648,0.0006515518355597732,1.2597222222222222,,True,True,4.0,2.944145063276904,3.0,0.5200287212150307,0.2503841991035333,6069.5,2017-10-23 14:34:00-05:00,0.0,TARGET,1.2174496644295303,1.372994247653648,0.0006515518355597732,1.2597222222222222,,True,True,4.0,2.944145063276904,3.0,0.5200287212150307,0.2503841991035333,6069.5,2017-10-23 14:34:00-05:00,0.0,TARGET,1.2174496644295303,1.372994247653648,0.0006515518355597732,1.2597222222222222,,True,False,,False,,False,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,True,6.0,True,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.953165532916286,3.0,0.2745468760079784,0.0484494487072903,6067.0,2017-10-23 14:36:00-05:00,0.0,TARGET,1.6516497856210774,1.5424791086350975,0.0013600541712953764,1.7226182760855477,,True,2.953165532916286,3.0,0.2745468760079784,0.0484494487072903,6067.0,2017-10-23 14:36:00-05:00,0.0,TARGET,1.6516497856210774,1.5424791086350975,0.0013600541712953764,1.7226182760855477,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2017-10-26 14:45:00+00:00,2017-10-26 10:00:00-05:00,2017-10-26 10:00:00-05:00,L,Long,B,44.98500740264982,6061.75,6055.648948394825,6080.053154815524,-1.1188319730626572,True,0.9014839335787787,2.4176160036885426,0,STOP,True,-1.1188319730626572,0.9014839335787787,1.8849209520283552,True,0.0,-1.0717747050840318,-1.0,0.0,1.5344936948999917,6065.75,2017-10-26 10:00:00-05:00,1.0,STOP,4.049769215332129,3.212011884550085,0.0026723432773251656,4.723782771535581,,True,True,0.0,-1.0717747050840318,-1.0,0.0,1.5344936948999917,6065.75,2017-10-26 10:00:00-05:00,1.0,STOP,4.049769215332129,3.212011884550085,0.0026723432773251656,4.723782771535581,,True,True,0.0,-1.0717747050840318,-1.0,0.0,1.5344936948999917,6065.75,2017-10-26 10:00:00-05:00,1.0,STOP,4.049769215332129,3.212011884550085,0.0026723432773251656,4.723782771535581,,True,True,0.0,True,0.0,True,0.0,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,False,,False,,-1.0717747050840318,-1.0,0.0,1.5344936948999917,6065.75,2017-10-26 10:00:00-05:00,1.0,STOP,4.049769215332129,3.212011884550085,0.0026723432773251656,4.723782771535581,,True,-1.0717747050840318,-1.0,0.0,1.5344936948999917,6065.75,2017-10-26 10:00:00-05:00,1.0,STOP,4.049769215332129,3.212011884550085,0.0026723432773251656,4.723782771535581,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0717747050840318,-1.0,0.0,1.5344936948999917,6065.75,2017-10-26 10:00:00-05:00,1.0,STOP,4.049769215332129,3.212011884550085,0.0026723432773251656,4.723782771535581,,True,,,,,,,,,,,,,,
52,2017-10-26 15:30:00+00:00,2017-10-26 10:45:00-05:00,2017-10-26 10:45:00-05:00,RS,Short,B,37.16631817339315,6053.1496069923305,6059.527344010031,6037.20526444808,0.0665764347372885,True,1.0426279688039197,0.7605194435280094,0,TIME,True,0.06657643473728851,1.0426279688039197,0.7605194435280094,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,False,,False,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2017-10-27 15:30:00+00:00,2017-10-27 10:45:00-05:00,2017-10-27 10:45:00-05:00,L,Long,A,51.579012362207976,6187.876594642613,6181.302989095844,6207.597411282918,2.889710449639562,True,3.213366729582743,0.0,0,TARGET,True,2.889710449639562,3.061243211844208,0.0,True,3.0,2.9450633173477416,3.0,1.0229589183523942,0.05683105101957745,6194.5,2017-10-27 10:48:00-05:00,0.0,TARGET,0.8466628123594784,1.0910596026490067,0.00037603629571426693,0.7261707988980717,,True,True,3.0,2.9450633173477416,3.0,1.0229589183523942,0.05683105101957745,6194.5,2017-10-27 10:48:00-05:00,0.0,TARGET,0.8466628123594784,1.0910596026490067,0.00037603629571426693,0.7261707988980717,,True,True,3.0,2.9450633173477416,3.0,1.0229589183523942,0.05683105101957745,6194.5,2017-10-27 10:48:00-05:00,0.0,TARGET,0.8466628123594784,1.0910596026490067,0.00037603629571426693,0.7261707988980717,,True,False,,False,,False,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,True,4.0,True,4.0,True,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.953812862561747,3.0,0.7007703611321131,0.1433393920497504,6197.0,2017-10-27 10:49:00-05:00,0.0,TARGET,2.885897902267491,2.6615969581749046,0.001164701712110605,3.0577503693711057,,True,2.953812862561747,3.0,0.7007703611321131,0.1433393920497504,6197.0,2017-10-27 10:49:00-05:00,0.0,TARGET,2.885897902267491,2.6615969581749046,0.001164701712110605,3.0577503693711057,,True,,,,,,,,,,,,,,,2.953812862561747,3.0,0.7007703611321131,0.1433393920497504,6197.0,2017-10-27 10:49:00-05:00,0.0,TARGET,2.885897902267491,2.6615969581749046,0.001164701712110605,3.0577503693711057,,True
55,2017-10-27 18:00:00+00:00,2017-10-27 13:15:00-05:00,2017-10-27 13:15:00-05:00,L,Long,B,38.16450502530516,6219.8762738068435,6213.331688366328,6239.51003012839,-1.11077859806242,True,0.6682969048093215,1.5090755398658255,0,STOP,True,-1.1107785980624199,0.6682969048093215,1.1652798907065918,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,False,,False,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2017-11-02 20:45:00+00:00,2017-11-02 16:00:00-05:00,2017-11-02 16:00:00-05:00,L,Long,A,50.305559368024234,6258.470250349135,6251.378328274803,6279.746016572134,-1.1022289856545309,True,0.0,1.4058601102259802,1,STOP,True,-1.1022289856545309,0.0,1.3001059871350862,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,False,,False,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2017-11-15 15:45:00+00:00,2017-11-15 10:00:00-06:00,2017-11-15 10:00:00-06:00,L,Long,B,44.42372187905125,6273.25,6265.760616370666,6295.718150888003,0.2703827311060127,True,1.101559274876348,0.6008505135689172,0,TIME,True,0.2703827311060127,1.101559274876348,0.6008505135689172,True,0.0,-0.11833409437676656,-0.030342075481222194,0.9102622644366658,0.6371835851056661,6274.0,2017-11-15 10:00:00-06:00,0.0,TIME,1.1660282163879288,1.0043457267020763,0.000139404800110228,1.1287988422575979,,True,True,0.0,-0.11833409437676656,-0.030342075481222194,0.9102622644366658,0.6371835851056661,6274.0,2017-11-15 10:00:00-06:00,0.0,TIME,1.1660282163879288,1.0043457267020763,0.000139404800110228,1.1287988422575979,,True,True,0.0,-0.11833409437676656,-0.030342075481222194,0.9102622644366658,0.6371835851056661,6274.0,2017-11-15 10:00:00-06:00,0.0,TIME,1.1660282163879288,1.0043457267020763,0.000139404800110228,1.1287988422575979,,True,False,,False,,False,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,False,,True,7.0,True,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1161973751047236,-1.0,1.5225862944756896,1.0417695699044192,6272.0,2017-11-15 10:07:00-06:00,0.0,STOP,0.5542483660130719,0.7054125998225377,0.00013258472992894554,0.5495549987038797,,True,-1.1161973751047236,-1.0,1.5225862944756896,1.0417695699044192,6272.0,2017-11-15 10:07:00-06:00,0.0,STOP,0.5542483660130719,0.7054125998225377,0.00013258472992894554,0.5495549987038797,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
