signal_id,marker_bar_timestamp,actionable_timestamp,first_eligible_1m,signal_type,direction,confidence,quality_score
8,2017-10-05 18:45:00+00:00,2017-10-05 19:00:00+00:00,2017-10-05 19:00:00+00:00,L,Long,B,37.038322391948874
14,2017-10-09 19:00:00+00:00,2017-10-09 19:15:00+00:00,2017-10-09 19:15:00+00:00,S,Short,B,41.97559517484841
41,2017-10-20 14:45:00+00:00,2017-10-20 15:00:00+00:00,2017-10-20 15:00:00+00:00,S,Short,B,38.43438967013289
46,2017-10-23 19:15:00+00:00,2017-10-23 19:30:00+00:00,2017-10-23 19:30:00+00:00,S,Short,B,43.50891463012734
51,2017-10-26 14:45:00+00:00,2017-10-26 15:00:00+00:00,2017-10-26 15:00:00+00:00,L,Long,B,44.98500740264982
52,2017-10-26 15:30:00+00:00,2017-10-26 15:45:00+00:00,2017-10-26 15:45:00+00:00,RS,Short,B,37.16631817339315
54,2017-10-27 15:30:00+00:00,2017-10-27 15:45:00+00:00,2017-10-27 15:45:00+00:00,L,Long,A,51.579012362207976
55,2017-10-27 18:00:00+00:00,2017-10-27 18:15:00+00:00,2017-10-27 18:15:00+00:00,L,Long,B,38.16450502530516
66,2017-11-02 20:45:00+00:00,2017-11-02 21:00:00+00:00,2017-11-02 21:00:00+00:00,L,Long,A,50.305559368024234
88,2017-11-15 15:45:00+00:00,2017-11-15 16:00:00+00:00,2017-11-15 16:00:00+00:00,L,Long,B,44.42372187905125
89,2017-11-15 20:30:00+00:00,2017-11-15 20:45:00+00:00,2017-11-15 20:45:00+00:00,S,Short,B,38.73927039425721
107,2017-11-27 16:15:00+00:00,2017-11-27 16:30:00+00:00,2017-11-27 16:30:00+00:00,S,Short,A,56.74025923739726
111,2017-11-28 19:30:00+00:00,2017-11-28 19:45:00+00:00,2017-11-28 19:45:00+00:00,L,Long,A,54.841813512225414
116,2017-12-01 16:30:00+00:00,2017-12-01 16:45:00+00:00,2017-12-01 16:45:00+00:00,S,Short,A,55.128482596547535
118,2017-12-04 15:45:00+00:00,2017-12-04 16:00:00+00:00,2017-12-04 16:00:00+00:00,S,Short,A+,86.20287197248784
120,2017-12-04 20:45:00+00:00,2017-12-04 21:00:00+00:00,2017-12-04 21:00:00+00:00,S,Short,B,43.849873335867066
121,2017-12-05 16:15:00+00:00,2017-12-05 16:30:00+00:00,2017-12-05 16:30:00+00:00,L,Long,B,37.068782046402134
122,2017-12-05 16:45:00+00:00,2017-12-05 17:00:00+00:00,2017-12-05 17:00:00+00:00,RS,Short,A,48.753832162074744
123,2017-12-05 18:00:00+00:00,2017-12-05 18:15:00+00:00,2017-12-05 18:15:00+00:00,S,Short,B,40.94500387855813
127,2017-12-06 18:45:00+00:00,2017-12-06 19:00:00+00:00,2017-12-06 19:00:00+00:00,L,Long,B,40.442162630839526
128,2017-12-07 15:45:00+00:00,2017-12-07 16:00:00+00:00,2017-12-07 16:00:00+00:00,L,Long,A,46.251707629570845
131,2017-12-08 16:30:00+00:00,2017-12-08 16:45:00+00:00,2017-12-08 16:45:00+00:00,S,Short,B,36.767670578516416
132,2017-12-08 17:15:00+00:00,2017-12-08 17:30:00+00:00,2017-12-08 17:30:00+00:00,RL,Long,B,36.80596364169578
133,2017-12-08 19:15:00+00:00,2017-12-08 19:30:00+00:00,2017-12-08 19:30:00+00:00,S,Short,B,42.95411047305605
134,2017-12-11 17:15:00+00:00,2017-12-11 17:30:00+00:00,2017-12-11 17:30:00+00:00,L,Long,B,38.744758182653555
143,2017-12-14 18:00:00+00:00,2017-12-14 18:15:00+00:00,2017-12-14 18:15:00+00:00,S,Short,B,41.373095395581
160,2017-12-21 16:15:00+00:00,2017-12-21 16:30:00+00:00,2017-12-21 16:30:00+00:00,L,Long,B,40.25174551917235
166,2017-12-27 16:45:00+00:00,2017-12-27 17:00:00+00:00,2017-12-27 17:00:00+00:00,S,Short,B,38.98165500166171
172,2017-12-29 20:45:00+00:00,2017-12-29 21:00:00+00:00,2017-12-29 21:00:00+00:00,S,Short,A,54.80406915459313
184,2018-01-09 16:15:00+00:00,2018-01-09 16:30:00+00:00,2018-01-09 16:30:00+00:00,L,Long,B,40.40200976573536
190,2018-01-10 19:15:00+00:00,2018-01-10 19:30:00+00:00,2018-01-10 19:30:00+00:00,S,Short,B,42.65806815658749
195,2018-01-12 15:45:00+00:00,2018-01-12 16:00:00+00:00,2018-01-12 16:00:00+00:00,L,Long,B,41.83548556023452
203,2018-01-16 19:00:00+00:00,2018-01-16 19:15:00+00:00,2018-01-16 19:15:00+00:00,S,Short,B,41.829502513616646
204,2018-01-16 20:15:00+00:00,2018-01-16 20:30:00+00:00,2018-01-16 20:30:00+00:00,RL,Long,A,49.52209328755936
205,2018-01-17 16:00:00+00:00,2018-01-17 16:15:00+00:00,2018-01-17 16:15:00+00:00,L,Long,A,53.90948587291358
216,2018-01-22 21:00:00+00:00,2018-01-22 21:15:00+00:00,2018-01-22 21:15:00+00:00,L,Long,A,60.74000356592134
219,2018-01-24 16:15:00+00:00,2018-01-24 16:30:00+00:00,2018-01-24 16:30:00+00:00,S,Short,A+,63.46857486823016
221,2018-01-26 15:45:00+00:00,2018-01-26 16:00:00+00:00,2018-01-26 16:00:00+00:00,L,Long,B,39.82904354947669
223,2018-01-26 20:00:00+00:00,2018-01-26 20:15:00+00:00,2018-01-26 20:15:00+00:00,RL,Long,A,46.18486134109251
