fold,variant,train_start,train_end,test_start,test_end,parameter
2,V1,2018-01-01,2020-12-31,2021-01-01,2021-12-31,side_alignment
3,V1,2018-01-01,2021-12-31,2022-01-01,2022-12-31,side_alignment
4,V1,2018-01-01,2022-12-31,2023-01-01,2023-12-31,side_alignment
5,V1,2018-01-01,2023-12-31,2024-01-01,2024-12-31,side_alignment
6,V1,2018-01-01,2024-12-31,2025-01-01,2025-12-31,side_alignment
7,V1,2018-01-01,2025-12-31,2026-01-01,2026-06-26,side_alignment
2,V2,2018-01-01,2020-12-31,2021-01-01,2021-12-31,reclaim_loss
3,V2,2018-01-01,2021-12-31,2022-01-01,2022-12-31,reclaim_loss
4,V2,2018-01-01,2022-12-31,2023-01-01,2023-12-31,reclaim_loss
5,V2,2018-01-01,2023-12-31,2024-01-01,2024-12-31,reclaim_loss
6,V2,2018-01-01,2024-12-31,2025-01-01,2025-12-31,reclaim_loss
7,V2,2018-01-01,2025-12-31,2026-01-01,2026-06-26,reclaim_loss
2,V3,2018-01-01,2020-12-31,2021-01-01,2021-12-31,vwap_slope_1
3,V3,2018-01-01,2021-12-31,2022-01-01,2022-12-31,vwap_slope_1
4,V3,2018-01-01,2022-12-31,2023-01-01,2023-12-31,vwap_slope_10
5,V3,2018-01-01,2023-12-31,2024-01-01,2024-12-31,vwap_slope_10
6,V3,2018-01-01,2024-12-31,2025-01-01,2025-12-31,vwap_slope_10
7,V3,2018-01-01,2025-12-31,2026-01-01,2026-06-26,vwap_slope_10
2,V4,2018-01-01,2020-12-31,2021-01-01,2021-12-31,1.5
3,V4,2018-01-01,2021-12-31,2022-01-01,2022-12-31,1.5
4,V4,2018-01-01,2022-12-31,2023-01-01,2023-12-31,1.5
5,V4,2018-01-01,2023-12-31,2024-01-01,2024-12-31,0.75
6,V4,2018-01-01,2024-12-31,2025-01-01,2025-12-31,0.75
7,V4,2018-01-01,2025-12-31,2026-01-01,2026-06-26,0.75
2,V5,2018-01-01,2020-12-31,2021-01-01,2021-12-31,"tol=0.25,wait=5"
3,V5,2018-01-01,2021-12-31,2022-01-01,2022-12-31,"tol=0.25,wait=3"
4,V5,2018-01-01,2022-12-31,2023-01-01,2023-12-31,"tol=0.25,wait=3"
5,V5,2018-01-01,2023-12-31,2024-01-01,2024-12-31,"tol=0.25,wait=5"
6,V5,2018-01-01,2024-12-31,2025-01-01,2025-12-31,"tol=0.25,wait=3"
7,V5,2018-01-01,2025-12-31,2026-01-01,2026-06-26,"tol=0.1,wait=3"
