model,segment,B0_N,V_N,B0_AvgR,V_AvgR
Break_Strength,Long,602,391,2.1983780307207286,2.0902236111936126
Break_Strength,Short,533,340,1.0271668583952067,1.0303480534651173
Displacement_BodyRange,Long,602,318,2.1983780307207286,2.2413419260651084
Displacement_BodyRange,Short,533,255,1.0271668583952067,1.0338566390235624
Displacement_RangeATR,Long,602,599,2.1983780307207286,2.2051864439795996
Displacement_RangeATR,Short,533,533,1.0271668583952067,1.0271668583952067
Displacement_BodyATR,Long,602,480,2.1983780307207286,2.1001196544444625
Displacement_BodyATR,Short,533,441,1.0271668583952067,1.0215426127442857
Close_Quality,Long,602,377,2.1983780307207286,2.142632345516536
Close_Quality,Short,533,302,1.0271668583952067,1.0268665900687006
Wick_Quality,Long,602,461,2.1983780307207286,2.2602934167953257
Wick_Quality,Short,533,395,1.0271668583952067,1.0511510777394264
Structure_Touches,Long,602,449,2.1983780307207286,2.200798342495975
Structure_Touches,Short,533,333,1.0271668583952067,1.027283505614814
Structure_Age,Long,602,347,2.1983780307207286,1.9704533294559523
Structure_Age,Short,533,309,1.0271668583952067,1.029603869620274
Local_Liquidity,Long,602,8,2.1983780307207286,2.6402775234699467
Local_Liquidity,Short,533,14,1.0271668583952067,1.0589493210880616
Follow_F1,Long,602,268,2.1983780307207286,2.0075735395113887
Follow_F1,Short,533,254,1.0271668583952067,1.0555587345848407
Follow_F2,Long,602,401,2.1983780307207286,2.06158218870948
Follow_F2,Short,533,349,1.0271668583952067,1.0315212791686497
Follow_F3,Long,602,455,2.1983780307207286,2.1168600081146365
Follow_F3,Short,533,404,1.0271668583952067,1.0515734822360012
Follow_F4,Long,602,394,2.1983780307207286,2.0942294224849847
Follow_F4,Short,533,350,1.0271668583952067,1.05202146596633
Retest,Long,602,406,2.1983780307207286,2.169520309546904
Retest,Short,533,364,1.0271668583952067,0.9896066933050387
