feature,bucket,N,AvgR,MedianR,PF,MAE,MFE,wrong_direction_rate,success_mean,wrong_dir_mean,success_N,wrong_N
break_strength_atr,<0.05,53.0,1.369253292423976,0.9988927207107272,15.03466045742848,0.18989835795836693,0.33112645792137074,0.05660377358490566,,,,
break_strength_atr,0.05-0.10,79.0,1.592699595291334,0.9996406504397516,14.63783758530443,0.21044051523422044,0.20357318652363446,0.02531645569620253,,,,
break_strength_atr,0.10-0.20,166.0,1.722803534183691,0.9996844811382796,16.82981025824848,0.19114240656012224,0.3988909958463455,0.08433734939759036,,,,
break_strength_atr,0.20-0.30,146.0,1.6057083952157722,0.9997049534238458,17.722396646348795,0.1842458126871995,0.2723190297425526,0.06164383561643835,,,,
break_strength_atr,0.30-0.50,173.0,1.689370221489151,0.9997163922372534,20.616189172018764,0.17732439124888844,0.22906800771010838,0.06358381502890173,,,,
break_strength_atr,>0.50,518.0,1.659903391502739,0.9996711122131785,18.14749370884071,0.19041764012336843,0.24741829948296346,0.07142857142857142,,,,
close_quality,<50%,149.0,1.6176018013553428,0.9996019297955864,19.84064158457603,0.1543882816211154,0.19462230642898426,0.053691275167785234,,,,
close_quality,50-60%,70.0,1.6961674973665761,1.9057991613739018,13.819037782941386,0.22419872674461364,0.2137732073782554,0.07142857142857142,,,,
close_quality,60-70%,106.0,1.2955804224318943,0.9989172356521709,8.658080792436703,0.25832356474299095,0.2374038945738112,0.12264150943396226,,,,
close_quality,70-80%,177.0,1.612080827336035,0.9996856514650512,15.536111900592923,0.1794944263316492,0.2525151183508118,0.06779661016949153,,,,
close_quality,80-90%,270.0,1.76402754340784,2.4923328021459072,23.09164377631546,0.19000026391584673,0.27796442268864646,0.05925925925925926,,,,
close_quality,>90%,362.0,1.68285828330387,0.9996826423275914,21.074021909246635,0.18087524422935672,0.32736738483643024,0.06077348066298342,,,,
b1_delay_min,0-1,584.0,1.5892141828859063,0.9996511581935827,14.356514673600563,0.21333256203918805,0.25241687793176243,0.08904109589041095,,,,
b1_delay_min,2-3,217.0,1.683664654588495,1.2193812498313878,17.326051799801053,0.20516215551416486,0.2908792461416867,0.059907834101382486,,,,
b1_delay_min,4-5,136.0,1.684193968921563,0.9996523695971482,27.575990084079816,0.183386918343411,0.4077081943931464,0.03676470588235294,,,,
b1_delay_min,6-7,84.0,1.7700851637692328,0.9996634558679758,30.372565299279994,0.1247665137238682,0.19019697049045842,0.03571428571428571,,,,
b1_delay_min,8-10,114.0,1.7518391547149366,0.9996833645686967,34.40664719524989,0.08864023738247731,0.22316490386463111,0.02631578947368421,,,,
break_strength_atr,,,,,,,,,0.6885791408073356,0.7403233411547216,1059.0,76.0
range_atr,,,,,,,,,1.2912710583888742,1.3195422263539338,1059.0,76.0
body_atr,,,,,,,,,0.820161692108045,0.8785981135591152,1059.0,76.0
body_range_ratio,,,,,,,,,0.6154844147310891,0.6223375200392994,1059.0,76.0
close_quality,,,,,,,,,0.7633462778126421,0.7566544790391295,1059.0,76.0
opposing_wick_ratio,,,,,,,,,0.21456478159381037,0.2235887426514606,1059.0,76.0
b1_delay_min,,,,,,,,,2.6109537299339,1.4605263157894737,1059.0,76.0
structure_age_bars,,,,,,,,,4.547686496694995,4.592105263157895,1059.0,76.0
