fold,variant,b1_window,parameter,train_N
1,Break_Strength,5.0,0.3,248.0
2,Break_Strength,5.0,0.05,401.0
3,Break_Strength,10.0,0.3,676.0
4,Break_Strength,10.0,0.3,924.0
5,Break_Strength,10.0,0.3,1112.0
6,Break_Strength,10.0,0.3,1278.0
7,Break_Strength,10.0,0.3,1438.0
1,Displacement_BodyRange,5.0,0.7,248.0
2,Displacement_BodyRange,5.0,0.7,401.0
3,Displacement_BodyRange,10.0,0.7,676.0
4,Displacement_BodyRange,10.0,0.6,924.0
5,Displacement_BodyRange,10.0,0.6,1112.0
6,Displacement_BodyRange,10.0,0.6,1278.0
7,Displacement_BodyRange,10.0,0.6,1438.0
1,Displacement_RangeATR,5.0,0.5,248.0
2,Displacement_RangeATR,5.0,0.5,401.0
3,Displacement_RangeATR,10.0,0.5,676.0
4,Displacement_RangeATR,10.0,0.5,924.0
5,Displacement_RangeATR,10.0,0.5,1112.0
6,Displacement_RangeATR,10.0,0.5,1278.0
7,Displacement_RangeATR,10.0,0.5,1438.0
1,Displacement_BodyATR,5.0,0.25,248.0
2,Displacement_BodyATR,5.0,0.25,401.0
3,Displacement_BodyATR,10.0,0.25,676.0
4,Displacement_BodyATR,10.0,0.25,924.0
5,Displacement_BodyATR,10.0,0.75,1112.0
6,Displacement_BodyATR,10.0,0.5,1278.0
7,Displacement_BodyATR,10.0,0.25,1438.0
1,Close_Quality,5.0,0.8,248.0
2,Close_Quality,5.0,0.6,401.0
3,Close_Quality,10.0,0.8,676.0
4,Close_Quality,10.0,0.8,924.0
5,Close_Quality,10.0,0.8,1112.0
6,Close_Quality,10.0,0.8,1278.0
7,Close_Quality,10.0,0.8,1438.0
1,Wick_Quality,5.0,0.4,248.0
2,Wick_Quality,5.0,0.3,401.0
3,Wick_Quality,10.0,0.3,676.0
4,Wick_Quality,10.0,0.3,924.0
5,Wick_Quality,10.0,0.3,1112.0
6,Wick_Quality,10.0,0.3,1278.0
7,Wick_Quality,10.0,0.3,1438.0
1,Structure_Touches,5.0,3,248.0
2,Structure_Touches,5.0,3,401.0
3,Structure_Touches,10.0,2,676.0
4,Structure_Touches,10.0,2,924.0
5,Structure_Touches,10.0,2,1112.0
6,Structure_Touches,10.0,3,1278.0
7,Structure_Touches,10.0,3,1438.0
1,Structure_Age,5.0,3,248.0
2,Structure_Age,5.0,3,401.0
3,Structure_Age,10.0,3,676.0
4,Structure_Age,10.0,5,924.0
5,Structure_Age,10.0,5,1112.0
6,Structure_Age,10.0,5,1278.0
7,Structure_Age,10.0,5,1438.0
1,Local_Liquidity,,sweep_required,248.0
2,Local_Liquidity,,sweep_required,401.0
3,Local_Liquidity,,sweep_required,676.0
4,Local_Liquidity,,sweep_required,924.0
5,Local_Liquidity,,sweep_required,1112.0
6,Local_Liquidity,,sweep_required,1278.0
7,Local_Liquidity,,sweep_required,1438.0
1,F1,,F1,
1,F2,,F2,
1,F3,,F3,
1,F4,,F4,
2,F1,,F1,
2,F2,,F2,
2,F3,,F3,
2,F4,,F4,
3,F1,,F1,
3,F2,,F2,
3,F3,,F3,
3,F4,,F4,
4,F1,,F1,
4,F2,,F2,
4,F3,,F3,
4,F4,,F4,
5,F1,,F1,
5,F2,,F2,
5,F3,,F3,
5,F4,,F4,
6,F1,,F1,
6,F2,,F2,
6,F3,,F3,
6,F4,,F4,
7,F1,,F1,
7,F2,,F2,
7,F3,,F3,
7,F4,,F4,
1,Retest,,0.1,
2,Retest,,0.1,
3,Retest,,0.1,
4,Retest,,0.1,
5,Retest,,0.1,
6,Retest,,0.1,
7,Retest,,0.1,
