model,segment,B0_N,V_N,B0_AvgR,V_AvgR
Break_Strength,A+,436,295,1.52014209416931,1.5274418839953336
Break_Strength,A,358,218,1.7686636573687522,1.7552349597788972
Break_Strength,B,341,218,1.6860409607703553,1.5337577667175197
Displacement_BodyRange,A+,436,216,1.52014209416931,1.5474549393738404
Displacement_BodyRange,A,358,173,1.7686636573687522,1.8034750623572955
Displacement_BodyRange,B,341,184,1.6860409607703553,1.7941778410171254
Displacement_RangeATR,A+,436,435,1.52014209416931,1.524276078326344
Displacement_RangeATR,A,358,358,1.7686636573687522,1.7686636573687522
Displacement_RangeATR,B,341,339,1.6860409607703553,1.687743162414314
Displacement_BodyATR,A+,436,358,1.52014209416931,1.4802933075749412
Displacement_BodyATR,A,358,293,1.7686636573687522,1.6794751177084484
Displacement_BodyATR,B,341,270,1.6860409607703553,1.6167648620487698
Close_Quality,A+,436,261,1.52014209416931,1.534495262060963
Close_Quality,A,358,201,1.7686636573687522,1.8270061960675756
Close_Quality,B,341,217,1.6860409607703553,1.613615648170451
Wick_Quality,A+,436,325,1.52014209416931,1.5801851009689905
Wick_Quality,A,358,256,1.7686636573687522,1.8170396928147383
Wick_Quality,B,341,275,1.6860409607703553,1.7399186242699038
Structure_Touches,A+,436,242,1.52014209416931,1.4927028868943548
Structure_Touches,A,358,254,1.7686636573687522,1.8134720521266117
Structure_Touches,B,341,286,1.6860409607703553,1.7775799415448696
Structure_Age,A+,436,275,1.52014209416931,1.5207605880640913
Structure_Age,A,358,210,1.7686636573687522,1.6542218422255646
Structure_Age,B,341,171,1.6860409607703553,1.381866388589979
Local_Liquidity,A+,436,5,1.52014209416931,1.6340265132434932
Local_Liquidity,A,358,10,1.7686636573687522,1.1827569238901596
Local_Liquidity,B,341,7,1.6860409607703553,2.2785441254104817
Follow_F1,A+,436,201,1.52014209416931,1.3768661778649125
Follow_F1,A,358,175,1.7686636573687522,1.5838699942474341
Follow_F1,B,341,146,1.6860409607703553,1.727495044037351
Follow_F2,A+,436,280,1.52014209416931,1.3999184164261254
Follow_F2,A,358,237,1.7686636573687522,1.7253357336022952
Follow_F2,B,341,233,1.6860409607703553,1.6558526121858412
Follow_F3,A+,436,336,1.52014209416931,1.492722949284373
Follow_F3,A,358,273,1.7686636573687522,1.66915831506199
Follow_F3,B,341,250,1.6860409607703553,1.7230874381761268
Follow_F4,A+,436,293,1.52014209416931,1.4760907801614194
Follow_F4,A,358,238,1.7686636573687522,1.6703938191137573
Follow_F4,B,341,213,1.6860409607703553,1.705566093948025
Retest,A+,436,284,1.52014209416931,1.494598020339018
Retest,A,358,235,1.7686636573687522,1.6528915527262675
Retest,B,341,251,1.6860409607703553,1.7057638620403306
