model,segment,N,dAvgR,dMAE,dMFE,dWrongDir
Break_Strength,rejected,404,1.7408607422368352,0.14486489923222745,0.2574715940257313,0.04702970297029703
Displacement_BodyRange,rejected,562,1.5916785312790227,0.2157418096251094,0.322941451077662,0.07829181494661921
Displacement_RangeATR,rejected,3,0.838964850032751,0.30530853437879907,0.08209661883844574,0.0
Displacement_BodyATR,rejected,214,1.9268494563782783,0.09954864377677439,0.24563044411529897,0.03271028037383177
Close_Quality,rejected,456,1.6513539595571094,0.1596871762437973,0.18218567743435016,0.05482456140350877
Wick_Quality,rejected,279,1.4828084916444637,0.21190537673472687,0.21383378347977317,0.07885304659498207
Structure_Touches,rejected,353,1.5316137305045263,0.19108760593630988,0.2571749219284647,0.07365439093484419
Structure_Age,rejected,479,1.814214214999256,0.09493925482358669,0.15551789244215908,0.029227557411273485
Local_Liquidity,rejected,1113,1.648657681343694,0.19073109071885927,0.26945880656422855,0.06828391734052111
Follow_F1,rejected,613,1.6942241447079844,0.19565190622434375,0.13958955440770135,0.08482871125611746
Follow_F2,rejected,385,1.7031477176048155,0.1911577199539432,0.13979071696076104,0.08311688311688312
Follow_F3,rejected,276,1.6349331849018929,0.2166081931117279,0.12194644026900282,0.10507246376811594
Follow_F4,rejected,391,1.6684773486415088,0.194895828812706,0.11839370930905264,0.09462915601023018
Retest,rejected,365,1.6858188351182375,0.18958742592287292,0.2867478796755024,0.07397260273972603
