model,segment,B0_N,V_N,B0_AvgR,V_AvgR
Break_Strength,L,517,334,2.2389436003985286,2.138166581963581
Break_Strength,S,465,294,1.038528828695169,1.0357763945519245
Break_Strength,RL,85,57,1.9516439186804633,1.809294624576607
Break_Strength,RS,68,46,0.9494710320792876,0.9956538734755231
Displacement_BodyRange,L,517,276,2.2389436003985286,2.295063040760387
Displacement_BodyRange,S,465,227,1.038528828695169,1.062560129823066
Displacement_BodyRange,RL,85,42,1.9516439186804633,1.8883174580675655
Displacement_BodyRange,RS,68,28,0.9494710320792876,0.8011533386132997
Displacement_RangeATR,L,517,514,2.2389436003985286,2.247114682599107
Displacement_RangeATR,S,465,465,1.038528828695169,1.038528828695169
Displacement_RangeATR,RL,85,85,1.9516439186804633,1.9516439186804633
Displacement_RangeATR,RS,68,68,0.9494710320792876,0.9494710320792876
Displacement_BodyATR,L,517,415,2.2389436003985286,2.132813421444648
Displacement_BodyATR,S,465,386,1.038528828695169,1.0411669501969159
Displacement_BodyATR,RL,85,65,1.9516439186804633,1.8913825266740483
Displacement_BodyATR,RS,68,55,0.9494710320792876,0.8838154444403739
Close_Quality,L,517,322,2.2389436003985286,2.181389522182495
Close_Quality,S,465,265,1.038528828695169,1.0565826927267292
Close_Quality,RL,85,55,1.9516439186804633,1.9157266930358343
Close_Quality,RS,68,37,0.9494710320792876,0.8140350440044409
Wick_Quality,L,517,389,2.2389436003985286,2.3135860652598326
Wick_Quality,S,465,347,1.038528828695169,1.078821262840542
Wick_Quality,RL,85,72,1.9516439186804633,1.972365079952361
Wick_Quality,RS,68,48,0.9494710320792876,0.8511186979459463
Structure_Touches,L,517,389,2.2389436003985286,2.250810933065005
Structure_Touches,S,465,289,1.038528828695169,1.050994446392018
Structure_Touches,RL,85,60,1.9516439186804633,1.8765500469734335
Structure_Touches,RS,68,44,0.9494710320792876,0.8715457355099975
Structure_Age,L,517,298,2.2389436003985286,1.9869991248771364
Structure_Age,S,465,265,1.038528828695169,1.0545403661722081
Structure_Age,RL,85,49,1.9516439186804633,1.8698278797516108
Structure_Age,RS,68,44,0.9494710320792876,0.8794181517506705
Local_Liquidity,L,517,8,2.2389436003985286,2.6402775234699467
Local_Liquidity,S,465,12,1.038528828695169,1.1510355249175697
Local_Liquidity,RL,85,0,1.9516439186804633,0.0
Local_Liquidity,RS,68,2,0.9494710320792876,0.5064320981110141
Follow_F1,L,517,222,2.2389436003985286,2.0358057550248776
Follow_F1,S,465,221,1.038528828695169,1.0689954024750523
Follow_F1,RL,85,46,1.9516439186804633,1.8713224124680254
Follow_F1,RS,68,33,0.9494710320792876,0.9655737768958472
Follow_F2,L,517,332,2.2389436003985286,2.084442074416516
Follow_F2,S,465,307,1.038528828695169,1.0438855202241306
Follow_F2,RL,85,69,1.9516439186804633,1.9515896951625793
Follow_F2,RS,68,42,0.9494710320792876,0.9411445647869202
Follow_F3,L,517,380,2.2389436003985286,2.165675950724185
Follow_F3,S,465,350,1.038528828695169,1.0609452173775622
Follow_F3,RL,85,75,1.9516439186804633,1.8695258988929253
Follow_F3,RS,68,54,0.9494710320792876,0.9908307544666256
Follow_F4,L,517,333,2.2389436003985286,2.1403419926249034
Follow_F4,S,465,304,1.038528828695169,1.0621507124689165
Follow_F4,RL,85,61,1.9516439186804633,1.8425001461473953
Follow_F4,RS,68,46,0.9494710320792876,0.9850803586448891
Retest,L,517,351,2.2389436003985286,2.1978820752210386
Retest,S,465,321,1.038528828695169,0.9900873178644647
Retest,RL,85,55,1.9516439186804633,1.988520677699245
Retest,RS,68,43,0.9494710320792876,0.9860187750823459
