gross_R,net_R,cost_R,MFE_R,MAE_R,bars_to_MFE,bars_to_MAE,bars_to_plus_0.5r,bars_to_plus_1r,bars_to_stop,bars_to_target,exit_type,exit_timestamp,wrong_direction,signal_id,fold,variant
3.0,2.996953633332984,0.003046366667016346,0.004201885057953581,0.011555183909372347,1.0,1.0,,,,1.0,TARGET,2020-01-07 10:16:00-06:00,0,1533,1,M0
1.0,0.9964665128803879,0.0035334871196121263,0.003655331503047027,0.019495101349584147,1.0,1.0,,,1.0,,STOP,2020-01-10 10:50:00-06:00,0,1539,1,M0
1.0,0.9963830025882432,0.0036169974117568142,0.0,0.01995584778900311,,1.0,,,1.0,,STOP,2020-01-15 14:19:00-06:00,0,1548,1,M0
1.0,0.9965571851249095,0.0034428148750905003,0.02967943857836638,0.005935887715673277,1.0,1.0,,,1.0,,STOP,2020-01-16 10:16:00-06:00,0,1549,1,M0
1.0,0.9964054428833696,0.003594557116630356,0.011155522086094207,0.006197512270052338,1.0,1.0,,,1.0,,STOP,2020-01-22 10:16:00-06:00,0,1559,1,M0
3.0,2.996930593961914,0.0030694060380856594,0.007408911126413661,0.0010584158752019515,1.0,1.0,,,,1.0,TARGET,2020-01-23 15:51:00-06:00,0,1562,1,M0
1.0,0.9964541563674885,0.003545843632511502,0.008558932906062246,0.020785979914722596,1.0,1.0,,,1.0,,STOP,2020-01-24 12:31:00-06:00,0,1565,1,M0
3.0,2.997181375126492,0.0028186248735080563,0.01360715456176303,0.0,1.0,,,,,1.0,TARGET,2020-01-31 11:01:00-06:00,0,1576,1,M0
1.0,0.9966056548607708,0.00339434513922918,0.019897885298929677,0.004681855364454041,1.0,1.0,,,1.0,,STOP,2020-02-03 12:31:00-06:00,0,1579,1,M0
1.0,0.996449063999002,0.003550936000997986,0.004897842759997223,0.01102014620999375,1.0,1.0,,,1.0,,STOP,2020-02-11 13:19:00-06:00,0,1595,1,M0
3.0,2.997074857859636,0.002925142140364184,0.02118206377505099,0.0010086697035738565,1.0,1.0,,,,1.0,TARGET,2020-02-13 10:01:00-06:00,0,1598,1,M0
1.0,0.9964056133069807,0.003594386693019252,0.009915549497984143,0.007436662123488108,1.0,1.0,,,1.0,,STOP,2020-02-20 11:46:00-06:00,0,1609,1,M0
3.0,2.9971993262042167,0.002800673795783217,0.036698484220607674,0.006760247093269834,1.0,1.0,,,,1.0,TARGET,2020-02-24 13:46:00-06:00,0,1611,1,M0
1.0,0.9956430565738834,0.004356943426116619,0.06009577139471198,0.0015023942848677995,1.0,1.0,,,1.0,,STOP,2020-02-25 11:46:00-06:00,0,1613,1,M0
1.0,0.9954540678385457,0.004545932161454306,0.07837814071472941,0.00783781407147294,1.0,1.0,,,1.0,,STOP,2020-02-25 13:18:00-06:00,0,1614,1,M0
3.0,2.9976124938390662,0.0023875061609336594,0.07656485274718287,0.013995725770990416,1.0,1.0,,,,1.0,TARGET,2020-02-27 10:18:00-06:00,0,1620,1,M0
2.5,2.4976159450974946,0.0023840549025053886,0.005754615281909559,0.03123934010179475,1.0,1.0,,,,1.0,TARGET,2020-02-27 11:16:00-06:00,0,1621,1,M0
3.0,2.9975904163842184,0.0024095836157814513,0.03572830878572497,0.02741939976578893,1.0,1.0,,,,1.0,TARGET,2020-02-28 10:16:00-06:00,0,1623,1,M0
1.0,0.9941343843879885,0.005865615612011451,0.127425442605766,0.024271512877288764,1.0,1.0,,,1.0,,STOP,2020-02-28 13:04:00-06:00,0,1624,1,M0
1.0,0.9946693966436482,0.005330603356351794,0.15807996160215665,0.0,1.0,,,,1.0,,STOP,2020-03-01 17:34:00-06:00,0,1626,1,M0
3.0,2.9975194013947575,0.0024805986052423416,0.008553788293939109,0.047901214446059014,1.0,1.0,,,,1.0,TARGET,2020-03-02 10:01:00-06:00,0,1627,1,M0
3.0,2.997866109498075,0.0021338905019246657,0.021338905019246655,0.03384791830639125,1.0,1.0,,,,1.0,TARGET,2020-03-03 14:19:00-06:00,0,1631,1,M0
3.0,2.997301289949629,0.0026987100503712384,0.0018611793450836126,0.029778869521337802,1.0,1.0,,,,1.0,TARGET,2020-03-04 11:31:00-06:00,0,1632,1,M0
3.0,2.997425614665656,0.002574385334344249,0.045273673121226446,0.00532631448485017,1.0,1.0,,,,1.0,TARGET,2020-03-04 14:51:00-06:00,0,1633,1,M0
1.0,0.9961928613826904,0.0038071386173096832,0.03675857975333487,0.028881741234763114,1.0,1.0,,,1.0,,STOP,2020-03-05 13:46:00-06:00,0,1637,1,M0
1.0,0.9960653348940789,0.003934665105921144,0.042060213201226014,0.03934665105921144,1.0,1.0,,,1.0,,STOP,2020-03-06 14:01:00-06:00,0,1640,1,M0
2.5,2.4980008569357373,0.0019991430642629145,0.017923351610633027,0.035846703221266055,1.0,1.0,,,,1.0,TARGET,2020-03-06 14:46:00-06:00,0,1641,1,M0
3.0,2.9976360638763433,0.0023639361236564996,0.024454511624032754,0.01548785736188741,1.0,1.0,,,,1.0,TARGET,2020-03-09 10:36:00-05:00,0,1642,1,M0
1.0,0.9961108832710286,0.0038891167289714086,0.054984064099250954,0.07510018511117203,1.0,1.0,,,1.0,,STOP,2020-03-10 10:16:00-05:00,0,1645,1,M0
2.5,2.497822261582296,0.002177738417704035,0.007509442819669085,0.05031326689178287,1.0,1.0,,,,1.0,TARGET,2020-03-10 11:46:00-05:00,0,1646,1,M0
3.0,2.997699308975496,0.0023006910245037984,0.03887374489678832,0.013486809453987784,1.0,1.0,,,,1.0,TARGET,2020-03-10 14:04:00-05:00,0,1647,1,M0
2.5,2.497748022934877,0.002251977065122677,0.045816085118013085,0.0,1.0,,,,,1.0,TARGET,2020-03-11 11:18:00-05:00,0,1649,1,M0
1.0,0.9955973044246554,0.004402695575344567,0.0045545126641495515,0.13359903814838686,1.0,1.0,,,1.0,,STOP,2020-03-12 10:35:00-05:00,0,1652,1,M0
3.0,2.99788349421127,0.002116505788730204,0.014596591646415198,0.05546704825637775,1.0,1.0,,,,1.0,TARGET,2020-03-17 10:33:00-05:00,0,1660,1,M0
1.0,0.9930261765712056,0.006973823428794378,0.18757180256757294,0.1442860019750561,1.0,1.0,,,1.0,,STOP,2020-03-18 12:31:00-05:00,0,1663,1,M0
3.0,2.9975611873634302,0.0024388126365697863,0.01261454812018855,0.08830183684131984,1.0,1.0,,,,1.0,TARGET,2020-03-19 10:48:00-05:00,0,1665,1,M0
1.0,0.9884609680693184,0.011539031930681579,0.07162157750078221,0.29046528653095005,1.0,1.0,,,1.0,,STOP,2020-03-20 15:04:00-05:00,0,1670,1,M0
1.0,0.9939487041715953,0.0060512958284046564,0.06677291948584449,0.07929284188944033,1.0,1.0,,,1.0,,STOP,2020-03-23 10:19:00-05:00,0,1671,1,M0
1.0,0.9568695742178127,0.043130425782187246,0.46104937905096716,0.31232377290549385,1.0,1.0,,,1.0,,STOP,2020-03-25 15:05:00-05:00,0,1675,1,M0
1.0,0.9950028344506795,0.004997165549320546,0.09994331098641092,0.013785284273987713,1.0,1.0,,,1.0,,STOP,2020-03-26 12:31:00-05:00,0,1677,1,M0
