fold,family,variant,stop_mode,stop_param
1,Stop_S3,M0,S3,2.0
1,Fixed_Target,T_4.0R,,
1,Break_Even,BE_0.5_BE1,,
1,Partials,P1,,
1,Trailing,TR_TR2_1.0,,
1,Opposite_BOS,OppBOS_1.0,,
1,Time_Exit,TIME_45,,
1,Stagnation,ST2,,
1,Profit_Lock,PL_1.0_1.0,,
1,Structure_Target,Structure_Target,,
1,INV_15M,INV_15M,,
2,Stop_S3,M0,S3,2.0
2,Fixed_Target,T_4.0R,,
2,Break_Even,BE_0.5_BE1,,
2,Partials,P1,,
2,Trailing,TR_TR2_1.0,,
2,Opposite_BOS,OppBOS_1.0,,
2,Time_Exit,TIME_60,,
2,Stagnation,ST2,,
2,Profit_Lock,PL_2.0_1.0,,
2,Structure_Target,Structure_Target,,
2,INV_15M,INV_15M,,
3,Stop_S3,M0,S3,2.0
3,Fixed_Target,T_2.5R,,
3,Break_Even,BE_1.0_BE1,,
3,Partials,P3,,
3,Trailing,TR_TR2_1.0,,
3,Opposite_BOS,OppBOS_1.0,,
3,Time_Exit,TIME_60,,
3,Stagnation,ST3,,
3,Profit_Lock,PL_2.0_0.5,,
3,Structure_Target,Structure_Target,,
3,INV_15M,INV_15M,,
4,Stop_S3,M0,S3,1.5
4,Fixed_Target,T_4.0R,,
4,Break_Even,BE_1.0_BE1,,
4,Partials,P1,,
4,Trailing,TR_TR2_1.0,,
4,Opposite_BOS,OppBOS_1.0,,
4,Time_Exit,TIME_60,,
4,Stagnation,ST3,,
4,Profit_Lock,PL_2.0_1.0,,
4,Structure_Target,Structure_Target,,
4,INV_15M,INV_15M,,
5,Stop_S3,M0,S3,2.0
5,Fixed_Target,T_4.0R,,
5,Break_Even,BE_1.0_BE1,,
5,Partials,P1,,
5,Trailing,TR_TR2_1.0,,
5,Opposite_BOS,OppBOS_1.0,,
5,Time_Exit,TIME_60,,
5,Stagnation,ST3,,
5,Profit_Lock,PL_2.0_1.0,,
5,Structure_Target,Structure_Target,,
5,INV_15M,INV_15M,,
6,Stop_S3,M0,S3,2.0
6,Fixed_Target,T_4.0R,,
6,Break_Even,BE_1.0_BE1,,
6,Partials,P1,,
6,Trailing,TR_TR2_1.0,,
6,Opposite_BOS,OppBOS_1.0,,
6,Time_Exit,TIME_60,,
6,Stagnation,ST3,,
6,Profit_Lock,PL_2.0_1.0,,
6,Structure_Target,Structure_Target,,
6,INV_15M,INV_15M,,
7,Stop_S3,M0,S3,2.0
7,Fixed_Target,T_4.0R,,
7,Break_Even,BE_1.0_BE1,,
7,Partials,P1,,
7,Trailing,TR_TR2_1.0,,
7,Opposite_BOS,OppBOS_1.0,,
7,Time_Exit,TIME_60,,
7,Stagnation,ST3,,
7,Profit_Lock,PL_2.0_1.0,,
7,Structure_Target,Structure_Target,,
7,INV_15M,INV_15M,,
