family,segment,N,AvgR
Stop_S3,A+,436,-0.008357185143497954
Stop_S3,A,358,0.037031174028627205
Stop_S3,B,341,-0.029025269288666965
Fixed_Target,A+,436,0.3968401039441394
Fixed_Target,A,358,0.34494966280973977
Fixed_Target,B,341,0.29871102137838323
Break_Even,A+,436,1.5229610335991177
Break_Even,A,358,1.7362238512293806
Break_Even,B,341,1.6696616775401043
Partials,A+,436,1.5127799065880785
Partials,A,358,1.7331492027076167
Partials,B,341,1.6792579286273464
Trailing,A+,436,4.927809445909843
Trailing,A,358,11.936540502757156
Trailing,B,341,10.619751630024354
Opposite_BOS,A+,436,1.5106417706962612
Opposite_BOS,A,358,1.7400522807268946
Opposite_BOS,B,341,1.688226214856579
Time_Exit,A+,436,1.52014209416931
Time_Exit,A,358,1.7619894173894717
Time_Exit,B,341,1.6834144997507428
Stagnation,A+,436,1.407704009459253
Stagnation,A,358,1.6754075579677483
Stagnation,B,341,1.628287334380082
Profit_Lock,A+,436,1.523582461141787
Profit_Lock,A,358,1.7321635345584536
Profit_Lock,B,341,1.6893410145255476
Structure_Target,A+,436,0.4608419298211044
Structure_Target,A,358,0.4360947950742147
Structure_Target,B,341,0.34640023332362435
INV_15M,A+,436,1.5198290991043306
INV_15M,A,358,1.741284206878483
INV_15M,B,341,1.6722636004484768
