family,segment,N,AvgR
Stop_S3,L,517,-0.032592696660464104
Stop_S3,S,465,0.006810109714613535
Stop_S3,RL,85,0.22650472638652558
Stop_S3,RS,68,-0.08607893874179469
Fixed_Target,L,517,0.015557498391117712
Fixed_Target,S,465,0.7329596470056489
Fixed_Target,RL,85,0.1003419734159103
Fixed_Target,RS,68,0.6025910680790192
Break_Even,L,517,2.212979540828806
Break_Even,S,465,1.0327917088229068
Break_Even,RL,85,1.9516439186804633
Break_Even,RS,68,0.9512570754636083
Partials,L,517,2.2190880544715967
Partials,S,465,1.0225127417269557
Partials,RL,85,1.9454756265577966
Partials,RS,68,0.9494710320792876
Trailing,L,517,8.17347456902273
Trailing,S,465,11.396761318571633
Trailing,RL,85,5.334086220471825
Trailing,RS,68,0.9494710320792876
Opposite_BOS,L,517,2.217983589551027
Opposite_BOS,S,465,1.0317884871222711
Opposite_BOS,RL,85,1.9555350035148595
Opposite_BOS,RS,68,0.9494710320792876
Time_Exit,L,517,2.2327620186369503
Time_Exit,S,465,1.0383371655778901
Time_Exit,RL,85,1.9516439186804633
Time_Exit,RS,68,0.9494710320792876
Stagnation,L,517,2.189985328843137
Stagnation,S,465,0.8904495938154118
Stagnation,RL,85,1.897326670955788
Stagnation,RS,68,0.9006851725439092
Profit_Lock,L,517,2.226977200697989
Profit_Lock,S,465,1.0293780824792815
Profit_Lock,RL,85,1.9516439186804633
Profit_Lock,RS,68,0.9494710320792876
Structure_Target,L,517,0.03614945422208837
Structure_Target,S,465,0.8613549440397572
Structure_Target,RL,85,0.14738164797022513
Structure_Target,RS,68,0.6385991281345653
INV_15M,L,517,2.218821024807789
INV_15M,S,465,1.028405198134283
INV_15M,RL,85,1.9564046082769926
INV_15M,RS,68,0.9504976818132759
