gross_R,net_R,cost_R,MFE_R,MAE_R,bars_to_MFE,bars_to_MAE,bars_to_plus_0.5r,bars_to_plus_1r,bars_to_stop,bars_to_target,exit_type,exit_timestamp,wrong_direction,signal_id,fold,variant,family,bars_to_plus_1.5r,bars_to_plus_2r,exit_i,exit_price,hold_bars,mfe_capture,realized_parts,initial_risk_points,initial_stop,initial_target
3.0,2.996953633332984,0.003046366667016346,0.004201885057953581,0.011555183909372347,,,,,,,TARGET,2020-01-07 10:16:00-06:00,0,1533,1,TIME_45,Time_Exit,,,789827.0,8689.610200644736,1.0,713.96527002123,1.0,237.98842334041,8644.51157665959,8689.610200644736
1.0,0.9964665128803879,0.0035334871196121263,0.003655331503047027,0.019495101349584147,,,,,,,STOP,2020-01-10 10:50:00-06:00,0,1539,1,TIME_45,Time_Exit,,,793956.0,8805.820251083982,1.0,273.5729985546908,1.0,205.17974891601807,8805.820251083982,8768.638838835446
1.0,0.9963830025882432,0.0036169974117568142,0.0,0.01995584778900311,,,,,,,STOP,2020-01-15 14:19:00-06:00,0,1548,1,TIME_45,Time_Exit,,,798260.0,8844.307501024625,1.0,0.0,1.0,200.4424989753752,8844.307501024625,8803.790430370691
1.0,0.9965571851249095,0.0034428148750905003,0.02967943857836638,0.005935887715673277,,,,,,,STOP,2020-01-16 10:16:00-06:00,0,1549,1,TIME_45,Time_Exit,,,799382.0,8872.166501814974,1.0,33.69335970960412,1.0,210.58349818502575,8872.166501814974,8839.403798727071
1.0,0.9964054428833696,0.003594557116630356,0.011155522086094207,0.006197512270052338,,,,,,,STOP,2020-01-22 10:16:00-06:00,0,1559,1,TIME_45,Time_Exit,,,804610.0,9019.556167776342,1.0,89.6417032105148,1.0,201.69383222365832,9019.556167776342,8986.150114689235
3.0,2.996930593961914,0.0030694060380856594,0.007408911126413661,0.0010584158752019515,,,,,,,TARGET,2020-01-23 15:51:00-06:00,0,1562,1,TIME_45,Time_Exit,,,806295.0,9054.606151487376,1.0,404.91780084993036,1.0,236.20205049579272,9014.797949504207,9054.606151487376
1.0,0.9964541563674885,0.003545843632511502,0.008558932906062246,0.020785979914722596,,,,,,,STOP,2020-01-24 12:31:00-06:00,0,1565,1,TIME_45,Time_Exit,,,807474.0,8959.035258985325,1.0,116.83699486552878,1.0,204.46474101467538,8959.035258985325,8908.131055341293
3.0,2.997181375126492,0.0028186248735080563,0.01360715456176303,0.0,,,,,,,TARGET,2020-01-31 11:01:00-06:00,0,1576,1,TIME_45,Time_Exit,,,814209.0,8884.39015002228,1.0,220.4722512986066,1.0,257.21762651504105,8809.532373484959,8884.39015002228
1.0,0.9966056548607708,0.00339434513922918,0.019897885298929677,0.004681855364454041,,,,,,,STOP,2020-02-03 12:31:00-06:00,0,1579,1,TIME_45,Time_Exit,,,815664.0,8903.159463309721,1.0,50.25659686830092,1.0,213.5905366902789,8903.159463309721,8843.521610070835
1.0,0.996449063999002,0.003550936000997986,0.004897842759997223,0.01102014620999375,,,,,,,STOP,2020-02-11 13:19:00-06:00,0,1595,1,TIME_45,Time_Exit,,,823902.0,9333.82848021022,1.0,204.17151978977927,1.0,204.17151978977927,9333.82848021022,9285.327195396012
3.0,2.997074857859636,0.002925142140364184,0.02118206377505099,0.0010086697035738565,,,,,,,TARGET,2020-02-13 10:01:00-06:00,0,1598,1,TIME_45,Time_Exit,,,826434.0,9409.338549502454,1.0,141.6292591628163,1.0,247.85120353492857,9360.398796465071,9409.338549502454
1.0,0.9964056133069807,0.003594386693019252,0.009915549497984143,0.007436662123488108,,,,,,,STOP,2020-02-20 11:46:00-06:00,0,1609,1,TIME_45,Time_Exit,,,833138.0,9348.546604700869,1.0,100.85169764956572,1.0,201.70339529913144,9348.546604700869,9269.360185897393
3.0,2.9971993262042167,0.002800673795783217,0.036698484220607674,0.006760247093269834,,,,,,,TARGET,2020-02-24 13:46:00-06:00,0,1611,1,TIME_45,Time_Exit,,,835988.0,8993.292084467932,1.0,81.74724552561709,1.0,258.86627749778745,8880.383722502213,8993.292084467932
1.0,0.9956430565738834,0.004356943426116619,0.06009577139471198,0.0015023942848677995,,,,,,,STOP,2020-02-25 11:46:00-06:00,0,1613,1,TIME_45,Time_Exit,,,837233.0,8814.848941024993,1.0,16.64010589750069,1.0,166.4010589750069,8814.848941024993,8699.997729949791
1.0,0.9954540678385457,0.004545932161454306,0.07837814071472941,0.00783781407147294,,,,,,,STOP,2020-02-25 13:18:00-06:00,0,1614,1,TIME_45,Time_Exit,,,837325.0,8714.016757784599,1.0,12.758659377232107,1.0,159.48324221540133,8714.016757784599,8583.01633220384
