signal_id,python_phase44_time,pine_phase44_time,python_b1_time,pine_b1_time,python_entry_time,pine_entry_time,direction,status,reason
P50-01533,2020-01-07T10:00:00-06:00,2020-01-07T10:00:00-06:00,2020-01-07T10:15:00-06:00,2020-01-07T10:15:00-06:00,2020-01-07T10:15:00-06:00,2020-01-07T10:15:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
P50-01536,2020-01-08T10:15:00-06:00,2020-01-08T10:15:00-06:00,2020-01-08T10:36:00-06:00,2020-01-08T10:36:00-06:00,2020-01-08T10:36:00-06:00,2020-01-08T10:36:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
P50-01562,2020-01-23T15:30:00-06:00,2020-01-23T15:30:00-06:00,2020-01-23T15:50:00-06:00,2020-01-23T15:50:00-06:00,2020-01-23T15:50:00-06:00,2020-01-23T15:50:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
P50-01576,2020-01-31T10:45:00-06:00,2020-01-31T10:45:00-06:00,2020-01-31T11:00:00-06:00,2020-01-31T11:00:00-06:00,2020-01-31T11:00:00-06:00,2020-01-31T11:00:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
P50-01589,2020-02-06T14:45:00-06:00,2020-02-06T14:45:00-06:00,2020-02-06T15:08:00-06:00,2020-02-06T15:08:00-06:00,2020-02-06T15:08:00-06:00,2020-02-06T15:08:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
P50-01597,2020-02-12T10:15:00-06:00,2020-02-12T10:15:00-06:00,2020-02-12T10:39:00-06:00,2020-02-12T10:39:00-06:00,2020-02-12T10:39:00-06:00,2020-02-12T10:39:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
P50-01598,2020-02-13T09:45:00-06:00,2020-02-13T09:45:00-06:00,2020-02-13T10:00:00-06:00,2020-02-13T10:00:00-06:00,2020-02-13T10:00:00-06:00,2020-02-13T10:00:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
P50-01611,2020-02-24T13:30:00-06:00,2020-02-24T13:30:00-06:00,2020-02-24T13:45:00-06:00,2020-02-24T13:45:00-06:00,2020-02-24T13:45:00-06:00,2020-02-24T13:45:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
P50-01620,2020-02-27T10:00:00-06:00,2020-02-27T10:00:00-06:00,2020-02-27T10:17:00-06:00,2020-02-27T10:17:00-06:00,2020-02-27T10:17:00-06:00,2020-02-27T10:17:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
P50-01621,2020-02-27T11:00:00-06:00,2020-02-27T11:00:00-06:00,2020-02-27T11:15:00-06:00,2020-02-27T11:15:00-06:00,2020-02-27T11:15:00-06:00,2020-02-27T11:15:00-06:00,Long,MATCH,expected post-fix Pine (15M bundle uses native 15M series)
