signal_id,phase44_timestamp,direction,phase44_class,setup_type,b1_window,b1_timestamp,b1_delay,entry_timestamp,entry_price,stop,target,exit_timestamp,exit_price,exit_type,net_r,gross_r,actionable_timestamp
P50-01533,2020-01-07 10:00:00-06:00,Long,B,L,10,2020-01-07 10:15:00-06:00,0.0,2020-01-07 10:15:00-06:00,8882.5,8644.51157665959,8689.610200644736,2020-01-07 10:16:00-06:00,,TARGET,2.996953633332984,3.0,2020-01-07 10:15:00-06:00
P50-01536,2020-01-08 10:15:00-06:00,Long,A,L,10,2020-01-08 10:36:00-06:00,6.0,2020-01-08 10:36:00-06:00,8900.75,8647.734149975047,8697.999796798178,2020-01-08 10:37:00-06:00,,TARGET,2.9971345668663503,3.0,2020-01-08 10:30:00-06:00
P50-01539,2020-01-10 10:30:00-06:00,Short,B,S,10,2020-01-10 10:49:00-06:00,4.0,2020-01-10 10:49:00-06:00,9011.0,8805.820251083982,8768.638838835446,2020-01-10 10:50:00-06:00,,STOP,0.9964665128803879,1.0,2020-01-10 10:45:00-06:00
P50-01548,2020-01-15 14:00:00-06:00,Short,B,S,10,2020-01-15 14:18:00-06:00,3.0,2020-01-15 14:18:00-06:00,9044.75,8844.307501024625,8803.790430370691,2020-01-15 14:19:00-06:00,,STOP,0.9963830025882432,1.0,2020-01-15 14:15:00-06:00
P50-01549,2020-01-16 10:00:00-06:00,Short,B,S,10,2020-01-16 10:15:00-06:00,0.0,2020-01-16 10:15:00-06:00,9082.75,8872.166501814974,8839.403798727071,2020-01-16 10:16:00-06:00,,STOP,0.9965571851249095,1.0,2020-01-16 10:15:00-06:00
P50-01559,2020-01-22 10:00:00-06:00,Short,A,S,10,2020-01-22 10:15:00-06:00,0.0,2020-01-22 10:15:00-06:00,9221.25,9019.556167776342,8986.150114689235,2020-01-22 10:16:00-06:00,,STOP,0.9964054428833696,1.0,2020-01-22 10:15:00-06:00
P50-01562,2020-01-23 15:30:00-06:00,Long,B,L,10,2020-01-23 15:50:00-06:00,5.0,2020-01-23 15:50:00-06:00,9251.0,9014.797949504207,9054.606151487376,2020-01-23 15:51:00-06:00,,TARGET,2.996930593961914,3.0,2020-01-23 15:45:00-06:00
P50-01565,2020-01-24 12:15:00-06:00,Short,A,S,10,2020-01-24 12:30:00-06:00,0.0,2020-01-24 12:30:00-06:00,9163.5,8959.035258985325,8908.131055341293,2020-01-24 12:31:00-06:00,,STOP,0.9964541563674885,1.0,2020-01-24 12:30:00-06:00
P50-01576,2020-01-31 10:45:00-06:00,Long,A,L,10,2020-01-31 11:00:00-06:00,0.0,2020-01-31 11:00:00-06:00,9066.75,8809.532373484959,8884.39015002228,2020-01-31 11:01:00-06:00,,TARGET,2.997181375126492,3.0,2020-01-31 11:00:00-06:00
P50-01579,2020-02-03 12:15:00-06:00,Short,B,S,10,2020-02-03 12:30:00-06:00,0.0,2020-02-03 12:30:00-06:00,9116.75,8903.159463309721,8843.521610070835,2020-02-03 12:31:00-06:00,,STOP,0.9966056548607708,1.0,2020-02-03 12:30:00-06:00
P50-01589,2020-02-06 14:45:00-06:00,Long,B,L,10,2020-02-06 15:08:00-06:00,8.0,2020-02-06 15:08:00-06:00,9450.0,9207.09880024314,9249.050511682375,2020-02-06 15:09:00-06:00,,TARGET,2.9970152473486102,3.0,2020-02-06 15:00:00-06:00
P50-01595,2020-02-11 13:00:00-06:00,Short,A,S,10,2020-02-11 13:18:00-06:00,3.0,2020-02-11 13:18:00-06:00,9538.0,9333.82848021022,9285.327195396012,2020-02-11 13:19:00-06:00,,STOP,0.996449063999002,1.0,2020-02-11 13:15:00-06:00
P50-01597,2020-02-12 10:15:00-06:00,Long,A,L,10,2020-02-12 10:39:00-06:00,9.0,2020-02-12 10:39:00-06:00,9608.75,9364.039303459764,9405.22698789919,2020-02-12 10:40:00-06:00,,TARGET,2.9970373179013006,3.0,2020-02-12 10:30:00-06:00
P50-01598,2020-02-13 09:45:00-06:00,Long,B,L,10,2020-02-13 10:00:00-06:00,0.0,2020-02-13 10:00:00-06:00,9608.25,9360.398796465071,9409.338549502454,2020-02-13 10:01:00-06:00,,TARGET,2.997074857859636,3.0,2020-02-13 10:00:00-06:00
P50-01609,2020-02-20 11:30:00-06:00,Short,B,S,10,2020-02-20 11:45:00-06:00,0.0,2020-02-20 11:45:00-06:00,9550.25,9348.546604700869,9269.360185897393,2020-02-20 11:46:00-06:00,,STOP,0.9964056133069807,1.0,2020-02-20 11:45:00-06:00
P50-01611,2020-02-24 13:30:00-06:00,Long,A+,L,10,2020-02-24 13:45:00-06:00,0.0,2020-02-24 13:45:00-06:00,9139.25,8880.383722502213,8993.292084467932,2020-02-24 13:46:00-06:00,,TARGET,2.9971993262042167,3.0,2020-02-24 13:45:00-06:00
P50-01613,2020-02-25 11:30:00-06:00,Short,A+,RS,10,2020-02-25 11:45:00-06:00,0.0,2020-02-25 11:45:00-06:00,8981.25,8814.848941024993,8699.997729949791,2020-02-25 11:46:00-06:00,,STOP,0.9956430565738834,1.0,2020-02-25 11:45:00-06:00
P50-01614,2020-02-25 13:00:00-06:00,Short,A+,S,10,2020-02-25 13:17:00-06:00,2.0,2020-02-25 13:17:00-06:00,8873.5,8714.016757784599,8583.01633220384,2020-02-25 13:18:00-06:00,,STOP,0.9954540678385457,1.0,2020-02-25 13:15:00-06:00
P50-01616,2020-02-26 11:15:00-06:00,Short,A,S,10,2020-02-26 11:40:00-06:00,10.0,2020-02-26 11:40:00-06:00,8927.0,8733.693521065718,8589.919436802847,2020-02-26 11:41:00-06:00,,STOP,0.996249479044898,1.0,2020-02-26 11:30:00-06:00
P50-01620,2020-02-27 10:00:00-06:00,Long,A+,L,10,2020-02-27 10:17:00-06:00,2.0,2020-02-27 10:17:00-06:00,8712.0,8408.335862138056,8571.596506044147,2020-02-27 10:18:00-06:00,,TARGET,2.9976124938390662,3.0,2020-02-27 10:15:00-06:00
P50-01621,2020-02-27 11:00:00-06:00,Long,A+,RL,10,2020-02-27 11:15:00-06:00,0.0,2020-02-27 11:15:00-06:00,8733.75,8429.646265124557,8586.7764241215,2020-02-27 11:16:00-06:00,,TARGET,2.4976159450974946,2.5,2020-02-27 11:15:00-06:00
P50-01623,2020-02-28 10:00:00-06:00,Long,A+,L,10,2020-02-28 10:15:00-06:00,0.0,2020-02-28 10:15:00-06:00,8272.0,7971.118140058868,8209.645579823395,2020-02-28 10:16:00-06:00,,TARGET,2.9975904163842184,3.0,2020-02-28 10:15:00-06:00
P50-01624,2020-02-28 12:45:00-06:00,Short,A+,S,10,2020-02-28 13:03:00-06:00,3.0,2020-02-28 13:03:00-06:00,8238.5,8114.89831043218,7865.305068703461,2020-02-28 13:04:00-06:00,,STOP,0.9941343843879885,1.0,2020-02-28 13:00:00-06:00
P50-01626,2020-03-01 17:15:00-06:00,Short,A+,RS,10,2020-03-01 17:33:00-06:00,3.0,2020-03-01 17:33:00-06:00,8355.0,8218.992881943446,7950.392795141383,2020-03-01 17:34:00-06:00,,STOP,0.9946693966436482,1.0,2020-03-01 17:30:00-06:00
P50-01627,2020-03-02 09:45:00-06:00,Long,A+,L,10,2020-03-02 10:00:00-06:00,0.0,2020-03-02 10:00:00-06:00,8574.5,8282.231835989978,8469.37655412062,2020-03-02 10:01:00-06:00,,TARGET,2.9975194013947575,3.0,2020-03-02 10:00:00-06:00
P50-01631,2020-03-03 14:00:00-06:00,Long,A+,L,10,2020-03-03 14:18:00-06:00,3.0,2020-03-03 14:18:00-06:00,8696.75,8356.994984760893,8593.272900248943,2020-03-03 14:19:00-06:00,,TARGET,2.997866109498075,3.0,2020-03-03 14:15:00-06:00
P50-01632,2020-03-04 11:15:00-06:00,Long,A+,L,10,2020-03-04 11:30:00-06:00,0.0,2020-03-04 11:30:00-06:00,8772.5,8503.853132990234,8632.973230401112,2020-03-04 11:31:00-06:00,,TARGET,2.997301289949629,3.0,2020-03-04 11:30:00-06:00
P50-01633,2020-03-04 14:30:00-06:00,Long,A,L,10,2020-03-04 14:50:00-06:00,5.0,2020-03-04 14:50:00-06:00,8906.5,8624.879377660387,8737.361867018839,2020-03-04 14:51:00-06:00,,TARGET,2.997425614665656,3.0,2020-03-04 14:45:00-06:00
P50-01635,2020-03-05 10:45:00-06:00,Short,A+,RS,10,2020-03-05 11:06:00-06:00,6.0,2020-03-05 11:06:00-06:00,8769.75,8623.585916895303,8512.780448146534,2020-03-05 11:07:00-06:00,,STOP,0.9950398211065253,1.0,2020-03-05 11:00:00-06:00
P50-01637,2020-03-05 13:30:00-06:00,Short,B,RS,10,2020-03-05 13:45:00-06:00,0.0,2020-03-05 13:45:00-06:00,8686.25,8495.818268225463,8373.079329436343,2020-03-05 13:46:00-06:00,,STOP,0.9961928613826904,1.0,2020-03-05 13:45:00-06:00
P50-01640,2020-03-06 13:45:00-06:00,Short,A+,S,10,2020-03-06 14:00:00-06:00,0.0,2020-03-06 14:00:00-06:00,8335.5,8151.240353884509,8002.278938346472,2020-03-06 14:01:00-06:00,,STOP,0.9960653348940789,1.0,2020-03-06 14:00:00-06:00
P50-01641,2020-03-06 14:30:00-06:00,Long,A+,RL,10,2020-03-06 14:45:00-06:00,0.0,2020-03-06 14:45:00-06:00,8470.25,8107.594613819668,8251.15854237103,2020-03-06 14:46:00-06:00,,TARGET,2.4980008569357373,2.5,2020-03-06 14:45:00-06:00
