family,context,rth_only,N,trades_per_day,AvgR,median_R,PF,TotalR,MaxDD,win_rate,MAE,MFE,LONG_N,LONG_AvgR,LONG_PF,SHORT_N,SHORT_AvgR,SHORT_PF
A1,C2,True,4187,1.312950768265914,0.7095286021053645,2.0703703703703704,2.312523403126925,2970.7962570151612,36.91915123562046,0.5385717697635538,0.9257351619077208,2.0826172675975783,2193,0.7478941083408179,2.4089753029003025,1994,0.6673342414361823,2.2103953978438917
A2,C2,True,4184,1.3120100344935717,0.7103511136765441,2.0703703703703704,2.315518097826308,2972.109059622661,34.58938844586401,0.5387189292543021,0.9252615260835612,2.0839006496629677,2193,0.7495699542489717,2.4136857883362883,1991,0.6671532646683406,2.2114152424468725
A3,C2,True,4041,1.2671683913452494,0.6640462307599003,1.9844444444444445,2.1953295383706104,2683.410818500757,29.216926758906283,0.5258599356594902,0.943218252009374,2.0590134396223365,2092,0.7081916506005425,2.300338617784426,1949,0.6166618191095034,2.087111861055133
B1,C2,True,1866,0.5853199498117942,0.7336510045327166,2.1266666666667415,2.385377229368304,1368.992774458049,15.20942613943646,0.5418006430868167,0.9233204584380695,2.0818272514708607,983,0.7474079616979954,2.4253083804168574,883,0.7183360680735217,2.341833610745045
B2,C2,True,1866,0.5853199498117942,0.7336870565101106,2.1266666666667415,2.3860433504405725,1369.0600474478663,15.20942613943646,0.5418006430868167,0.9239736579964138,2.083072430861074,983,0.7474079616979954,2.4253083804168574,883,0.7184122549249566,2.3431874597952174
C1,C2,True,2454,0.7695202257761053,0.9203368413614147,2.243443917851442,2.948228422554622,2258.506608700912,18.25650994272246,0.5982070089649552,0.8387973270691317,2.1909220042283644,1306,0.9054495315579968,2.8815500190925887,1148,0.9372731014687868,3.027180058546012
D1,C2,True,4696,1.4725619316400125,0.698920779281511,2.0562841530054294,2.2865512867910516,3282.131979505976,21.22968536804404,0.5353492333901193,0.9299298212144301,2.0738800265940314,2411,0.7440049100010557,2.4030607816028584,2285,0.6513506089686786,2.1695046912661318
E1,C2,True,127,0.04074430542188001,0.7983463711117583,2.2209621993127566,2.552272162446619,101.3899891311933,6.58066868219114,0.5590551181102362,1.1450631313715811,2.3032598062608045,70,0.6938977575078695,2.2714353015222564,57,0.9266165983446039,2.9479665981403294
F1,C2,False,166,0.05236593059936909,1.059848131612963,2.1473061686474813,3.433809845897989,175.9347898477519,5.040657741467257,0.6686746987951807,0.6876399594993119,2.522426742676273,84,1.0066962418612568,3.2575723817749744,82,1.1142964089195893,3.623338103083319
G1,C2,True,4669,1.4640953276889308,0.6380695236589097,1.917921146953223,2.133919895367468,2979.1466059634495,21.19954298176998,0.5165988434354252,0.943973371089016,2.0244450403948675,2399,0.6830788927678766,2.2390358368392054,2270,0.5905023533979358,2.0273672896912167
G3,C4,True,2313,0.7257609036711641,1.1787120926311785,2.309389671361509,4.028345164688752,2726.361070255916,13.145932437721513,0.6744487678339819,0.7608614241976054,2.416882049152722,1238,1.1215930482494603,3.7593136393607574,1075,1.2444919781610084,4.369300281353096
