DECILE,N,AVGR,PF,WIN RATE,OPPORTUNITY RATE,MAE,MFE,CORE-UNAUTH AVGR
1,53303,-0.9580889015379394,0.1637067676117388,0.08494831435378872,0.0062848244939309236,1.5885515154886576,0.919939524890043,-0.9580889015379394
2,53303,-0.7731683187630469,0.298669026756356,0.15016040372962122,0.05369303791531434,1.4800384044145019,1.0521540461820722,-0.7731683187630469
3,53303,-0.7087834137648932,0.34350557705044976,0.1697277826763972,0.05892726488190158,1.453425275392356,1.1731574663349713,-0.7087834137648932
4,53303,-0.5899536212396623,0.424629632693263,0.1985629326679549,0.066375250923963,1.3815514701583984,1.2462998689546272,-0.5899536212396623
5,53303,-0.4731111949078008,0.5170960337564751,0.2301371404986586,0.07847588315854642,1.321566336301484,1.3464851416041288,-0.4731111949078008
6,53302,-0.3488241113092241,0.6245864287287025,0.26297324678248474,0.08737007992195414,1.2689335447707786,1.4533195364351468,-0.3488241113092241
7,53304,-0.1543028083648209,0.8189301491640372,0.31521086597628695,0.10976662164190305,1.1955481663293617,1.5994752264859162,-0.1543028083648209
8,53303,0.0885968426686238,1.1165995080974032,0.3794720747425098,0.1474213458904752,1.101720532968517,1.7675499905965892,0.0885968426686238
9,53302,0.40868043248539077,1.635368538232549,0.4628719372631421,0.2015308994033995,1.0056742666054048,1.9539760008587717,0.40868043248539077
10,53303,0.8064665062296821,2.5935982916385383,0.565221469710898,0.3205823312008705,0.8991622216174574,2.297379251505972,0.8064665062296821
