EVENT TYPE,N,EVENTS/DAY,AVGR,PF,OPPORTUNITY RATE,LONG AVGR,SHORT AVGR,CORE-AUTH AVGR,CORE-UNAUTH AVGR
E1,104030,32.62151144559423,-0.40641389589431703,0.5961260576157301,0.11601461116985486,-0.40641389589431703,,-0.10713894610887054,-0.40983571070898334
E10,2712,0.8504233301975541,-0.3307010454960934,0.6467375074702729,0.10361356932153393,,-0.3307010454960934,-0.16075736906390087,-0.33260198147408215
E11,94790,29.724051426779553,-0.37567588162276555,0.6151598551835502,0.11639413440236313,-0.37567588162276555,,-0.12813498166996332,-0.37925767165183505
E12,85554,26.827845719661337,-0.3955773601809351,0.5957363948715688,0.09790307875727611,,-0.3955773601809351,-0.19901804035585255,-0.39848237296163
E13,114315,35.84666039510819,-0.2751380326863771,0.697744064870398,0.12333464549709137,-0.2751380326863771,,-0.12564680354971286,-0.2774877384452913
E14,104095,32.64189401066165,-0.2912370662470782,0.6806136618456045,0.10750756520486095,,-0.2912370662470782,-0.11571541039398096,-0.2940988789419736
E15,77,0.02414550015678896,-0.19935689788608224,0.7757697010189559,0.07792207792207792,-0.19935689788608224,,-1.12530864197523,-0.18717332230596187
E16,46,0.014424584509250549,-0.20113879671969787,0.7582682938710797,0.043478260869565216,,-0.20113879671969787,2.4215458937198,-0.2594206787294645
E2,98388,30.85230479774224,-0.43780364322411053,0.5685598966092882,0.09634304996544293,,-0.43780364322411053,-0.18591992999622775,-0.4406856730863824
E3,46196,14.486045782376921,-0.3614172903723638,0.6292840593715484,0.11650359338470863,-0.3614172903723638,,-0.0785390337005786,-0.36420618738316224
E4,45669,14.320790216368767,-0.39525286717130387,0.599340161078865,0.0955352646215157,,-0.39525286717130387,-0.21542485500249003,-0.39713084185421815
E5,112551,35.29350893697084,-0.30438138855697283,0.6751361631319653,0.12694689518529378,-0.30438138855697283,,-0.05184456564597187,-0.30762204106064966
E6,114389,35.86986516149263,-0.32581470863258416,0.6567810951272481,0.11169780311043893,,-0.32581470863258416,-0.14333353657083525,-0.32797280691520236
E9,2674,0.8385073690812167,-0.3304693190143057,0.652306699722285,0.112565445026178,-0.3304693190143057,,0.2789195907132745,-0.3369178789056029
