range_pos_decile,N,AvgR,PF,opp_rate
"(-0.001, 0.0833]",21990,0.29826795682335433,1.4281194438321367,0.21200545702592088
"(0.0833, 0.16]",21704,-0.008490088314635729,0.9894825872118791,0.15476409878363434
"(0.16, 0.253]",21835,-0.3525514014218172,0.6232366086604868,0.09864895809480193
"(0.253, 0.382]",21878,-0.671022821370619,0.3617558231851689,0.0410915074504068
"(0.382, 0.557]",21819,-0.890201474953005,0.21765731486177528,0.010449608139694762
"(0.557, 0.706]",21878,-0.8375381939192073,0.2520041242363272,0.02335679678215559
"(0.706, 0.806]",21784,-0.5735370030406477,0.43748041251674086,0.06729709878810136
"(0.806, 0.879]",21845,-0.24182583084358233,0.7296049269682833,0.12849622339208056
"(0.879, 0.938]",21892,0.0658007626214742,1.084260855939126,0.18477069249040745
"(0.938, 1.0]",21785,0.38183606458409536,1.5721844782108572,0.236814321781042
