year,decile,AvgR,N
2020,1,-0.9523067151301267,10496
2020,2,-0.7621178165835362,10496
2020,3,-0.6981346076169107,10495
2020,4,-0.6077144989244235,10496
2020,5,-0.48260140206026547,10495
2020,6,-0.34578328472114567,10496
2020,7,-0.13612566709101248,10495
2020,8,0.08124304916912849,10498
2020,9,0.3865150965958578,10493
2020,10,0.9024496476469195,10496
2021,1,-1.006540881692615,10540
2021,2,-0.8405718770412076,10539
2021,3,-0.7805877505850813,10539
2021,4,-0.6149325816313695,10539
2021,5,-0.5208613168203335,10539
2021,6,-0.36742176673293625,10539
2021,7,-0.21730908369050453,10539
2021,8,0.06312869042675674,10539
2021,9,0.454123989249727,10539
2021,10,0.8237518254544456,10540
2022,1,-0.9025086832550471,11214
2022,2,-0.7035649556827535,11212
2022,3,-0.6364155683264158,11213
2022,4,-0.5081072990982727,11212
2022,5,-0.3764649975358836,11212
2022,6,-0.26947048559044295,11213
2022,7,-0.05986283729733007,11213
2022,8,0.15224352790148055,11212
2022,9,0.4916381143128615,11212
2022,10,0.8701636825308147,11213
2023,1,-0.9776031131379259,10981
2023,2,-0.7724593321832942,10981
2023,3,-0.7651741967533285,10981
2023,4,-0.6354234604625222,10981
2023,5,-0.5309283437505581,10982
2023,6,-0.385164107002296,10979
2023,7,-0.2047132131983385,10981
2023,8,0.05815377397927941,10982
2023,9,0.2875670570852526,10980
2023,10,0.640640430813965,10981
2024,1,-0.9465023131789064,11018
2024,2,-0.7821733888689263,11019
2024,3,-0.6913098237494829,11017
2024,4,-0.551949495589436,11018
2024,5,-0.46347869084344095,11018
2024,6,-0.36015754284103824,11018
2024,7,-0.15528938826389463,11017
2024,8,0.09739448498429125,11018
2024,9,0.4418878588901828,11018
2024,10,0.8370778872079718,11018
