type,bucket,count,pct
same_dir,0-2,30192,0.6552652139942703
same_dir,3-5,6775,0.14703967358277628
same_dir,6-10,2252,0.048875770466186304
same_dir,11-15,566,0.012284052435107214
same_dir,16-30,1043,0.022636513586248807
same_dir,31-60,1459,0.03166507509332407
same_dir,61-+,3789,0.08223370084208699
opposite_dir,0-2,1539,0.1883720930232558
opposite_dir,3-5,568,0.06952264381884946
opposite_dir,6-10,222,0.027172582619339046
opposite_dir,11-15,217,0.02656058751529988
opposite_dir,16-30,886,0.10844553243574051
opposite_dir,31-60,1348,0.1649938800489596
opposite_dir,61-+,3390,0.4149326805385557
