entry_i,timestamp_ct,direction,event_type,structure_level,event_id,swing_high,swing_low,dist_swing_high_atr,dist_swing_low_atr,break_dist_atr,body_atr,range_atr,body_vs_avg,close_loc,mom_1,mom_3,mom_5,mom_10,atr,atr_ratio,m5_mom,m15_mom_4,m15_body_atr,ext_30min_atr,ext_60min_atr,phase44_active,core_b1_active,core_authorized,min_since_p44,min_since_core_entry,m15_range_pos_4,m15_range_pos_8,m15_range_pos_12,m15_range_pos_20,m5_range_pos_4,m5_range_pos_8,m5_range_pos_12,mtf_1m_5m_align,mtf_1m_15m_align,countertrend_15m,session_minute,dow,is_reversal,min_since_prev_event,net_R,MFE_R,MAE_R,mfe_5m_atr,mae_5m_atr,mfe_10m_atr,mae_10m_atr,mfe_15m_atr,mae_15m_atr,mfe_30m_atr,mae_30m_atr,mfe_60m_atr,mae_60m_atr,opp_O1,opp_O2,opp_O3,opp_O4,score,fold,decile,top10,top20,episode_id,suppressed,family
1134849,2021-01-04 01:00:00-06:00,LONG,E13,12895.25,P53-0317269,12895.25,12889.0,-0.6268656716417911,-1.9850746268656716,-0.6268656716417911,1.2537313432835822,2.5074626865671643,2.2018348623853212,0.5,1.2537313432835822,0.31343283582089554,0.835820895522388,0.9402985074626866,2.392857142857143,1.155969634230504,3.019607843137255,2.6816217380967715,2.6816217380967715,5.955223880597015,10.238805970149254,1,0,0,8100.0,19590.0,0.9205298013245033,0.9205298013245033,0.9205298013245033,0.9351351351351351,0.7307692307692307,0.7407407407407407,0.7586206896551724,1,1,0,-510,0,0,11.0,2.096019900497571,4.875621890547263,0.6965174129353233,3.656716417910448,0.5223880597014926,7.835820895522389,0.5223880597014926,14.313432835820896,0.5223880597014926,14.313432835820896,0.5223880597014926,17.65671641791045,0.5223880597014926,0,1,1,0,0.9578294031647795,2,10,True,True,EP-0000001,False,A
1134905,2021-01-04 01:56:00-06:00,LONG,E13,12923.5,P53-0317276,12923.5,12916.5,-0.09722222222222221,-2.625,-0.09722222222222221,1.1666666666666665,1.4583333333333333,1.7391304347826086,0.8,1.4583333333333333,0.5833333333333333,1.7499999999999998,1.6527777777777777,2.5714285714285716,0.98340503995083,4.168539325842697,0.0,0.9903227068089141,1.7499999999999998,12.249999999999998,1,0,0,8156.0,19646.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9809523809523809,0.9696969696969697,0.9696969696969697,0.9696969696969697,1,0,0,-454,0,0,41.0,-1.3759259259256735,0.12962962962962962,1.1666666666666665,4.958333333333333,0.8749999999999999,11.569444444444443,0.8749999999999999,11.569444444444443,0.8749999999999999,11.569444444444443,0.8749999999999999,11.569444444444443,0.8749999999999999,0,0,1,0,0.6948314836311439,2,10,True,True,EP-0000002,False,A
1135299,2021-01-04 08:30:00-06:00,SHORT,E12,12927.75,P53-0317364,12936.5,12930.75,-4.447058823529412,3.184313725490196,2.5254901960784313,3.8431372549019605,5.709803921568627,8.433734939759036,0.038461538461538464,-3.8431372549019605,-2.7450980392156863,-3.788235294117647,-4.007843137254902,4.553571428571429,1.7593486960121434,-3.971153846153846,-2.691768796952581,2.691768796952581,5.6,5.874509803921568,1,0,0,8550.0,20040.0,0.39457831325301207,0.39457831325301207,0.39457831325301207,0.3830409356725146,0.17777777777777778,0.17777777777777778,0.17777777777777778,1,1,0,-60,0,0,0.0,-1.2122875816995262,2.122875816993464,1.976470588235294,4.886274509803921,1.4823529411764704,12.737254901960783,1.4823529411764704,12.737254901960783,1.4823529411764704,12.737254901960783,1.4823529411764704,15.317647058823528,1.4823529411764704,0,0,0,0,0.9383493443296859,2,10,True,True,EP-0000003,False,A
1135374,2021-01-04 09:45:00-06:00,SHORT,E4,12856.5,P53-0317376,12888.0,12856.5,-5.03125,2.275,2.275,3.2156249999999997,3.28125,7.033492822966507,0.013333333333333334,-3.2156249999999997,-4.046875,-3.521875,-2.6687499999999997,11.428571428571429,1.2972008837181022,-4.137825421133231,-3.85509433668401,3.85509433668401,2.253125,6.146875,1,0,0,8625.0,20115.0,0.005905511811023622,0.005905511811023622,0.005905511811023622,0.005905511811023622,0.08363636363636363,0.08363636363636363,0.07692307692307693,1,1,0,15,0,0,0.0,2.4154166666666743,2.5083333333333333,0.7875,1.509375,0.590625,3.89375,0.590625,6.628125,0.590625,13.16875,0.590625,13.16875,0.590625,0,1,1,0,0.9865181993385652,2,10,True,True,EP-0000004,False,A
1135441,2021-01-04 10:52:00-06:00,SHORT,E12,12685.25,P53-0317403,12730.5,12685.25,-4.706081081081082,0.4256756756756757,0.4256756756756757,1.277027027027027,1.5135135135135136,2.378854625550661,0.015625,-1.3006756756756757,-1.0168918918918919,-1.135135135135135,-1.3716216216216217,10.571428571428571,0.7790703795336106,-2.388235294117647,0.0,1.65071722918137,3.902027027027027,11.824324324324325,1,0,0,37.0,20182.0,0.007722007722007722,0.007722007722007722,0.005633802816901409,0.005633802816901409,0.0625,0.0625,0.055248618784530384,1,0,0,82,0,0,0.0,-1.091441441441352,0.5675675675675675,1.545045045045045,3.9729729729729732,1.1587837837837838,6.47972972972973,1.1587837837837838,6.83445945945946,1.1587837837837838,14.969594594594595,1.1587837837837838,14.969594594594595,1.1587837837837838,0,0,0,0,0.8116975729087511,2,10,True,True,EP-0000005,False,A
1135442,2021-01-04 10:53:00-06:00,LONG,E5,12685.25,P53-0317404,12730.5,12685.25,-3.6441515650741354,-0.5304777594728172,0.5304777594728172,0.9456342668863262,1.5453047775947282,1.8721461187214614,0.8805970149253731,0.9456342668863262,0.0,-0.16144975288303132,-0.023064250411861616,10.839285714285714,0.7991258326970168,0.0,0.0,1.65071722918137,2.4909390444810544,8.833607907743,1,0,0,38.0,20183.0,0.007722007722007722,0.007722007722007722,0.005633802816901409,0.005633802816901409,0.06493506493506493,0.0625,0.055248618784530384,0,0,0,83,0,1,1.0,-1.08918176825914,0.0,3.8132894014277876,0.0,4.820428336079078,0.0,7.357495881383856,0.0,8.649093904448106,0.0,15.54530477759473,0.0,15.54530477759473,0,0,0,0,0.7340037955763962,2,10,True,True,EP-0000006,False,A
1135525,2021-01-04 12:16:00-06:00,LONG,E11,12623.75,P53-0317433,12609.0,12585.0,2.246153846153846,-5.2,0.4307692307692308,0.49230769230769234,0.676923076923077,0.8020050125313284,0.9545454545454546,0.49230769230769234,0.5846153846153846,1.7846153846153847,4.461538461538462,8.125,0.5920393478458875,0.6244131455399061,0.7465658848344124,0.7465658848344124,9.384615384615385,7.846153846153846,1,0,0,121.0,20266.0,0.9225589225589226,0.9225589225589226,0.9225589225589226,0.951271186440678,0.7647058823529411,0.8494623655913979,0.8494623655913979,1,1,0,166,0,0,3.0,2.381025641025641,3.0358974358974358,0.6974358974358974,0.7384615384615385,0.5230769230769231,3.9384615384615387,0.5230769230769231,3.9384615384615387,0.5230769230769231,4.492307692307692,0.5230769230769231,6.123076923076923,0.5230769230769231,0,1,1,0,0.7265301020121808,2,10,True,True,EP-0000007,False,A
1136006,2021-01-04 21:32:00-06:00,SHORT,E6,12726.75,P53-0317547,12726.75,12721.0,-0.608695652173913,-4.057971014492753,0.608695652173913,0.20289855072463767,0.608695652173913,0.47619047619047616,0.0,-0.40579710144927533,1.0144927536231882,1.6231884057971013,0.8115942028985507,1.2321428571428572,0.6015693112467306,-0.7777777777777777,-0.9908770350473379,1.004088728847969,5.884057971014492,9.130434782608695,1,0,0,677.0,20822.0,0.38571428571428573,0.38571428571428573,0.38571428571428573,0.38571428571428573,0.11764705882352941,0.11764705882352941,0.2857142857142857,1,1,0,722,0,1,1.0,1.715458937197847,5.4106280193236715,0.27053140096618356,4.057971014492753,0.20289855072463767,27.18840579710145,0.20289855072463767,29.014492753623188,0.20289855072463767,38.95652173913043,0.20289855072463767,51.94202898550724,0.20289855072463767,1,1,1,0,0.7381723177153343,2,10,True,True,EP-0000008,False,A
1136094,2021-01-04 23:00:00-06:00,LONG,E5,12677.75,P53-0317573,12683.75,12677.75,-1.2980132450331126,-0.9271523178807947,0.9271523178807947,1.390728476821192,1.5761589403973508,2.727272727272727,1.0,1.2980132450331126,2.039735099337748,-0.37086092715231783,-0.18543046357615892,2.6964285714285716,0.7350077881619939,1.9703703703703705,0.7432613227474414,0.756775164979213,0.0,2.9668874172185427,1,0,0,765.0,20910.0,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.7555555555555555,0.8421052631578947,0.7804878048780488,0.7804878048780488,1,1,0,810,0,1,3.0,2.141501103752621,3.214128035320088,0.1236203090507726,1.019867549668874,0.09271523178807946,5.841059602649006,0.09271523178807946,5.841059602649006,0.09271523178807946,5.841059602649006,1.2980132450331126,11.589403973509933,2.3178807947019866,0,0,0,0,0.6943051734159741,2,10,True,True,EP-0000009,False,A
1136259,2021-01-05 01:45:00-06:00,SHORT,E12,12692.5,P53-0317616,12705.5,12698.0,-5.0964912280701755,3.254385964912281,1.9035087719298247,2.8245614035087723,3.62280701754386,5.974025974025974,0.22033898305084745,-2.947368421052632,-3.254385964912281,-4.973684210526316,-3.8070175438596494,4.071428571428571,1.00635593220339,-4.488888888888889,-2.359386684527717,2.333879801451742,3.43859649122807,4.482456140350878,1,0,0,930.0,21075.0,0.1444866920152091,0.1444866920152091,0.1444866920152091,0.1412639405204461,0.02857142857142857,0.02857142857142857,0.027586206896551724,1,1,0,-465,1,0,2.0,2.2625730994151443,3.274853801169591,0.16374269005847955,4.052631578947369,0.12280701754385966,10.192982456140351,0.12280701754385966,10.74561403508772,0.12280701754385966,10.74561403508772,3.5614035087719302,10.74561403508772,7.614035087719299,0,0,0,0,0.9228421487652296,2,10,True,True,EP-0000010,False,A
