day,reference_n,sequential_n,match_pct,missing,extra,status,pass
2024-05-24,9,9,1.0,0,0,PASS,True
2020-10-02,14,14,1.0,0,0,PASS,True
2020-03-05,13,13,1.0,0,0,PASS,True
2021-11-11,6,6,1.0,0,0,PASS,True
2021-08-30,12,12,1.0,0,0,PASS,True
2021-07-08,13,13,1.0,0,0,PASS,True
2020-12-08,10,10,1.0,0,0,PASS,True
2020-09-10,12,12,1.0,0,0,PASS,True
2024-08-28,14,14,1.0,0,0,PASS,True
2023-09-29,12,12,1.0,0,0,PASS,True
2020-08-04,8,8,1.0,0,0,PASS,True
2024-01-24,12,12,1.0,0,0,PASS,True
2022-11-17,14,14,1.0,0,0,PASS,True
2020-03-22,2,2,1.0,0,0,PASS,True
2020-03-17,13,13,1.0,0,0,PASS,True
2020-08-20,8,8,1.0,0,0,PASS,True
2021-06-27,1,1,1.0,0,0,PASS,True
2021-08-01,2,2,1.0,0,0,PASS,True
2023-06-21,8,8,1.0,0,0,PASS,True
2024-02-21,14,14,1.0,0,0,PASS,True
2020-03-09,10,10,1.0,0,0,PASS,True
2023-11-10,11,11,1.0,0,0,PASS,True
2021-05-09,2,2,1.0,0,0,PASS,True
2024-12-05,8,8,1.0,0,0,PASS,True
2024-06-20,9,9,1.0,0,0,PASS,True
