event_id,timestamp_ct,timestamp_utc,direction,event_type,quality_score,D10_pass,episode_status,episode_id,suppressed_same_direction,suppression_until,core_authorized,core_b1_active,model_hash
F56-0000001,2025-01-01 17:00:00-06:00,2025-01-01 23:00:00+00:00,LONG,E1,0.680111735090949,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000002,2025-01-01 17:00:00-06:00,2025-01-01 23:00:00+00:00,LONG,E11,0.680111735090949,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000003,2025-01-01 17:00:00-06:00,2025-01-01 23:00:00+00:00,LONG,E3,0.680111735090949,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000004,2025-01-01 17:02:00-06:00,2025-01-01 23:02:00+00:00,LONG,E11,0.6706060774678961,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000005,2025-01-01 17:35:00-06:00,2025-01-01 23:35:00+00:00,SHORT,E12,0.6007355867053111,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000006,2025-01-01 17:35:00-06:00,2025-01-01 23:35:00+00:00,SHORT,E2,0.6007355867053111,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000007,2025-01-01 17:35:00-06:00,2025-01-01 23:35:00+00:00,SHORT,E4,0.6007355867053111,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000008,2025-01-01 17:37:00-06:00,2025-01-01 23:37:00+00:00,SHORT,E14,0.5959644858337926,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000009,2025-01-01 17:38:00-06:00,2025-01-01 23:38:00+00:00,SHORT,E12,0.46904599129900565,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000010,2025-01-01 17:46:00-06:00,2025-01-01 23:46:00+00:00,SHORT,E14,0.036235131424202816,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000011,2025-01-01 17:48:00-06:00,2025-01-01 23:48:00+00:00,SHORT,E2,0.022818977304349026,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000012,2025-01-01 17:49:00-06:00,2025-01-01 23:49:00+00:00,LONG,E5,0.29030630438311683,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000013,2025-01-01 17:50:00-06:00,2025-01-01 23:50:00+00:00,LONG,E5,0.4271230675747759,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000014,2025-01-01 18:03:00-06:00,2025-01-02 00:03:00+00:00,SHORT,E12,0.5884765870351415,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000015,2025-01-01 18:03:00-06:00,2025-01-02 00:03:00+00:00,SHORT,E2,0.5884765870351415,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000016,2025-01-01 18:05:00-06:00,2025-01-02 00:05:00+00:00,SHORT,E14,0.5286599758294414,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000017,2025-01-01 18:06:00-06:00,2025-01-02 00:06:00+00:00,SHORT,E14,0.5276044865765074,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000018,2025-01-01 18:10:00-06:00,2025-01-02 00:10:00+00:00,SHORT,E12,0.6197837977200084,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000019,2025-01-01 18:12:00-06:00,2025-01-02 00:12:00+00:00,SHORT,E12,0.612786616219154,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000020,2025-01-01 18:13:00-06:00,2025-01-02 00:13:00+00:00,SHORT,E14,0.4891003085873679,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000021,2025-01-01 18:16:00-06:00,2025-01-02 00:16:00+00:00,SHORT,E12,0.7016377278565316,True,NEW_EPISODE,EP-0013008,False,2025-01-01 18:46:00-06:00,0,0,bccf4277f3d44d13
F56-0000022,2025-01-01 18:18:00-06:00,2025-01-02 00:18:00+00:00,SHORT,E14,0.5698201104878136,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000023,2025-01-01 18:33:00-06:00,2025-01-02 00:33:00+00:00,LONG,E1,0.6853326783948066,True,NEW_EPISODE,EP-0013009,False,2025-01-01 19:03:00-06:00,0,0,bccf4277f3d44d13
F56-0000024,2025-01-01 18:45:00-06:00,2025-01-02 00:45:00+00:00,LONG,E11,0.5371103371637684,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000025,2025-01-01 18:54:00-06:00,2025-01-02 00:54:00+00:00,LONG,E13,0.3485971183891775,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000026,2025-01-01 18:55:00-06:00,2025-01-02 00:55:00+00:00,LONG,E1,0.32720335748762674,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000027,2025-01-01 18:56:00-06:00,2025-01-02 00:56:00+00:00,LONG,E13,0.3277264816351927,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000028,2025-01-01 18:57:00-06:00,2025-01-02 00:57:00+00:00,SHORT,E6,0.43370134883134115,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000029,2025-01-01 18:58:00-06:00,2025-01-02 00:58:00+00:00,SHORT,E6,0.31987022561506695,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000030,2025-01-01 19:00:00-06:00,2025-01-02 01:00:00+00:00,LONG,E1,0.6712949531031176,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000031,2025-01-01 19:01:00-06:00,2025-01-02 01:01:00+00:00,LONG,E11,0.6669848181617853,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000032,2025-01-01 19:03:00-06:00,2025-01-02 01:03:00+00:00,LONG,E13,0.5465807947948738,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000033,2025-01-01 19:06:00-06:00,2025-01-02 01:06:00+00:00,LONG,E13,0.4631900586914967,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000034,2025-01-01 19:15:00-06:00,2025-01-02 01:15:00+00:00,LONG,E1,0.3697212295022652,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000035,2025-01-01 19:15:00-06:00,2025-01-02 01:15:00+00:00,LONG,E11,0.3697212295022652,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000036,2025-01-01 19:16:00-06:00,2025-01-02 01:16:00+00:00,SHORT,E6,0.0400928067944859,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000037,2025-01-01 19:17:00-06:00,2025-01-02 01:17:00+00:00,SHORT,E6,0.04005133859397478,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000038,2025-01-01 19:22:00-06:00,2025-01-02 01:22:00+00:00,LONG,E1,0.46638864236981503,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000039,2025-01-01 19:22:00-06:00,2025-01-02 01:22:00+00:00,LONG,E11,0.46638864236981503,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000040,2025-01-01 19:24:00-06:00,2025-01-02 01:24:00+00:00,LONG,E13,0.35786578594178203,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000041,2025-01-01 19:25:00-06:00,2025-01-02 01:25:00+00:00,LONG,E13,0.33098689912696444,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000042,2025-01-01 19:29:00-06:00,2025-01-02 01:29:00+00:00,SHORT,E6,0.3274016554420579,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000043,2025-01-01 19:36:00-06:00,2025-01-02 01:36:00+00:00,LONG,E5,0.5055920741589561,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000044,2025-01-01 19:39:00-06:00,2025-01-02 01:39:00+00:00,LONG,E1,0.383189870464923,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000045,2025-01-01 19:39:00-06:00,2025-01-02 01:39:00+00:00,LONG,E11,0.383189870464923,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000046,2025-01-01 19:40:00-06:00,2025-01-02 01:40:00+00:00,SHORT,E6,0.4889690778957421,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000047,2025-01-01 19:41:00-06:00,2025-01-02 01:41:00+00:00,LONG,E1,0.3713281235957629,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000048,2025-01-01 19:43:00-06:00,2025-01-02 01:43:00+00:00,SHORT,E6,0.3666294197473939,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000049,2025-01-01 19:52:00-06:00,2025-01-02 01:52:00+00:00,LONG,E13,0.43618078423980733,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000050,2025-01-01 19:54:00-06:00,2025-01-02 01:54:00+00:00,LONG,E13,0.32678438111167135,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000051,2025-01-01 19:55:00-06:00,2025-01-02 01:55:00+00:00,SHORT,E6,0.40366257109668324,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000052,2025-01-01 19:56:00-06:00,2025-01-02 01:56:00+00:00,SHORT,E6,0.40551736874023697,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
F56-0000053,2025-01-01 20:24:00-06:00,2025-01-02 02:24:00+00:00,SHORT,E6,0.4364332884623083,False,NOT_D10,,False,,0,0,bccf4277f3d44d13
