date,model_hash,implementation_hash,data_end_timestamp,event_count,signal_count,trade_count,cumulative_net_R
2025-01-01,bccf4277f3d44d13,88c7555fa08fc243,2025-01-01 17:24:00-06:00,4,0,0,
2025-01-02,bccf4277f3d44d13,88c7555fa08fc243,2025-01-02 06:24:00-06:00,249,5,5,
2025-01-03,bccf4277f3d44d13,88c7555fa08fc243,2025-01-03 02:55:00-06:00,634,15,15,
2025-01-05,bccf4277f3d44d13,88c7555fa08fc243,2025-01-05 23:25:00-06:00,976,20,20,
2025-01-06,bccf4277f3d44d13,88c7555fa08fc243,2025-01-06 05:55:00-06:00,1088,25,25,
2025-01-07,bccf4277f3d44d13,88c7555fa08fc243,2025-01-07 02:25:00-06:00,1412,31,31,
2025-01-08,bccf4277f3d44d13,88c7555fa08fc243,2025-01-08 05:25:00-06:00,1962,41,41,
2025-01-09,bccf4277f3d44d13,88c7555fa08fc243,2025-01-09 01:55:00-06:00,2287,51,51,
2025-01-10,bccf4277f3d44d13,88c7555fa08fc243,2025-01-10 05:55:00-06:00,2635,57,57,
2025-01-12,bccf4277f3d44d13,88c7555fa08fc243,2025-01-12 19:55:00-06:00,2887,67,67,
2025-01-13,bccf4277f3d44d13,88c7555fa08fc243,2025-01-13 02:25:00-06:00,2999,69,69,
2025-01-14,bccf4277f3d44d13,88c7555fa08fc243,2025-01-14 05:25:00-06:00,3500,78,78,
2025-01-15,bccf4277f3d44d13,88c7555fa08fc243,2025-01-15 01:55:00-06:00,3878,86,86,
2025-01-16,bccf4277f3d44d13,88c7555fa08fc243,2025-01-16 04:55:00-06:00,4385,99,99,
2025-01-17,bccf4277f3d44d13,88c7555fa08fc243,2025-01-17 01:25:00-06:00,4752,109,109,
2025-01-19,bccf4277f3d44d13,88c7555fa08fc243,2025-01-19 21:55:00-06:00,5153,116,116,
2025-01-20,bccf4277f3d44d13,88c7555fa08fc243,2025-01-20 04:25:00-06:00,5252,118,118,
2025-01-21,bccf4277f3d44d13,88c7555fa08fc243,2025-01-21 04:55:00-06:00,5592,125,125,
2025-01-22,bccf4277f3d44d13,88c7555fa08fc243,2025-01-22 01:25:00-06:00,5976,131,131,
2025-01-23,bccf4277f3d44d13,88c7555fa08fc243,2025-01-23 04:25:00-06:00,6460,138,138,
2025-01-24,bccf4277f3d44d13,88c7555fa08fc243,2025-01-24 00:55:00-06:00,6829,143,143,
2025-01-26,bccf4277f3d44d13,88c7555fa08fc243,2025-01-26 21:25:00-06:00,7155,156,156,
2025-01-27,bccf4277f3d44d13,88c7555fa08fc243,2025-01-27 03:55:00-06:00,7260,160,160,
2025-01-28,bccf4277f3d44d13,88c7555fa08fc243,2025-01-28 00:25:00-06:00,7624,168,168,
2025-01-29,bccf4277f3d44d13,88c7555fa08fc243,2025-01-29 03:25:00-06:00,8118,182,182,
2025-01-30,bccf4277f3d44d13,88c7555fa08fc243,2025-01-30 06:25:00-06:00,8630,195,195,
2025-01-31,bccf4277f3d44d13,88c7555fa08fc243,2025-01-31 02:55:00-06:00,8982,203,203,
2025-02-02,bccf4277f3d44d13,88c7555fa08fc243,2025-02-02 23:25:00-06:00,9313,211,211,
2025-02-03,bccf4277f3d44d13,88c7555fa08fc243,2025-02-03 05:55:00-06:00,9437,216,216,
2025-02-04,bccf4277f3d44d13,88c7555fa08fc243,2025-02-04 02:25:00-06:00,9860,223,223,
2025-02-05,bccf4277f3d44d13,88c7555fa08fc243,2025-02-05 05:25:00-06:00,10351,230,230,
2025-02-06,bccf4277f3d44d13,88c7555fa08fc243,2025-02-06 01:55:00-06:00,10729,235,235,
2025-02-07,bccf4277f3d44d13,88c7555fa08fc243,2025-02-07 04:55:00-06:00,11221,247,247,
2025-02-09,bccf4277f3d44d13,88c7555fa08fc243,2025-02-09 18:55:00-06:00,11454,253,253,
2025-02-10,bccf4277f3d44d13,88c7555fa08fc243,2025-02-10 01:25:00-06:00,11573,253,253,
2025-02-11,bccf4277f3d44d13,88c7555fa08fc243,2025-02-11 04:25:00-06:00,12050,260,260,
2025-02-12,bccf4277f3d44d13,88c7555fa08fc243,2025-02-12 00:55:00-06:00,12403,269,269,
2025-02-13,bccf4277f3d44d13,88c7555fa08fc243,2025-02-13 03:56:00-06:00,12819,281,281,
2025-02-14,bccf4277f3d44d13,88c7555fa08fc243,2025-02-14 00:26:00-06:00,13099,286,286,
2025-02-16,bccf4277f3d44d13,88c7555fa08fc243,2025-02-16 20:56:00-06:00,13459,297,297,
2025-02-17,bccf4277f3d44d13,88c7555fa08fc243,2025-02-17 03:26:00-06:00,13557,299,299,
2025-02-18,bccf4277f3d44d13,88c7555fa08fc243,2025-02-18 03:56:00-06:00,13925,304,304,
2025-02-19,bccf4277f3d44d13,88c7555fa08fc243,2025-02-19 00:26:00-06:00,14272,309,309,
2025-02-20,bccf4277f3d44d13,88c7555fa08fc243,2025-02-20 03:26:00-06:00,14709,321,321,
2025-02-21,bccf4277f3d44d13,88c7555fa08fc243,2025-02-21 06:26:00-06:00,15178,332,332,
2025-02-23,bccf4277f3d44d13,88c7555fa08fc243,2025-02-23 20:26:00-06:00,15390,338,338,
2025-02-24,bccf4277f3d44d13,88c7555fa08fc243,2025-02-24 02:57:00-06:00,15521,340,340,
2025-02-25,bccf4277f3d44d13,88c7555fa08fc243,2025-02-25 05:57:00-06:00,15974,351,351,
2025-02-26,bccf4277f3d44d13,88c7555fa08fc243,2025-02-26 02:27:00-06:00,16361,357,357,
2025-02-27,bccf4277f3d44d13,88c7555fa08fc243,2025-02-27 05:27:00-06:00,16861,369,369,
2025-02-28,bccf4277f3d44d13,88c7555fa08fc243,2025-02-28 01:57:00-06:00,17241,378,378,
2025-03-02,bccf4277f3d44d13,88c7555fa08fc243,2025-03-02 22:27:00-06:00,17577,391,391,
2025-03-03,bccf4277f3d44d13,88c7555fa08fc243,2025-03-03 04:57:00-06:00,17695,394,394,
2025-03-04,bccf4277f3d44d13,88c7555fa08fc243,2025-03-04 01:27:00-06:00,18064,405,405,
2025-03-05,bccf4277f3d44d13,88c7555fa08fc243,2025-03-05 04:27:00-06:00,18549,417,417,
2025-03-06,bccf4277f3d44d13,88c7555fa08fc243,2025-03-06 00:57:00-06:00,18883,425,425,
2025-03-07,bccf4277f3d44d13,88c7555fa08fc243,2025-03-07 03:57:00-06:00,19327,435,435,
2025-03-09,bccf4277f3d44d13,88c7555fa08fc243,2025-03-09 17:57:00-05:00,19575,444,444,
2025-03-10,bccf4277f3d44d13,88c7555fa08fc243,2025-03-10 00:27:00-05:00,19699,444,444,
2025-03-11,bccf4277f3d44d13,88c7555fa08fc243,2025-03-11 03:27:00-05:00,20156,455,455,
2025-03-12,bccf4277f3d44d13,88c7555fa08fc243,2025-03-12 06:27:00-05:00,20692,470,470,
2025-03-13,bccf4277f3d44d13,88c7555fa08fc243,2025-03-13 02:57:00-05:00,21044,477,477,
2025-03-14,bccf4277f3d44d13,88c7555fa08fc243,2025-03-14 05:57:00-05:00,21569,484,484,
2025-03-16,bccf4277f3d44d13,88c7555fa08fc243,2025-03-16 19:57:00-05:00,21854,491,491,
2025-03-17,bccf4277f3d44d13,88c7555fa08fc243,2025-03-17 02:27:00-05:00,21956,492,492,
2025-03-18,bccf4277f3d44d13,88c7555fa08fc243,2025-03-18 05:28:00-05:00,22463,506,506,
2025-03-19,bccf4277f3d44d13,88c7555fa08fc243,2025-03-19 08:32:00-05:00,22962,516,516,
2025-03-20,bccf4277f3d44d13,88c7555fa08fc243,2025-03-20 05:04:00-05:00,23305,530,530,
2025-03-21,bccf4277f3d44d13,88c7555fa08fc243,2025-03-21 01:34:00-05:00,23677,538,538,
2025-03-23,bccf4277f3d44d13,88c7555fa08fc243,2025-03-23 22:04:00-05:00,24054,547,547,
