field,ref_mean,ref_std,ref_median,forward_n,forward_mean,forward_std,forward_median,PSI,flag
quality_score,0.779421478636604,0.0761553723718159,0.7601124282287255,11280,0.7799822740594488,0.07670211229282871,0.7604192277990733,0.0011141675249735682,OK
m15_body_atr,1.5948006012727762,0.6728700262438326,1.4293357254052108,0,,,,,REFERENCE_ONLY
countertrend_15m,0.00044242077902925507,0.021029341290166866,0.0,0,,,,,REFERENCE_ONLY
mtf_1m_5m_align,0.762585949453426,0.4255020055152087,1.0,0,,,,,REFERENCE_ONLY
mtf_1m_15m_align,0.4060685383523513,0.49110215484900344,0.0,0,,,,,REFERENCE_ONLY
atr,9.380723160464438,6.821653142090357,7.517857142857143,0,,,,,REFERENCE_ONLY
atr_ratio,1.283580390115207,0.5593417587667078,1.1392037198488814,0,,,,,REFERENCE_ONLY
m5_range_pos_8,0.5632044345016877,0.37344811073739664,0.7387387387387387,0,,,,,REFERENCE_ONLY
m5_range_pos_4,0.560395617299717,0.36057164707118994,0.7051282051282052,0,,,,,REFERENCE_ONLY
m15_range_pos_4,0.563273618034711,0.39499488516841963,0.7898550724637681,0,,,,,REFERENCE_ONLY
m15_range_pos_8,0.5638308456138198,0.3982182294322042,0.7967479674796748,0,,,,,REFERENCE_ONLY
m5_mom,0.2317775330103688,2.2935108878033086,0.0,0,,,,,REFERENCE_ONLY
m15_mom_4,0.041714321035680776,1.056650179736733,0.0,0,,,,,REFERENCE_ONLY
