direction,timeframe,formation_i,formation_ts,upper,lower,midpoint,size_pts,size_atr,impulse_body_atr,first_revisit_i,first_revisit_age,first_interaction_type,touch_count,max_fill_depth,filled,untouched_before_revisit
BULL,1M,9,2017-10-01 17:09:00-05:00,5986.0,5985.0,5985.5,1.0,1.0,1.0,10.0,1.0,F7,1,0.0,False,False
BULL,1M,12,2017-10-01 17:12:00-05:00,5988.0,5986.5,5987.25,1.5,1.5,1.75,266.0,254.0,F7,1,0.0,False,False
BULL,1M,13,2017-10-01 17:13:00-05:00,5991.25,5988.25,5989.75,3.0,1.9090909090909092,2.0681818181818183,17.0,4.0,F6,113,1.0833333333333333,True,False
BULL,1M,14,2017-10-01 17:14:00-05:00,5994.75,5991.25,5993.0,3.5,2.3333333333333335,2.3333333333333335,15.0,1.0,F6,2,0.9285714285714286,True,False
BEAR,1M,16,2017-10-01 17:16:00-05:00,5994.75,5993.75,5994.25,1.0,0.7,1.05,19.0,3.0,F8,1,4.25,True,False
BEAR,1M,17,2017-10-01 17:17:00-05:00,5993.0,5992.25,5992.625,0.75,0.5121951219512195,1.3658536585365855,18.0,1.0,F7,2,7.666666666666667,True,False
BULL,1M,20,2017-10-01 17:20:00-05:00,5997.0,5992.5,5994.75,4.5,2.210526315789474,2.5789473684210527,21.0,1.0,F7,17,1.1666666666666667,True,False
BEAR,1M,31,2017-10-01 17:31:00-05:00,5995.75,5994.5,5995.125,1.25,0.578512396694215,1.0413223140495869,33.0,2.0,F6,5,1.0,True,False
BEAR,1M,38,2017-10-01 17:38:00-05:00,5993.75,5992.75,5993.25,1.0,0.7671232876712328,1.1506849315068493,39.0,1.0,F8,1,1.0,True,False
BULL,1M,40,2017-10-01 17:40:00-05:00,5993.25,5992.75,5993.0,0.5,0.411764705882353,1.4411764705882355,46.0,6.0,F6,2,2.0,True,False
BULL,1M,41,2017-10-01 17:41:00-05:00,5994.75,5993.75,5994.25,1.0,0.8115942028985507,1.0144927536231882,42.0,1.0,F7,5,1.75,True,False
BEAR,1M,45,2017-10-01 17:45:00-05:00,5994.75,5994.25,5994.5,0.5,0.5599999999999999,0.27999999999999997,50.0,5.0,F8,1,1.5,True,False
BEAR,1M,46,2017-10-01 17:46:00-05:00,5994.25,5994.0,5994.125,0.25,0.27450980392156865,0.0,50.0,4.0,F8,1,4.0,True,False
BEAR,1M,47,2017-10-01 17:47:00-05:00,5994.25,5993.25,5993.75,1.0,1.037037037037037,1.037037037037037,49.0,2.0,F7,2,1.75,True,False
BULL,1M,50,2017-10-01 17:50:00-05:00,5993.5,5993.0,5993.25,0.5,0.4912280701754386,0.2456140350877193,53.0,3.0,F7,3,1.0,True,False
BULL,1M,51,2017-10-01 17:51:00-05:00,5994.75,5993.75,5994.25,1.0,1.0769230769230769,1.346153846153846,52.0,1.0,F6,2,1.25,True,False
BEAR,1M,53,2017-10-01 17:53:00-05:00,5994.75,5994.0,5994.375,0.75,0.8571428571428571,1.4285714285714286,54.0,1.0,F7,4,1.0,True,False
BEAR,1M,57,2017-10-01 17:57:00-05:00,5993.75,5993.5,5993.625,0.25,0.4,0.8,82.0,25.0,F6,2,2.0,True,False
BEAR,1M,58,2017-10-01 17:58:00-05:00,5993.5,5993.0,5993.25,0.5,0.823529411764706,0.823529411764706,59.0,1.0,F7,8,1.0,True,False
BEAR,1M,66,2017-10-01 18:06:00-05:00,5993.0,5992.5,5992.75,0.5,1.1666666666666667,0.0,81.0,15.0,F7,2,2.0,True,False
BEAR,1M,67,2017-10-01 18:07:00-05:00,5992.5,5991.75,5992.125,0.75,1.75,2.3333333333333335,68.0,1.0,F7,6,1.0,True,False
BEAR,1M,77,2017-10-01 18:17:00-05:00,5991.5,5991.25,5991.375,0.25,0.5599999999999999,0.0,78.0,1.0,F7,3,1.0,True,False
BULL,1M,80,2017-10-01 18:20:00-05:00,5991.5,5991.25,5991.375,0.25,0.7777777777777777,0.0,129.0,49.0,F8,1,4.0,True,False
BULL,1M,81,2017-10-01 18:21:00-05:00,5991.75,5991.25,5991.5,0.5,1.4736842105263157,0.0,88.0,7.0,F7,4,2.5,True,False
BULL,1M,82,2017-10-01 18:22:00-05:00,5992.75,5991.5,5992.125,1.25,3.6842105263157894,1.4736842105263157,85.0,3.0,F7,22,1.8,True,False
BULL,1M,83,2017-10-01 18:23:00-05:00,5993.5,5992.5,5993.0,1.0,2.8,2.1,84.0,1.0,F6,3,1.0,True,False
BEAR,1M,86,2017-10-01 18:26:00-05:00,5993.5,5992.75,5993.125,0.75,2.333333333333333,2.333333333333333,87.0,1.0,F6,8,1.3333333333333333,True,False
BEAR,1M,89,2017-10-01 18:29:00-05:00,5993.25,5992.0,5992.625,1.25,3.0434782608695654,3.6521739130434785,90.0,1.0,F6,1,1.0,True,False
BULL,1M,91,2017-10-01 18:31:00-05:00,5992.75,5992.0,5992.375,0.75,1.6153846153846154,0.5384615384615384,92.0,1.0,F6,4,1.0,True,False
BULL,1M,100,2017-10-01 18:40:00-05:00,5994.25,5993.5,5993.875,0.75,1.5,2.0,104.0,4.0,F8,1,1.3333333333333333,True,False
BEAR,1M,103,2017-10-01 18:43:00-05:00,5994.75,5994.5,5994.625,0.25,0.6086956521739131,0.6086956521739131,124.0,21.0,F6,1,1.0,True,False
