date,window_min,or_high,or_low,or_width,width_atr,event_type,timestamp_ct,entry_i,direction,description,first_break_dir
2017-10-02,5,5995.75,5989.0,6.75,2.606896551724138,O1,2017-10-02 08:35:00-05:00,917,LONG,direct high breakout,LONG
2017-10-02,5,5995.75,5989.0,6.75,2.606896551724138,O3,2017-10-02 08:35:00-05:00,917,LONG,high breakout retest,LONG
2017-10-02,5,5995.75,5989.0,6.75,2.606896551724138,O2,2017-10-02 10:41:00-05:00,1043,SHORT,direct low breakout,LONG
2017-10-02,5,5995.75,5989.0,6.75,2.606896551724138,O4,2017-10-02 10:41:00-05:00,1043,SHORT,low breakout retest,LONG
2017-10-03,5,5993.75,5987.0,6.75,2.8421052631578947,O1,2017-10-03 08:36:00-05:00,2262,LONG,direct high breakout,LONG
2017-10-03,5,5993.75,5987.0,6.75,2.8421052631578947,O3,2017-10-03 08:36:00-05:00,2262,LONG,high breakout retest,LONG
2017-10-03,5,5993.75,5987.0,6.75,2.8421052631578947,O2,2017-10-03 09:14:00-05:00,2300,SHORT,direct low breakout,LONG
2017-10-03,5,5993.75,5987.0,6.75,2.8421052631578947,O4,2017-10-03 09:14:00-05:00,2300,SHORT,low breakout retest,LONG
2017-10-04,5,5989.75,5984.5,5.25,2.3149606299212597,O1,2017-10-04 08:35:00-05:00,3590,LONG,direct high breakout,LONG
2017-10-04,5,5989.75,5984.5,5.25,2.3149606299212597,O3,2017-10-04 08:35:00-05:00,3590,LONG,high breakout retest,LONG
2017-10-04,5,5989.75,5984.5,5.25,2.3149606299212597,O2,2017-10-04 08:43:00-05:00,3598,SHORT,direct low breakout,LONG
2017-10-04,5,5989.75,5984.5,5.25,2.3149606299212597,O4,2017-10-04 08:43:00-05:00,3598,SHORT,low breakout retest,LONG
2017-10-05,5,6037.75,6020.75,17.0,6.181818181818182,O2,2017-10-05 09:30:00-05:00,4951,SHORT,direct low breakout,SHORT
