pullback_id,leg_id,leg_direction,start_i,deepest_i,depth_pts,depth_atr,depth_pct_of_leg,duration,speed,efficiency,overlapping_candles,prior_swing_holds
PB-0000001,LEG-0000003,BEAR,135,135,1.75,2.2272727272727275,0.4117647058823529,1,1.75,0.07,24,True
PB-0000002,LEG-0000004,BEAR,149,166,2.75,4.967741935483871,0.5,18,0.1527777777777778,0.12941176470588237,22,True
PB-0000003,LEG-0000005,BULL,172,183,2.25,8.4,1.0,12,0.1875,0.10465116279069768,24,True
PB-0000004,LEG-0000010,BEAR,251,310,2.5,8.23529411764706,0.5555555555555556,60,0.041666666666666664,0.13513513513513514,26,True
PB-0000005,LEG-0000013,BULL,307,348,1.75,4.8999999999999995,0.5833333333333334,42,0.041666666666666664,0.08045977011494253,22,True
PB-0000006,LEG-0000018,BEAR,354,397,3.25,7.279999999999999,0.9285714285714286,44,0.07386363636363637,0.2,14,True
PB-0000007,LEG-0000022,BEAR,409,446,2.5,6.363636363636364,1.0,38,0.06578947368421052,0.12048192771084337,22,True
PB-0000008,LEG-0000023,BEAR,418,446,3.0,9.882352941176471,1.0,29,0.10344827586206896,0.13953488372093023,24,True
PB-0000009,LEG-0000027,BEAR,459,464,2.0,5.333333333333333,0.8888888888888888,6,0.3333333333333333,0.09195402298850575,27,True
PB-0000010,LEG-0000028,BEAR,476,476,2.0,4.0,0.7272727272727273,1,2.0,0.07339449541284404,34,True
PB-0000011,LEG-0000029,BEAR,493,538,1.5,6.461538461538462,0.75,46,0.03260869565217391,0.04411764705882353,44,True
PB-0000012,LEG-0000040,BULL,679,686,2.0,3.6129032258064515,0.8,8,0.25,0.05405405405405406,39,True
PB-0000013,LEG-0000041,BULL,701,708,2.0,3.6129032258064515,0.6666666666666666,8,0.25,0.05194805194805195,41,True
PB-0000014,LEG-0000042,BULL,724,772,1.5,2.048780487804878,0.35294117647058826,49,0.030612244897959183,0.041666666666666664,39,True
PB-0000015,LEG-0000043,BULL,734,772,3.0,4.421052631578947,0.8,39,0.07692307692307693,0.08571428571428572,39,True
PB-0000016,LEG-0000044,BULL,741,772,3.25,4.439024390243903,0.8125,32,0.1015625,0.09027777777777778,40,True
PB-0000017,LEG-0000048,BULL,793,793,1.25,2.3333333333333335,0.625,1,1.25,0.03759398496240601,42,True
