seq_id,seq_type,direction,leg_id,pullback_id,setup_i,setup_ts,reaction_i,reaction_strength,failed,leg_distance_atr,pullback_depth_pct,prior_swing_holds
SEQ-0000001,R1,BEAR,LEG-0000003,PB-0000001,135,2017-10-01 19:15:00-05:00,137.0,0.3181818181818182,False,5.409090909090909,0.4117647058823529,True
SEQ-0000002,R1,BEAR,LEG-0000004,PB-0000002,166,2017-10-01 19:47:00-05:00,168.0,0.6086956521739131,True,9.935483870967742,0.5,True
SEQ-0000003,R1,BULL,LEG-0000005,PB-0000003,183,2017-10-01 20:04:00-05:00,186.0,0.5185185185185185,True,8.4,1.0,True
SEQ-0000004,C1,BEAR,LEG-0000010,PB-0000004,310,2017-10-01 22:13:00-05:00,311.0,1.647058823529412,False,14.823529411764707,0.5555555555555556,True
SEQ-0000005,R1,BULL,LEG-0000013,PB-0000005,348,2017-10-01 22:51:00-05:00,349.0,0.38888888888888884,False,8.4,0.5833333333333334,True
SEQ-0000006,C1,BEAR,LEG-0000018,PB-0000006,397,2017-10-01 23:43:00-05:00,398.0,1.0769230769230769,False,7.84,0.9285714285714286,True
SEQ-0000007,R1,BEAR,LEG-0000022,PB-0000007,446,2017-10-02 00:40:00-05:00,448.0,2.2105263157894735,False,6.363636363636364,1.0,True
SEQ-0000008,R1,BEAR,LEG-0000023,PB-0000008,446,2017-10-02 00:40:00-05:00,448.0,2.2105263157894735,False,9.882352941176471,1.0,True
SEQ-0000009,R1,BEAR,LEG-0000027,PB-0000009,464,2017-10-02 01:00:00-05:00,465.0,0.5384615384615384,False,6.0,0.8888888888888888,True
SEQ-0000010,C1,BEAR,LEG-0000028,PB-0000010,476,2017-10-02 01:12:00-05:00,480.0,1.9310344827586206,True,5.5,0.7272727272727273,True
SEQ-0000011,C1,BEAR,LEG-0000029,PB-0000011,538,2017-10-02 02:15:00-05:00,540.0,0.5957446808510638,True,8.615384615384615,0.75,True
SEQ-0000012,C1,BULL,LEG-0000040,PB-0000012,686,2017-10-02 04:44:00-05:00,687.0,0.38888888888888884,False,4.516129032258064,0.8,True
SEQ-0000013,C1,BULL,LEG-0000041,PB-0000013,708,2017-10-02 05:06:00-05:00,710.0,1.2727272727272727,False,5.419354838709677,0.6666666666666666,True
SEQ-0000014,C1,BULL,LEG-0000042,PB-0000014,772,2017-10-02 06:10:00-05:00,773.0,1.4000000000000001,False,5.8048780487804885,0.35294117647058826,True
SEQ-0000015,C1,BULL,LEG-0000043,PB-0000015,772,2017-10-02 06:10:00-05:00,773.0,1.4000000000000001,False,5.526315789473684,0.8,True
SEQ-0000016,C1,BULL,LEG-0000044,PB-0000016,772,2017-10-02 06:10:00-05:00,773.0,1.4000000000000001,False,5.463414634146342,0.8125,True
SEQ-0000017,R1,BULL,LEG-0000048,PB-0000017,793,2017-10-02 06:31:00-05:00,794.0,0.45161290322580644,False,3.7333333333333334,0.625,True
SEQ-0000018,R1,BULL,LEG-0000058,PB-0000018,930,2017-10-02 08:48:00-05:00,933.0,0.2857142857142857,True,2.720379146919431,0.8292682926829268,True
SEQ-0000019,C1,BULL,LEG-0000061,PB-0000019,954,2017-10-02 09:12:00-05:00,955.0,0.44680851063829785,False,4.48314606741573,0.45614035087719296,True
SEQ-0000020,R1,BULL,LEG-0000062,PB-0000020,1013,2017-10-02 10:11:00-05:00,1014.0,1.0769230769230769,False,3.127659574468085,0.9523809523809523,True
SEQ-0000021,R1,BEAR,LEG-0000064,PB-0000021,990,2017-10-02 09:48:00-05:00,992.0,0.6666666666666666,True,3.343283582089552,0.9375,True
SEQ-0000022,C1,BEAR,LEG-0000066,PB-0000022,1018,2017-10-02 10:16:00-05:00,1019.0,0.7636363636363637,False,3.7837837837837838,0.43333333333333335,True
SEQ-0000023,C1,BEAR,LEG-0000067,PB-0000023,1018,2017-10-02 10:16:00-05:00,1019.0,0.7636363636363637,False,5.232323232323233,0.5405405405405406,True
SEQ-0000024,C1,BEAR,LEG-0000068,PB-0000024,1019,2017-10-02 10:17:00-05:00,1021.0,0.8521739130434783,True,2.9272727272727272,0.8260869565217391,True
SEQ-0000025,C1,BEAR,LEG-0000070,PB-0000025,1045,2017-10-02 10:43:00-05:00,1046.0,2.4393939393939394,False,7.952,0.15492957746478872,True
SEQ-0000026,C1,BEAR,LEG-0000071,PB-0000026,1056,2017-10-02 10:54:00-05:00,1057.0,1.6115107913669064,False,11.5,0.1565217391304348,True
SEQ-0000027,R1,BULL,LEG-0000073,PB-0000027,1104,2017-10-02 11:42:00-05:00,1105.0,1.1951219512195124,False,9.731707317073171,0.3157894736842105,True
SEQ-0000028,C1,BULL,LEG-0000075,PB-0000028,1165,2017-10-02 12:43:00-05:00,1166.0,0.1627906976744186,False,4.083333333333333,0.6666666666666666,True
SEQ-0000029,R1,BULL,LEG-0000076,PB-0000029,1165,2017-10-02 12:43:00-05:00,1166.0,0.1627906976744186,False,4.285714285714286,1.0,True
SEQ-0000030,C1,BULL,LEG-0000083,PB-0000030,1258,2017-10-02 14:16:00-05:00,1259.0,0.6363636363636364,False,6.803738317757009,0.9615384615384616,True
SEQ-0000031,C1,BEAR,LEG-0000084,PB-0000031,1293,2017-10-02 14:51:00-05:00,1295.0,0.736842105263158,True,7.974683544303797,0.7777777777777778,True
SEQ-0000032,R1,BULL,LEG-0000086,PB-0000032,1288,2017-10-02 14:46:00-05:00,1289.0,1.2584269662921348,False,5.090909090909091,0.8125,True
SEQ-0000033,C1,BULL,LEG-0000088,PB-0000033,1316,2017-10-02 15:14:00-05:00,1317.0,0.22580645161290322,False,3.9016393442622954,0.8235294117647058,True
SEQ-0000034,R1,BEAR,LEG-0000089,PB-0000034,1347,2017-10-02 17:00:00-05:00,1350.0,1.435897435897436,True,6.618181818181818,1.0,True
SEQ-0000035,C1,BULL,LEG-0000090,PB-0000035,1354,2017-10-02 17:07:00-05:00,1355.0,0.6222222222222222,False,8.088888888888889,0.6153846153846154,True
SEQ-0000036,R1,BEAR,LEG-0000093,PB-0000036,1424,2017-10-02 18:23:00-05:00,1429.0,2.3333333333333335,True,5.090909090909091,0.5,True
SEQ-0000037,C1,BEAR,LEG-0000094,PB-0000037,1444,2017-10-02 18:44:00-05:00,1446.0,1.5555555555555554,False,5.384615384615384,1.0,True
SEQ-0000038,R1,BULL,LEG-0000099,PB-0000038,1524,2017-10-02 20:06:00-05:00,1527.0,1.1666666666666665,True,4.529411764705883,0.2727272727272727,True
SEQ-0000039,R1,BULL,LEG-0000100,PB-0000039,1531,2017-10-02 20:13:00-05:00,1534.0,1.135135135135135,True,5.121951219512195,0.3333333333333333,True
SEQ-0000040,C1,BULL,LEG-0000101,PB-0000040,1541,2017-10-02 20:23:00-05:00,1542.0,1.0,False,4.2,0.3333333333333333,True
SEQ-0000041,C1,BULL,LEG-0000102,PB-0000041,1564,2017-10-02 20:46:00-05:00,1565.0,0.3684210526315789,False,8.195121951219512,0.3333333333333333,True
SEQ-0000042,C1,BULL,LEG-0000104,PB-0000042,1611,2017-10-02 21:33:00-05:00,1613.0,0.411764705882353,False,9.863636363636363,0.45161290322580644,True
SEQ-0000043,R1,BULL,LEG-0000107,PB-0000043,1647,2017-10-02 22:09:00-05:00,1648.0,1.2727272727272727,False,8.166666666666668,0.7142857142857143,True
SEQ-0000044,C1,BULL,LEG-0000108,PB-0000044,1721,2017-10-02 23:27:00-05:00,1723.0,0.4666666666666667,False,6.758620689655172,0.9285714285714286,True
SEQ-0000045,R1,BEAR,LEG-0000112,PB-0000045,1763,2017-10-03 00:09:00-05:00,1765.0,3.5,False,4.8125,0.5454545454545454,True
SEQ-0000046,R1,BEAR,LEG-0000113,PB-0000046,1785,2017-10-03 00:35:00-05:00,1790.0,0.7777777777777777,True,7.91304347826087,0.7692307692307693,True
SEQ-0000047,R1,BULL,LEG-0000115,PB-0000047,1743,2017-10-02 23:49:00-05:00,1746.0,1.1666666666666667,False,4.454545454545455,0.5714285714285714,True
SEQ-0000048,C1,BULL,LEG-0000116,PB-0000048,1819,2017-10-03 01:09:00-05:00,1820.0,0.48275862068965514,False,8.0,1.0,True
SEQ-0000049,R1,BEAR,LEG-0000120,PB-0000049,1830,2017-10-03 01:20:00-05:00,1833.0,2.916666666666667,False,8.076923076923077,0.6,True
SEQ-0000050,R1,BEAR,LEG-0000126,PB-0000050,1935,2017-10-03 03:05:00-05:00,1936.0,0.3333333333333333,False,9.578947368421051,0.5,True
SEQ-0000051,C1,BEAR,LEG-0000127,PB-0000051,1958,2017-10-03 03:28:00-05:00,1959.0,2.6666666666666665,False,4.869565217391305,0.875,True
SEQ-0000052,C1,BEAR,LEG-0000128,PB-0000052,1958,2017-10-03 03:28:00-05:00,1959.0,2.6666666666666665,False,6.666666666666667,0.9,True
SEQ-0000053,R1,BEAR,LEG-0000131,PB-0000053,2022,2017-10-03 04:33:00-05:00,2025.0,2.333333333333333,False,4.558139534883721,0.9285714285714286,True
SEQ-0000054,R1,BEAR,LEG-0000134,PB-0000054,2044,2017-10-03 04:58:00-05:00,2045.0,5.0,False,6.63157894736842,1.0,True
SEQ-0000055,C1,BEAR,LEG-0000136,PB-0000055,2096,2017-10-03 05:50:00-05:00,2101.0,0.5185185185185185,True,11.200000000000001,0.7916666666666666,True
SEQ-0000056,C1,BULL,LEG-0000140,PB-0000056,2157,2017-10-03 06:51:00-05:00,2158.0,1.75,False,7.0,0.8571428571428571,True
SEQ-0000057,C1,BULL,LEG-0000141,PB-0000057,2207,2017-10-03 07:41:00-05:00,2208.0,0.84,False,10.5,0.6111111111111112,True
SEQ-0000058,R1,BULL,LEG-0000144,PB-0000058,2257,2017-10-03 08:31:00-05:00,2258.0,0.1590909090909091,False,3.6129032258064515,0.9375,True
SEQ-0000059,R1,BEAR,LEG-0000150,PB-0000059,2293,2017-10-03 09:07:00-05:00,2294.0,0.1,False,3.1111111111111107,0.28125,True
SEQ-0000060,R1,BEAR,LEG-0000151,PB-0000060,2325,2017-10-03 09:39:00-05:00,2326.0,0.3218390804597701,False,6.56497175141243,0.8674698795180723,True
SEQ-0000061,R1,BULL,LEG-0000152,PB-0000061,2359,2017-10-03 10:13:00-05:00,2360.0,0.6885245901639345,False,4.333333333333333,0.8269230769230769,True
SEQ-0000062,C1,BEAR,LEG-0000153,PB-0000062,2371,2017-10-03 10:25:00-05:00,2373.0,0.12173913043478261,False,4.144,0.8918918918918919,True
SEQ-0000063,R1,BULL,LEG-0000157,PB-0000063,2475,2017-10-03 12:09:00-05:00,2476.0,1.0144927536231882,False,8.484848484848484,0.65,True
SEQ-0000064,R1,BEAR,LEG-0000159,PB-0000064,2520,2017-10-03 12:54:00-05:00,2522.0,1.4583333333333335,False,4.597014925373134,0.8181818181818182,True
SEQ-0000065,R1,BULL,LEG-0000162,PB-0000065,2506,2017-10-03 12:40:00-05:00,2507.0,0.43076923076923074,False,2.888888888888889,0.38461538461538464,True
SEQ-0000066,R1,BULL,LEG-0000163,PB-0000066,2566,2017-10-03 13:40:00-05:00,2567.0,0.23728813559322035,False,3.43859649122807,0.5714285714285714,True
SEQ-0000067,R1,BULL,LEG-0000164,PB-0000067,2566,2017-10-03 13:40:00-05:00,2567.0,0.23728813559322035,False,4.666666666666667,0.625,True
SEQ-0000068,R1,BEAR,LEG-0000167,PB-0000068,2548,2017-10-03 13:22:00-05:00,2549.0,0.5490196078431373,False,2.423076923076923,1.0,True
SEQ-0000069,C1,BEAR,LEG-0000173,PB-0000069,2665,2017-10-03 15:34:00-05:00,2666.0,0.8936170212765957,False,5.033707865168539,0.84375,True
SEQ-0000070,R1,BEAR,LEG-0000175,PB-0000070,2709,2017-10-03 17:19:00-05:00,2710.0,1.1666666666666667,False,4.846153846153846,0.2222222222222222,True
SEQ-0000071,R1,BEAR,LEG-0000176,PB-0000071,2712,2017-10-03 17:22:00-05:00,2713.0,0.7,False,12.727272727272728,0.2,True
SEQ-0000072,R1,BEAR,LEG-0000186,PB-0000072,2894,2017-10-03 20:32:00-05:00,2895.0,2.0,False,7.875,1.0,True
SEQ-0000073,R1,BULL,LEG-0000188,PB-0000073,2884,2017-10-03 20:22:00-05:00,2885.0,2.4705882352941178,False,8.23529411764706,0.7,True
