view,N,AvgR,PF,TotalR,MaxDD,WinRate
RAW_PHASE57,76622,1.5538631641475102,7.556892439455607,119060.10336331053,271.0505333901152,0.8321500352379212
CAUSAL_NEXT_BAR,76621,0.09889496488518286,1.124996840979384,7577.431104467596,5054.441865905315,0.4115973427650383
A_raw,76622,1.5538631641475102,7.556892439455607,119060.10336331053,271.0505333901152,0.8321500352379212
C_5min,67834,1.537025647223823,7.319683907443481,104262.5977537808,259.2705079187147,0.8273284783441932
D_15min,62316,1.5207688589956132,7.088205529477507,94768.23221717063,254.77833542502162,0.8229347198151358
E_30min,52417,1.4821631560836879,6.605676327453337,77690.54615243866,220.28131289704902,0.8119121659003758
G_one_position,61573,1.614764255924593,8.540262837868934,99425.87953004496,230.3296781233173,0.8491059392915726
X0_reported,76622,1.5538631641475102,7.556892439455607,119060.10336331053,271.0505333901152,0.8321500352379212
X1_next_bar,76621,1.026920174538642,3.3292607184966814,78683.6506933253,782.5761962090745,0.6818496234713721
X2_1tick,76621,0.8984422335910947,2.8310773243921723,68839.54237998326,2205.5050045810067,0.6762245337440127
X3_2tick,76621,0.7699642926435474,2.4150347690110983,58995.434066641246,3666.222393374563,0.670651649025724
cost_1.0x,76622,1.5538631641475102,7.556892439455607,119060.10336331053,271.0505333901152,0.8321500352379212
cost_1.5x,76622,1.3661876332779321,5.768521591713449,104680.02883702172,1540.5259763612626,0.822361723786902
cost_2.0x,76622,1.1785121024083538,4.411253747213303,90299.95431073288,3635.0058740907825,0.8080838401503485
CAUSAL_30MIN_EPISODES,49322,0.08503367619260006,1.1069283418359095,4194.03097717142,3357.533178868428,0.4072219293621508
