trade_id,armed_i,signal_i,entry_i,arm_to_entry_bars,signal_to_entry_bars
T58-000001,108,109,110,2,1
T58-000002,118,119,120,2,1
T58-000003,127,128,129,2,1
T58-000004,139,140,141,2,1
T58-000005,156,158,159,3,1
T58-000006,174,176,177,3,1
T58-000007,183,185,186,3,1
T58-000008,191,192,193,2,1
T58-000009,217,218,219,2,1
T58-000010,230,231,232,2,1
T58-000011,252,253,254,2,1
T58-000012,272,273,274,2,1
T58-000013,279,280,281,2,1
T58-000014,312,313,314,2,1
T58-000015,333,334,335,2,1
T58-000016,351,353,354,3,1
T58-000017,362,363,364,2,1
T58-000018,378,379,380,2,1
T58-000019,386,387,388,2,1
T58-000020,406,407,408,2,1
T58-000021,417,418,419,2,1
T58-000022,427,428,429,2,1
T58-000023,445,446,447,2,1
T58-000024,455,456,457,2,1
T58-000025,464,465,466,2,1
T58-000026,474,475,476,2,1
T58-000027,499,500,501,2,1
T58-000028,508,509,510,2,1
T58-000029,522,523,524,2,1
T58-000030,539,540,541,2,1
T58-000031,563,564,565,2,1
T58-000032,580,582,583,3,1
T58-000033,594,595,596,2,1
T58-000034,621,622,623,2,1
T58-000035,632,633,634,2,1
T58-000036,652,653,654,2,1
T58-000037,660,661,662,2,1
T58-000038,677,678,679,2,1
T58-000039,697,698,699,2,1
T58-000040,712,713,714,2,1
T58-000041,721,722,723,2,1
T58-000042,738,739,740,2,1
T58-000043,745,746,747,2,1
T58-000044,757,758,759,2,1
T58-000045,766,767,768,2,1
T58-000046,773,774,775,2,1
T58-000047,788,789,790,2,1
T58-000048,798,799,800,2,1
T58-000049,806,807,808,2,1
T58-000050,816,818,819,3,1
T58-000051,830,831,832,2,1
T58-000052,843,844,845,2,1
T58-000053,850,851,852,2,1
T58-000054,857,858,859,2,1
T58-000055,865,867,868,3,1
T58-000056,881,882,883,2,1
T58-000057,892,893,894,2,1
T58-000058,907,908,909,2,1
T58-000059,914,915,916,2,1
T58-000060,922,923,924,2,1
T58-000061,934,935,936,2,1
T58-000062,944,945,946,2,1
T58-000063,959,960,961,2,1
T58-000064,977,979,980,3,1
T58-000065,987,990,991,4,1
T58-000066,998,1000,1001,3,1
T58-000067,1008,1009,1010,2,1
T58-000068,1018,1019,1020,2,1
T58-000069,1034,1036,1037,3,1
T58-000070,1047,1048,1049,2,1
T58-000071,1061,1062,1063,2,1
T58-000072,1075,1076,1077,2,1
T58-000073,1086,1088,1089,3,1
T58-000074,1100,1101,1102,2,1
T58-000075,1116,1117,1118,2,1
T58-000076,1131,1132,1133,2,1
T58-000077,1150,1151,1152,2,1
T58-000078,1158,1159,1160,2,1
T58-000079,1168,1169,1170,2,1
T58-000080,1187,1188,1189,2,1
T58-000081,1204,1205,1206,2,1
T58-000082,1217,1218,1219,2,1
T58-000083,1245,1248,1249,4,1
T58-000084,1255,1256,1257,2,1
T58-000085,1272,1273,1274,2,1
T58-000086,1290,1291,1292,2,1
T58-000087,1300,1301,1302,2,1
T58-000088,1324,1325,1326,2,1
T58-000089,1334,1335,1336,2,1
T58-000090,1342,1343,1344,2,1
T58-000091,1383,1384,1385,2,1
T58-000092,1396,1398,1399,3,1
T58-000093,1418,1419,1420,2,1
T58-000094,1426,1427,1428,2,1
T58-000095,1464,1465,1466,2,1
T58-000096,1483,1484,1485,2,1
T58-000097,1518,1519,1520,2,1
T58-000098,1527,1528,1529,2,1
T58-000099,1539,1540,1541,2,1
T58-000100,1551,1552,1553,2,1
T58-000101,1563,1564,1565,2,1
T58-000102,1571,1572,1573,2,1
T58-000103,1579,1580,1581,2,1
T58-000104,1595,1596,1597,2,1
T58-000105,1613,1614,1615,2,1
T58-000106,1623,1624,1625,2,1
T58-000107,1647,1648,1649,2,1
T58-000108,1665,1666,1667,2,1
T58-000109,1692,1693,1694,2,1
T58-000110,1706,1707,1708,2,1
T58-000111,1733,1734,1735,2,1
T58-000112,1766,1767,1768,2,1
T58-000113,1790,1791,1792,2,1
T58-000114,1811,1812,1813,2,1
T58-000115,1831,1832,1833,2,1
T58-000116,1841,1842,1843,2,1
T58-000117,1852,1853,1854,2,1
T58-000118,1861,1862,1863,2,1
T58-000119,1873,1874,1875,2,1
T58-000120,1883,1884,1885,2,1
T58-000121,1894,1896,1897,3,1
T58-000122,1907,1908,1909,2,1
T58-000123,1918,1919,1920,2,1
T58-000124,1931,1932,1933,2,1
T58-000125,1942,1943,1944,2,1
T58-000126,1960,1961,1962,2,1
T58-000127,1970,1971,1972,2,1
T58-000128,1982,1983,1984,2,1
T58-000129,1989,1990,1991,2,1
T58-000130,1996,1997,1998,2,1
T58-000131,2006,2007,2008,2,1
T58-000132,2043,2044,2045,2,1
T58-000133,2050,2051,2052,2,1
T58-000134,2062,2063,2064,2,1
T58-000135,2079,2080,2081,2,1
T58-000136,2087,2088,2089,2,1
T58-000137,2097,2098,2099,2,1
T58-000138,2106,2107,2108,2,1
T58-000139,2121,2122,2123,2,1
T58-000140,2145,2146,2147,2,1
T58-000141,2156,2157,2158,2,1
T58-000142,2165,2166,2167,2,1
T58-000143,2173,2174,2175,2,1
T58-000144,2183,2184,2185,2,1
T58-000145,2201,2204,2205,4,1
T58-000146,2217,2218,2219,2,1
T58-000147,2234,2235,2236,2,1
T58-000148,2244,2245,2246,2,1
T58-000149,2261,2262,2263,2,1
T58-000150,2273,2274,2275,2,1
T58-000151,2283,2284,2285,2,1
T58-000152,2292,2293,2294,2,1
T58-000153,2299,2300,2301,2,1
T58-000154,2307,2308,2309,2,1
T58-000155,2321,2322,2323,2,1
T58-000156,2340,2341,2342,2,1
T58-000157,2349,2351,2352,3,1
T58-000158,2361,2362,2363,2,1
T58-000159,2377,2378,2379,2,1
T58-000160,2386,2387,2388,2,1
T58-000161,2398,2399,2400,2,1
T58-000162,2412,2413,2414,2,1
T58-000163,2425,2426,2427,2,1
T58-000164,2435,2436,2437,2,1
T58-000165,2458,2459,2460,2,1
T58-000166,2473,2474,2475,2,1
T58-000167,2481,2482,2483,2,1
T58-000168,2499,2500,2501,2,1
T58-000169,2514,2515,2516,2,1
T58-000170,2526,2527,2528,2,1
T58-000171,2533,2534,2535,2,1
T58-000172,2541,2542,2543,2,1
T58-000173,2564,2565,2566,2,1
T58-000174,2573,2574,2575,2,1
T58-000175,2584,2585,2586,2,1
T58-000176,2600,2601,2602,2,1
T58-000177,2614,2615,2616,2,1
T58-000178,2621,2622,2623,2,1
T58-000179,2639,2640,2641,2,1
T58-000180,2662,2664,2665,3,1
T58-000181,2674,2675,2676,2,1
T58-000182,2692,2693,2694,2,1
T58-000183,2699,2700,2701,2,1
T58-000184,2773,2774,2775,2,1
T58-000185,2786,2787,2788,2,1
T58-000186,2794,2795,2796,2,1
T58-000187,2817,2819,2820,3,1
T58-000188,2832,2833,2834,2,1
T58-000189,2846,2847,2848,2,1
T58-000190,2859,2860,2861,2,1
T58-000191,2884,2885,2886,2,1
T58-000192,2893,2894,2895,2,1
T58-000193,2901,2902,2903,2,1
T58-000194,2928,2929,2930,2,1
T58-000195,2958,2959,2960,2,1
T58-000196,2967,2968,2969,2,1
T58-000197,2984,2985,2986,2,1
T58-000198,3002,3003,3004,2,1
T58-000199,3013,3014,3015,2,1
T58-000200,3031,3032,3033,2,1
T58-000201,3051,3052,3053,2,1
T58-000202,3071,3072,3073,2,1
T58-000203,3096,3097,3098,2,1
T58-000204,3110,3111,3112,2,1
T58-000205,3127,3128,3129,2,1
T58-000206,3145,3146,3147,2,1
T58-000207,3158,3159,3160,2,1
T58-000208,3177,3178,3179,2,1
T58-000209,3194,3195,3196,2,1
T58-000210,3204,3205,3206,2,1
T58-000211,3231,3232,3233,2,1
T58-000212,3244,3245,3246,2,1
T58-000213,3254,3255,3256,2,1
T58-000214,3263,3264,3265,2,1
T58-000215,3274,3275,3276,2,1
T58-000216,3292,3293,3294,2,1
T58-000217,3304,3305,3306,2,1
T58-000218,3312,3313,3314,2,1
T58-000219,3325,3326,3327,2,1
T58-000220,3346,3347,3348,2,1
T58-000221,3353,3354,3355,2,1
T58-000222,3366,3367,3368,2,1
T58-000223,3378,3379,3380,2,1
T58-000224,3391,3392,3393,2,1
T58-000225,3410,3411,3412,2,1
T58-000226,3437,3438,3439,2,1
T58-000227,3451,3452,3453,2,1
T58-000228,3470,3472,3473,3,1
T58-000229,3479,3480,3481,2,1
T58-000230,3497,3498,3499,2,1
T58-000231,3507,3508,3509,2,1
T58-000232,3515,3516,3517,2,1
T58-000233,3538,3539,3540,2,1
T58-000234,3551,3552,3553,2,1
T58-000235,3564,3565,3566,2,1
T58-000236,3576,3577,3578,2,1
T58-000237,3595,3596,3597,2,1
T58-000238,3603,3604,3605,2,1
T58-000239,3627,3628,3629,2,1
T58-000240,3649,3650,3651,2,1
T58-000241,3673,3674,3675,2,1
T58-000242,3688,3693,3694,6,1
T58-000243,3712,3713,3714,2,1
T58-000244,3736,3737,3738,2,1
T58-000245,3757,3758,3759,2,1
T58-000246,3767,3768,3769,2,1
T58-000247,3775,3776,3777,2,1
T58-000248,3800,3801,3802,2,1
T58-000249,3811,3812,3813,2,1
T58-000250,3824,3825,3826,2,1
T58-000251,3834,3835,3836,2,1
T58-000252,3846,3847,3848,2,1
T58-000253,3871,3872,3873,2,1
T58-000254,3888,3889,3890,2,1
T58-000255,3900,3901,3902,2,1
T58-000256,3910,3911,3912,2,1
T58-000257,3924,3925,3926,2,1
T58-000258,3949,3950,3951,2,1
T58-000259,3963,3964,3965,2,1
T58-000260,3972,3973,3974,2,1
