date,category,note
2020-03-16,high_vol,COVID crash week
2020-06-11,reversal,post-recovery reversal
2021-01-27,high_vol,GME volatility
2021-09-20,trend,strong downtrend day
2022-01-24,high_vol,rate fear selloff
2022-06-16,reversal,FOMC reversal
2023-03-13,high_vol,SVB crisis
2023-10-27,trend,strong selloff
2024-04-15,trend,strong downtrend
2024-07-11,reversal,CPI reversal day
2020-02-19,random,random selection
2020-08-05,random,random selection
2021-03-10,random,random selection
2021-07-14,random,random selection
2021-11-03,random,random selection
2022-02-16,random,random selection
2022-05-25,random,random selection
2022-08-10,random,random selection
2022-11-30,random,random selection
2023-02-01,random,random selection
2023-05-17,random,random selection
2023-08-23,random,random selection
2023-12-13,random,random selection
2024-01-17,random,random selection
2024-03-20,random,random selection
2024-06-05,random,random selection
2024-08-14,random,random selection
2024-10-09,random,random selection
2024-11-27,random,random selection
2024-12-18,random,random selection
2020-05-14,range,choppy range day
2021-04-07,range,range-bound
2022-04-20,range,low-range
2023-06-07,range,summer range
2024-02-14,range,valentines chop
