trade_id,direction,system,A_eventual_5m,B_at_horizon_5m,A_eventual_10m,B_at_horizon_10m,A_eventual_15m,B_at_horizon_15m,A_eventual_30m,B_at_horizon_30m,A_eventual_60m,B_at_horizon_60m,C_target_before_stop,D_stop_before_target
T58-202183,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-054386,SHORT,A,True,False,True,True,True,True,True,False,True,False,False,True
T58-043318,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-117731,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-135858,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-086542,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-176301,LONG,A,True,True,True,True,True,False,True,True,True,False,True,False
T58-157187,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-213583,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-110509,LONG,A,False,False,False,False,False,False,False,False,False,False,False,True
T58-168185,SHORT,A,True,False,True,True,True,False,True,False,True,False,False,True
T58-008932,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-088672,LONG,A,True,True,True,True,True,True,True,False,True,False,True,False
T58-197194,LONG,A,False,False,False,False,True,False,True,True,True,False,False,True
T58-058102,LONG,A,True,True,True,True,True,True,True,False,True,False,True,False
T58-092114,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-076714,LONG,A,False,False,False,False,False,False,True,True,True,True,False,True
T58-040355,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-047131,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-059466,LONG,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-158510,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-105185,SHORT,A,True,False,True,False,True,False,True,True,True,False,True,False
T58-113655,SHORT,A,True,True,True,False,True,False,True,False,True,False,False,True
T58-040304,SHORT,A,False,True,False,True,False,False,True,True,True,True,False,True
T58-061051,LONG,A,False,False,False,False,False,False,True,True,True,True,False,True
T58-188747,LONG,A,True,False,True,True,True,True,True,False,True,False,False,True
T58-106303,LONG,A,True,True,True,True,True,True,True,False,True,True,False,True
T58-068533,LONG,A,True,False,True,True,True,True,True,True,True,True,True,False
T58-023889,LONG,A,True,False,True,True,True,False,True,False,True,False,True,False
T58-082163,LONG,A,True,True,True,True,True,False,True,True,True,True,True,False
T58-075246,SHORT,A,True,True,True,True,True,True,True,False,True,True,False,True
T58-063007,LONG,A,False,False,False,False,False,False,True,True,True,False,False,True
T58-215775,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-182606,SHORT,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-064814,LONG,A,False,False,True,True,True,True,True,True,True,True,False,True
T58-164756,LONG,A,False,False,False,False,False,False,False,False,False,False,False,True
T58-111932,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-095750,LONG,A,True,True,True,True,True,True,True,False,True,True,True,False
T58-127346,LONG,A,True,True,True,True,True,True,True,True,True,False,True,False
T58-086919,LONG,A,True,False,True,False,True,True,True,True,True,False,False,True
T58-012766,SHORT,A,True,False,True,False,True,False,True,False,True,True,True,False
T58-140264,LONG,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-145528,SHORT,A,True,True,True,True,True,True,True,False,True,False,False,True
T58-173802,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-221974,LONG,A,True,False,True,False,True,False,True,True,True,False,False,True
T58-052515,LONG,A,True,True,True,True,True,True,True,True,True,True,True,False
T58-041225,SHORT,A,True,False,True,False,True,False,True,False,True,True,False,True
T58-020929,LONG,A,True,True,True,True,True,True,True,False,True,True,True,False
T58-147482,SHORT,A,False,True,False,True,False,True,True,False,True,True,False,True
T58-008083,SHORT,A,True,True,True,False,True,False,True,False,True,False,False,True
T58-170641,LONG,A,True,False,True,True,True,True,True,False,True,False,False,True
T58-169621,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-114758,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-003712,SHORT,A,False,True,False,True,False,True,False,True,True,False,False,True
T58-035483,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-012246,LONG,A,False,False,True,True,True,False,True,True,True,True,False,True
T58-035983,SHORT,A,False,True,False,True,False,True,True,True,True,True,False,True
T58-011052,LONG,A,True,True,True,True,True,False,True,False,True,False,True,False
T58-059222,SHORT,A,True,False,True,True,True,True,True,False,True,False,False,True
T58-093172,SHORT,A,True,True,True,True,True,True,True,False,True,False,False,True
T58-109042,SHORT,A,True,False,True,False,True,False,True,False,True,False,False,True
T58-031300,LONG,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-086509,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-109285,SHORT,A,True,False,True,True,True,True,True,True,True,True,False,True
T58-035875,SHORT,A,True,True,True,False,True,False,True,True,True,True,False,True
T58-125600,SHORT,A,True,False,True,True,True,True,True,True,True,False,False,True
T58-192135,SHORT,A,True,False,True,False,True,False,True,True,True,True,False,True
T58-023528,LONG,A,True,True,True,False,True,False,True,False,True,True,False,True
T58-083811,LONG,A,True,True,True,False,True,True,True,True,True,True,False,True
T58-114250,SHORT,A,True,True,True,True,True,True,True,True,True,True,False,True
T58-023282,SHORT,A,True,False,True,False,True,False,True,False,True,False,True,False
T58-031753,SHORT,A,True,True,True,False,True,False,True,False,True,False,True,False
