direction,phase58_entry_i,phase58b_entry_i,lag_bars,phase58_net_R,phase58b_net_R
LONG,175318,175347,29,-1.3785547785548042,2.121445221445196
SHORT,2754727,2754748,21,-1.2042767295596586,-1.1879629629630388
SHORT,3034216,3034192,-24,-1.0573446327683544,-1.0588405797101499
SHORT,757795,757789,-6,2.020943952802442,-1.4921212121213858
SHORT,826063,826039,-24,2.0562841530056764,2.1317460317460317
LONG,2822518,2822534,16,-1.1792494481236895,-1.1723991507430358
SHORT,3005646,3005673,27,2.2980099502487854,-1.1866666666667167
SHORT,1683683,1683657,-26,-1.1015634771732297,-1.1213751868460493
SHORT,1864667,1864650,-17,-1.0563888888888877,-1.056330211585152
LONG,547821,547823,2,-3.0820512820489516,-3.3536231884087755
LONG,2598756,2598731,-25,2.388384879725095,-1.1116151202749052
LONG,1372985,1372971,-14,-2.746236559136506,-2.503703703702893
SHORT,2645266,2645293,27,-1.021071752951862,2.4826551319021686
SHORT,236923,236945,22,-2.0410256410258354,-1.6940170940169215
LONG,360007,360002,-5,-1.1990196078431514,2.297253433208504
SHORT,1634047,1634055,8,-1.155555555555573,-1.171851851851852
LONG,21674,21691,17,-3.165333333332493,-3.3536231884087755
LONG,2936008,2936016,8,2.4065054691997636,2.41710056151098
LONG,1058646,1058635,-11,2.163768115942029,-1.3426160337554005
SHORT,2197678,2197708,30,2.390860215053789,-1.126775956284153
SHORT,3066419,3066448,29,2.3906397306397222,-1.115669515669487
LONG,1161666,1161689,23,-1.1533522190745733,-1.1582846003898726
LONG,686346,686320,-26,2.1391111111110876,-1.3426160337552533
LONG,1516816,1516816,0,-1.2416666666666667,2.260471976401221
LONG,510706,510705,-1,-1.845833333333077,1.654166666666923
SHORT,519499,519507,8,-1.4833333333333334,-1.594871794871795
SHORT,2608386,2608405,19,-1.0414180056108149,-1.0310219675262648
LONG,1826820,1826793,-27,-1.4473829201100494,2.116075650118256
SHORT,1256871,1256886,15,-1.1691666666666871,-1.1879629629629502
SHORT,2313844,2313838,-6,-1.5698245614030433,-1.4666666666663544
LONG,2715016,2715034,18,2.375840978593283,-1.1847554038679584
LONG,42600,42593,-7,2.2696453900709317,-1.2416666666666667
SHORT,461691,461687,-4,-1.3280808080807889,-1.3300813008130277
SHORT,1083847,1083874,27,-1.1740621650589171,-1.1735042735043058
SHORT,1800413,1800384,-29,2.403505644682119,-1.1089201877934272
LONG,1770497,1770468,-29,2.4289588801399806,-1.0526588845655003
LONG,2279644,2279636,-8,2.2583333333333333,2.1870905587667893
LONG,1915684,1915696,12,-1.0936562860438388,-1.0804358593363028
LONG,2077754,2077761,7,2.020943952802442,-1.4833333333333334
LONG,2486985,2486979,-6,-1.0697594501718108,2.4337413300693562
LONG,170472,170469,-3,1.9844444444444445,-1.5059190031154024
LONG,2874917,2874892,-25,-1.0436911487758946,2.4486401012017747
LONG,1011103,1011121,18,-1.9666666666666668,1.348226950353659
LONG,1699482,1699456,-26,1.847791164658482,2.0703703703703704
LONG,2606449,2606473,24,-1.1285827395091408,-1.12981614708231
LONG,2474910,2474890,-20,2.3453333333333335,-1.227450980392157
LONG,2466723,2466741,18,-1.1346600331675218,2.3457739791072614
LONG,1931711,1931686,-25,-1.2747884940778071,2.1573839662445993
SHORT,2735338,2735355,17,2.3189520624303,-1.1954271961491632
SHORT,393170,393150,-20,-1.1395189003436461,-1.167595459236316
LONG,842775,842768,-7,-1.069490800171156,-1.0686100549218454
LONG,2623747,2623717,-30,-1.216533333333367,-1.0644444444444445
SHORT,685175,685160,-15,1.5666666666661984,-2.1517730496446767
LONG,1455855,1455846,-9,-1.1564547206166054,-1.1655453618756568
