trade_id,direction,outcome,net_R,15m_state,15m_strength,15m_score,5m_direction,5m_struct_score,5m_loc_score,5m_react_score,pb_depth_pct,swing_dist_atr,impulse_atr_15m
T58-086157,LONG,WINNER,2.0033639143728235,TRANSITION,0.0,0,BULLISH,2,1,0,0.391304347826087,4.846153846153846,1.15320261499611
T58-114476,SHORT,WINNER,1.4600913242008355,BULLISH,2.0,-2,NEUTRAL,2,0,1,0.8779956427015251,6.378289473684211,4.212600766723317
T58-058239,SHORT,WINNER,2.2384863123992824,BEARISH,-2.0,2,NEUTRAL,1,1,1,0.1875,7.682051282051282,2.4128985568020593
T58-171898,LONG,WINNER,1.6125683060103644,BULLISH,2.0,2,BULLISH,2,0,2,0.125,6.621621621621622,1.056044487114924
T58-143141,LONG,WINNER,2.1317460317460317,BULLISH,1.5,2,BULLISH,2,1,2,0.32678132678132676,6.153846153846154,0.906265404147376
T58-024926,SHORT,WINNER,2.3066666666666666,BEARISH,-1.0,1,BEARISH,2,1,1,0.22110552763819097,18.13026819923372,1.8234994304658694
T58-081861,LONG,WINNER,2.358659704090499,BULLISH,2.0,2,BULLISH,2,0,2,0.006607929515418502,17.951612903225804,1.643380039480531
T58-046632,SHORT,WINNER,2.188888888888854,BEARISH,-2.0,2,BEARISH,2,0,2,0.024691358024691357,6.493975903614458,1.8198587129253259
T58-190921,LONG,WINNER,2.396296296296312,BULLISH,2.0,2,BULLISH,2,0,2,0.11659192825112108,4.334075723830735,2.0630940177234502
T58-110763,LONG,WINNER,2.437991599847267,BULLISH,1.5,2,NEUTRAL,2,2,3,0.21844660194174756,5.477521263669502,1.5942700528720966
T58-090828,LONG,WINNER,2.4074643874643784,BULLISH,2.0,2,NEUTRAL,2,0,2,0.032432432432432434,17.066889632107024,4.8729207435018544
T58-024192,SHORT,WINNER,1.4786163522014448,NEUTRAL,-0.5,0,NEUTRAL,1,1,0,0.8367346938775511,0.0,2.591297974917659
T58-131218,SHORT,WINNER,2.2470404984422987,BULLISH,1.0,0,NEUTRAL,2,0,1,0.6692913385826772,0.963302752293578,2.129028085932972
T58-115894,LONG,WINNER,2.3984365228267706,BULLISH,2.0,2,BEARISH,2,1,3,0.1003627569528416,21.30093457943925,2.988199757740831
T58-042560,SHORT,WINNER,1.847791164658482,BEARISH,-1.0,1,NEUTRAL,1,0,2,0.7027027027027027,3.8987341772151898,1.7968519117113322
T58-072283,LONG,WINNER,2.3139747995417728,BULLISH,2.0,2,NEUTRAL,2,0,2,0.005714285714285714,20.530035335689046,4.155301465897801
T58-132353,SHORT,WINNER,2.4326699834162504,BULLISH,2.0,-2,NEUTRAL,2,1,2,0.713903743315508,0.0690505548705302,3.474010911453461
T58-178897,SHORT,WINNER,2.1777777777777776,TRANSITION,0.0,0,NEUTRAL,2,0,2,0.6878048780487804,5.005586592178771,1.7036399561986433
T58-161597,LONG,WINNER,1.9744336569577308,BULLISH,2.0,2,NEUTRAL,2,0,2,0.0,11.466666666666667,1.5787994043435472
T58-210613,LONG,WINNER,2.208960573476824,BULLISH,2.0,2,NEUTRAL,2,0,0,0.044715447154471545,18.793478260869566,1.1747246671420697
T58-177801,LONG,WINNER,2.3038647342994616,BULLISH,2.0,2,NEUTRAL,2,1,2,0.21341463414634146,7.371428571428571,1.2405522523681642
T58-093544,LONG,WINNER,1.905128205128205,BULLISH,2.0,2,NEUTRAL,2,1,2,0.16666666666666666,7.954545454545455,0.963635482465049
T58-032314,SHORT,WINNER,1.654166666666923,BEARISH,-1.0,1,NEUTRAL,2,1,2,0.5333333333333333,1.0769230769230769,1.3265212416410248
T58-149090,SHORT,WINNER,2.339366963402581,BEARISH,-2.0,2,NEUTRAL,1,1,2,0.18699186991869918,3.60233918128655,2.049295245391954
T58-049938,SHORT,WINNER,2.1077294685991164,BEARISH,-2.0,2,NEUTRAL,2,0,2,0.0847457627118644,9.882352941176471,2.321464582988233
T58-010151,SHORT,WINNER,2.268660968660959,BEARISH,-1.5,2,NEUTRAL,2,0,2,0.6220095693779905,4.627615062761506,1.0472585738823061
T58-205765,LONG,WINNER,2.270621468926516,BEARISH,-2.0,-2,NEUTRAL,2,0,1,0.7891566265060241,7.08936170212766,1.7543038852338786
T58-014997,LONG,WINNER,0.9533333333333334,BULLISH,2.0,2,BULLISH,2,0,0,0.1,8.049999999999999,1.5992846709600999
T58-106370,LONG,WINNER,2.092982456140351,BULLISH,1.5,2,BEARISH,2,1,1,0.4819277108433735,5.016666666666667,1.4141858067890445
T58-198917,LONG,WINNER,2.3560283687943113,BULLISH,1.5,2,NEUTRAL,2,0,0,0.7096774193548387,4.243523316062176,1.1882171582983339
T58-038287,LONG,WINNER,1.7375586854462177,BULLISH,2.0,2,BULLISH,2,0,2,0.06666666666666667,15.555555555555555,2.249456240784547
T58-140518,LONG,WINNER,2.1484848484848484,BULLISH,2.0,2,NEUTRAL,1,0,3,0.0,9.549132947976878,1.593228290463842
T58-032015,SHORT,WINNER,1.8777777777777085,BULLISH,1.0,0,NEUTRAL,2,1,2,0.46296296296296297,1.3023255813953487,1.9213353486436087
T58-083701,LONG,WINNER,2.386750348675044,BULLISH,2.0,2,NEUTRAL,2,0,2,0.04790419161676647,9.87139689578714,6.368429443121252
T58-163227,LONG,WINNER,2.343091787439631,BULLISH,2.0,2,BULLISH,2,0,2,0.046232876712328765,17.301492537313433,2.7561015527334543
T58-043638,SHORT,WINNER,0.9533333333333334,BEARISH,-2.0,2,NEUTRAL,2,0,2,0.7169811320754716,6.0,1.2842158081160768
T58-168839,LONG,WINNER,1.778222222221849,BULLISH,2.0,2,NEUTRAL,2,0,3,0.01639344262295082,14.0,1.1472910535724985
T58-200866,SHORT,WINNER,2.268660968660892,TRANSITION,0.0,0,BEARISH,2,1,2,0.3509933774834437,4.979079497907949,1.5605516262419312
T58-007385,LONG,WINNER,1.8059829059830785,BULLISH,2.0,2,NEUTRAL,2,1,1,0.5409836065573771,5.36986301369863,0.9191330674069157
T58-046360,LONG,WINNER,2.235934959349556,BULLISH,2.0,2,BULLISH,2,0,0,0.12568306010928962,10.181818181818182,2.8105174301380336
T58-213738,LONG,WINNER,2.322513661202231,BULLISH,2.0,2,NEUTRAL,2,1,2,0.2265193370165746,5.730994152046784,0.8377625314450585
T58-048752,SHORT,WINNER,1.7039215686277918,BEARISH,-2.0,2,NEUTRAL,1,0,2,0.0,13.818181818181818,2.260569540808973
T58-215112,SHORT,WINNER,2.450608272506086,BEARISH,-1.0,1,NEUTRAL,2,1,2,0.5433589462129528,4.931414055884843,2.309640645801319
T58-044434,SHORT,WINNER,1.0369369369357861,BEARISH,-2.0,2,BEARISH,2,0,3,0.023809523809523808,10.436363636363637,1.8034005743656056
T58-018523,LONG,WINNER,1.8555555555555556,BULLISH,2.0,2,BULLISH,2,0,3,0.0,15.76842105263158,1.921661193830858
T58-012930,LONG,WINNER,2.199259259259308,BULLISH,2.0,2,BULLISH,2,0,2,0.014084507042253521,7.6616915422885565,1.9724596162432997
T58-128873,SHORT,WINNER,2.4493133583021196,BEARISH,-1.5,2,NEUTRAL,2,1,0,0.412109375,4.911421911421911,1.9653191929765264
T58-023991,LONG,WINNER,1.550292397661142,BULLISH,2.0,2,BULLISH,2,0,2,0.12903225806451613,12.0,2.126577833609165
T58-029811,LONG,WINNER,2.0835897435897746,NEUTRAL,-0.5,0,NEUTRAL,1,1,1,0.275,6.246153846153845,1.406786134415418
T58-140602,SHORT,WINNER,2.323093681917189,BEARISH,-2.0,2,NEUTRAL,2,1,3,0.5983263598326359,0.9746835443037974,1.409734729975079
T58-124964,SHORT,WINNER,2.4409024745269274,BEARISH,-1.5,2,NEUTRAL,1,0,0,0.06882217090069284,28.451612903225804,2.6422408467475877
T58-092854,LONG,WINNER,1.8705426356591988,TRANSITION,0.0,0,BULLISH,2,1,3,0.4074074074074074,5.397590361445783,0.8787777400874409
T58-031557,SHORT,WINNER,2.235934959349556,NEUTRAL,-0.5,0,BEARISH,2,1,2,0.15789473684210525,3.9609756097560975,1.0656452368723224
T58-177374,LONG,WINNER,2.2493827160495177,BULLISH,2.0,2,BULLISH,2,1,1,0.16666666666666666,6.4,1.326510627073225
T58-188416,SHORT,WINNER,2.327600849256964,BEARISH,-2.0,2,NEUTRAL,2,1,2,0.2840909090909091,5.547169811320755,1.5622955489954038
T58-181337,LONG,WINNER,2.358659704090499,BEARISH,-1.5,-2,NEUTRAL,2,0,0,0.7168367346938775,5.785488958990537,3.038248472391769
T58-210175,LONG,WINNER,2.3126874279123664,BULLISH,1.5,2,BULLISH,2,1,2,0.3443396226415094,5.549090909090909,0.863285221299959
