setup_id,direction,armed_j,armed_m1_i,has_5m_take,matched_1m_opportunity,15m_state,tag
S58B-000001,SHORT,36,183,True,True,BEARISH,CONTINUATION
S58B-000002,LONG,41,207,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-000003,LONG,46,232,True,True,BULLISH,CONTINUATION
S58B-000004,LONG,54,272,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-000005,SHORT,67,336,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-000006,LONG,75,374,True,True,NEUTRAL,CONTINUATION
S58B-000007,LONG,80,398,True,True,BULLISH,CONTINUATION
S58B-000008,SHORT,93,455,False,False,BULLISH,POTENTIAL_REVERSAL
S58B-000009,SHORT,96,468,False,False,BEARISH,CONTINUATION
S58B-000010,SHORT,113,552,True,True,NEUTRAL,CONTINUATION
S58B-000011,SHORT,118,577,False,False,BEARISH,CONTINUATION
S58B-000012,SHORT,120,587,False,False,BEARISH,CONTINUATION
S58B-000013,SHORT,122,597,True,True,BEARISH,CONTINUATION
S58B-000014,SHORT,128,626,True,True,BEARISH,CONTINUATION
S58B-000015,SHORT,133,651,False,False,BULLISH,POTENTIAL_REVERSAL
S58B-000016,SHORT,157,771,True,True,BEARISH,CONTINUATION
S58B-000017,LONG,162,796,False,False,BULLISH,CONTINUATION
S58B-000018,LONG,164,806,False,False,BULLISH,CONTINUATION
S58B-000019,LONG,166,816,True,True,BULLISH,CONTINUATION
S58B-000020,LONG,174,856,False,False,BEARISH,POTENTIAL_REVERSAL
S58B-000021,SHORT,184,906,False,False,BEARISH,CONTINUATION
S58B-000022,LONG,220,1086,True,True,NEUTRAL,CONTINUATION
S58B-000023,SHORT,237,1171,True,True,NEUTRAL,CONTINUATION
S58B-000024,LONG,254,1256,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-000025,LONG,260,1286,False,False,BEARISH,POTENTIAL_REVERSAL
S58B-000026,LONG,262,1296,True,True,NEUTRAL,CONTINUATION
S58B-000027,SHORT,283,1397,True,True,BEARISH,CONTINUATION
S58B-000028,SHORT,296,1458,True,True,BEARISH,CONTINUATION
S58B-000029,SHORT,302,1488,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-000030,SHORT,327,1612,False,False,NEUTRAL,CONTINUATION
S58B-000031,LONG,333,1642,True,True,BULLISH,CONTINUATION
S58B-000032,LONG,338,1664,True,True,BULLISH,CONTINUATION
S58B-000033,LONG,345,1698,False,False,BULLISH,CONTINUATION
S58B-000034,LONG,347,1708,True,True,NEUTRAL,CONTINUATION
S58B-000035,SHORT,368,1809,True,True,NEUTRAL,CONTINUATION
S58B-000036,SHORT,373,1834,True,True,BEARISH,CONTINUATION
S58B-000037,SHORT,378,1859,True,True,BEARISH,CONTINUATION
S58B-000038,SHORT,383,1884,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-000039,SHORT,391,1924,True,True,BEARISH,CONTINUATION
S58B-000040,SHORT,396,1949,True,True,BEARISH,CONTINUATION
S58B-000041,SHORT,401,1974,True,True,BEARISH,CONTINUATION
S58B-000042,SHORT,413,2031,False,False,BULLISH,POTENTIAL_REVERSAL
S58B-000043,SHORT,417,2050,True,True,BEARISH,CONTINUATION
S58B-000044,SHORT,422,2075,True,True,BEARISH,CONTINUATION
S58B-000045,SHORT,431,2120,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-000046,SHORT,436,2145,True,True,BULLISH,POTENTIAL_REVERSAL
S58B-000047,LONG,451,2220,True,True,BULLISH,CONTINUATION
S58B-000048,LONG,456,2245,True,True,BULLISH,CONTINUATION
S58B-000049,LONG,461,2270,False,False,TRANSITION,POTENTIAL_REVERSAL
S58B-000050,LONG,463,2280,True,True,BULLISH,CONTINUATION
S58B-000051,LONG,472,2325,True,True,NEUTRAL,CONTINUATION
S58B-000052,LONG,484,2385,True,True,NEUTRAL,CONTINUATION
S58B-000053,LONG,503,2480,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-000054,LONG,510,2515,True,True,BULLISH,CONTINUATION
S58B-000055,LONG,515,2540,True,True,BULLISH,CONTINUATION
S58B-000056,LONG,524,2585,True,True,BULLISH,CONTINUATION
S58B-000057,LONG,539,2660,True,True,BULLISH,CONTINUATION
S58B-000058,SHORT,545,2690,False,False,BULLISH,POTENTIAL_REVERSAL
S58B-000059,SHORT,547,2700,True,True,BEARISH,CONTINUATION
S58B-000060,SHORT,552,2724,True,True,BEARISH,CONTINUATION
S58B-000061,LONG,557,2749,True,True,BEARISH,POTENTIAL_REVERSAL
S58B-000062,SHORT,565,2786,False,False,TRANSITION,POTENTIAL_REVERSAL
S58B-000063,SHORT,578,2848,True,True,NEUTRAL,CONTINUATION
S58B-000064,LONG,585,2881,True,True,NEUTRAL,CONTINUATION
S58B-000065,LONG,590,2906,True,True,BULLISH,CONTINUATION
S58B-000066,LONG,596,2934,True,True,TRANSITION,POTENTIAL_REVERSAL
S58B-000067,LONG,601,2958,True,True,BULLISH,CONTINUATION
S58B-000068,LONG,606,2980,True,True,NEUTRAL,CONTINUATION
