setup_id,5m_take_j,5m_arm_j,direction,5m_take_m1_i,5m_arm_m1_i,5m_take_price,5m_take_ts,5m_arm_ts,matched_opportunity_id,classification
S58B-000046,438,436,SHORT,2155,2145,5984.0,2017-10-03 06:45:00-05:00,2017-10-03 06:35:00-05:00,OPP_00002107_SHORT,DIRECTION_DISAGREEMENT
S58B-000105,948,947,LONG,4612,4607,6006.75,2017-10-05 03:45:00-05:00,2017-10-05 03:40:00-05:00,OPP_00004656_LONG,DIRECTION_DISAGREEMENT
S58B-000136,1153,1152,LONG,5625,5620,6067.5,2017-10-05 22:05:00-05:00,2017-10-05 22:00:00-05:00,OPP_00005674_LONG,DIRECTION_DISAGREEMENT
S58B-000141,1202,1201,SHORT,5842,5837,6065.25,2017-10-06 02:10:00-05:00,2017-10-06 02:05:00-05:00,OPP_00005891_SHORT,DIRECTION_DISAGREEMENT
S58B-000168,1436,1434,SHORT,7002,6993,6075.25,2017-10-08 22:55:00-05:00,2017-10-08 22:45:00-05:00,OPP_00007035_SHORT,DIRECTION_DISAGREEMENT
S58B-000181,1548,1545,LONG,7547,7532,6081.25,2017-10-09 08:15:00-05:00,2017-10-09 08:00:00-05:00,OPP_00007585_LONG,DIRECTION_DISAGREEMENT
S58B-000207,1775,1774,SHORT,8644,8639,6070.5,2017-10-10 04:25:00-05:00,2017-10-10 04:20:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000251,2230,2229,SHORT,10854,10849,6079.75,2017-10-11 20:50:00-05:00,2017-10-11 20:45:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000260,2308,2306,LONG,11211,11201,6080.0,2017-10-12 03:20:00-05:00,2017-10-12 03:10:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000287,2545,2540,LONG,12383,12358,6077.5,2017-10-13 00:20:00-05:00,2017-10-12 23:55:00-05:00,OPP_00012416_LONG,DIRECTION_DISAGREEMENT
S58B-000366,3257,3242,SHORT,15874,15799,6117.75,2017-10-17 14:10:00-05:00,2017-10-17 12:55:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000403,3641,3640,LONG,17697,17692,6116.25,2017-10-19 00:40:00-05:00,2017-10-19 00:35:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000430,3892,3881,LONG,18947,18892,6118.75,2017-10-19 22:50:00-05:00,2017-10-19 21:55:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000453,4128,4124,LONG,20126,20106,6117.25,2017-10-22 19:45:00-05:00,2017-10-22 19:25:00-05:00,,DIRECTION_DISAGREEMENT
S58B-000481,4379,4378,SHORT,21372,21367,6067.25,2017-10-23 17:55:00-05:00,2017-10-23 17:50:00-05:00,OPP_00021420_SHORT,DIRECTION_DISAGREEMENT
S58B-000513,4642,4641,SHORT,22678,22673,6072.75,2017-10-24 17:05:00-05:00,2017-10-24 17:00:00-05:00,OPP_00022644_SHORT,DIRECTION_DISAGREEMENT
