system,meaningful_opportunities,total_opportunities,recall_pct,threshold_atr,horizon_min
Phase58_1M,83698,87809,95.3182475600451,0.5,60
Phase58B_5M,44927,48328,92.96267174308889,0.5,60
Phase58_1M,78815,87809,89.75731417052921,1.0,60
Phase58B_5M,41672,48328,86.22744578712134,1.0,60
Phase58_1M,73141,87809,83.29556195834141,1.5,60
Phase58B_5M,38191,48328,79.0245820228439,1.5,60
Phase58_1M,67305,87809,76.649318406997,2.0,60
Phase58B_5M,34849,48328,72.10933620261545,2.0,60
Phase58_1M,61355,87809,69.87324761698687,2.5,60
Phase58B_5M,31594,48328,65.37411024664792,2.5,60
