year,1m_trades,1m_opportunities,5m_matched_opportunities,opportunity_retention_pct,winning_opportunity_retention_pct,redundant_signal_rate
2017,5775,2330,920,39.48497854077253,44.81842338352524,0.5965367965367965
2018,25185,9741,3571,36.65948054614516,42.78123854891902,0.6132221560452651
2019,24823,9902,3637,36.729953544738436,43.07295504789978,0.6010957579664021
2020,25291,9870,3541,35.876393110435664,41.85286103542234,0.6097425961804595
2021,25671,10168,3641,35.80841856805665,41.243833685694156,0.6039110280082584
2022,26035,10151,3625,35.71076741207763,41.21169425854174,0.6101017860572306
2023,25643,10118,3608,35.65922118995849,42.12584429434767,0.6054283820145849
2024,26101,10155,3659,36.03151157065485,42.32063773250665,0.6109344469560554
2025,25866,10328,3637,35.214949651432995,41.29865596090068,0.6007113585401685
2026,12772,5046,1763,34.938565200158536,41.06104651162791,0.6049170059505167
