date,opportunity_id,direction,1m_signal_count,first_1m_time,5m_arm_time,5m_take_time,classification,entry_difference,meaningful_move,notes
2020-03-16,OPP_00855023_SHORT,SHORT,4,2020-03-16 08:46:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855075_LONG,LONG,4,2020-03-16 09:38:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855129_SHORT,SHORT,1,2020-03-16 10:32:00-05:00,2020-03-16 10:40:00-05:00,2020-03-16 10:50:00-05:00,AMBIGUOUS_MATCH,,,
2020-03-16,OPP_00855143_LONG,LONG,1,2020-03-16 10:46:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855165_SHORT,SHORT,2,2020-03-16 11:08:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855199_LONG,LONG,1,2020-03-16 11:42:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855206_SHORT,SHORT,1,2020-03-16 11:49:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855218_LONG,LONG,1,2020-03-16 12:01:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855225_SHORT,SHORT,8,2020-03-16 12:08:00-05:00,2020-03-16 13:55:00-05:00,2020-03-16 14:00:00-05:00,AMBIGUOUS_MATCH,,,
2020-03-16,OPP_00855329_LONG,LONG,1,2020-03-16 13:52:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855340_SHORT,SHORT,7,2020-03-16 14:03:00-05:00,2020-03-16 14:20:00-05:00,2020-03-16 14:25:00-05:00,SAME_OPPORTUNITY,,,
2020-03-16,OPP_00855412_LONG,LONG,1,2020-03-16 15:30:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855425_SHORT,SHORT,2,2020-03-16 15:43:00-05:00,2020-03-16 15:40:00-05:00,2020-03-16 15:55:00-05:00,AMBIGUOUS_MATCH,,,
2020-03-16,OPP_00855458_LONG,LONG,1,2020-03-16 17:16:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855468_SHORT,SHORT,1,2020-03-16 17:26:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855487_LONG,LONG,5,2020-03-16 17:45:00-05:00,2020-03-16 19:10:00-05:00,2020-03-16 19:15:00-05:00,AMBIGUOUS_MATCH,,,
2020-03-16,OPP_00855575_SHORT,SHORT,1,2020-03-16 19:13:00-05:00,,,1M_ONLY,,,
2020-03-16,OPP_00855592_LONG,LONG,3,2020-03-16 19:30:00-05:00,2020-03-16 19:45:00-05:00,2020-03-16 19:50:00-05:00,SAME_OPPORTUNITY,,,
2020-03-16,OPP_00855670_LONG,LONG,1,2020-03-16 21:23:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938145_LONG,LONG,5,2020-06-11 00:49:00-05:00,,,1M_ONLY,,,
2020-06-11,OPP_00938222_SHORT,SHORT,3,2020-06-11 02:06:00-05:00,2020-06-11 01:00:00-05:00,2020-06-11 01:10:00-05:00,DIRECTION_DISAGREEMENT,,,
2020-06-11,OPP_00938248_LONG,LONG,1,2020-06-11 02:32:00-05:00,,,1M_ONLY,,,
