opportunity_id,direction,wait_signal_i,immediate_entry_i,system,location_score,direction_score,reaction_score,total_evidence
OPP_00000334_SHORT,SHORT,334,335,E,2,0,1,2
OPP_00000908_LONG,LONG,908,909,E,2,0,1,3
OPP_00001132_SHORT,SHORT,1132,1133,E,3,-1,1,2
OPP_00001169_LONG,LONG,1169,1170,E,2,0,2,3
OPP_00001693_SHORT,SHORT,1693,1694,E,0,1,2,3
OPP_00001874_LONG,LONG,1874,1875,E,2,0,1,2
OPP_00002293_SHORT,SHORT,2293,2294,E,0,2,2,3
OPP_00002308_LONG,LONG,2308,2309,E,1,0,3,3
OPP_00002378_SHORT,SHORT,2378,2379,E,2,1,1,3
OPP_00003159_SHORT,SHORT,3159,3160,E,2,0,1,2
OPP_00003628_SHORT,SHORT,3628,3629,E,1,-1,3,2
OPP_00003847_LONG,LONG,3847,3848,E,1,0,2,2
OPP_00003889_SHORT,SHORT,3889,3890,E,3,0,1,3
OPP_00004534_SHORT,SHORT,4534,4535,E,3,-1,2,3
OPP_00004879_SHORT,SHORT,4879,4880,E,1,1,1,2
OPP_00005163_SHORT,SHORT,5163,5164,E,1,1,1,3
OPP_00005307_SHORT,SHORT,5307,5308,E,0,1,3,3
OPP_00005422_SHORT,SHORT,5422,5423,E,1,1,1,3
OPP_00005674_LONG,LONG,5674,5675,E,2,1,0,2
OPP_00006079_SHORT,SHORT,6079,6080,E,2,0,2,3
OPP_00006343_SHORT,SHORT,6343,6344,E,1,1,1,3
OPP_00006379_SHORT,SHORT,6379,6380,E,1,1,2,3
OPP_00006613_SHORT,SHORT,6613,6614,E,2,0,1,2
OPP_00006903_SHORT,SHORT,6903,6904,E,1,1,2,3
OPP_00007200_SHORT,SHORT,7200,7201,E,2,0,1,2
OPP_00007417_SHORT,SHORT,7417,7418,E,1,1,1,3
OPP_00007445_SHORT,SHORT,7445,7446,E,2,0,1,3
OPP_00007833_LONG,LONG,7833,7834,E,2,0,1,2
OPP_00008313_SHORT,SHORT,8313,8314,E,2,1,1,3
