direction,outcome,net_R,location_score,direction_score,reaction_score,15m_state
LONG,LOSER,-3.0820512820489516,0,2,2,BULLISH
SHORT,LOSER,-2.3533333333323485,0,3,2,BEARISH
SHORT,LOSER,-2.9333333333333336,2,3,2,BEARISH
LONG,LOSER,-0.07777777777777795,1,4,3,BULLISH
LONG,LOSER,-4.007407407405786,2,4,1,BULLISH
LONG,LOSER,-4.266666666650256,2,3,2,BULLISH
SHORT,LOSER,-3.4606060606038906,1,3,2,BEARISH
LONG,LOSER,-1.1088888888842208,2,1,1,NEUTRAL
SHORT,WINNER,0.7537634408596685,2,4,2,BEARISH
LONG,LOSER,-2.8666666666654175,2,0,2,TRANSITION
SHORT,LOSER,-5.5111111111001705,0,3,2,BEARISH
LONG,LOSER,-3.165333333332493,1,3,2,BULLISH
SHORT,WINNER,0.49506172839362117,1,3,2,BEARISH
LONG,LOSER,-2.3203252032526573,0,4,2,BULLISH
SHORT,WINNER,0.49506172839362117,2,1,1,TRANSITION
LONG,LOSER,-1.312909441233088,2,3,2,BULLISH
SHORT,WINNER,1.9844444444444445,2,2,2,BEARISH
LONG,LOSER,-1.4401084010839762,0,3,3,BULLISH
LONG,LOSER,-1.5758865248227545,1,3,2,BULLISH
SHORT,WINNER,1.8631372549021061,1,4,1,BEARISH
LONG,WINNER,1.9744336569580772,2,4,2,BULLISH
LONG,LOSER,-5.164102564108779,2,2,2,TRANSITION
SHORT,LOSER,-7.014814814834265,2,3,0,BEARISH
SHORT,LOSER,-0.34912280701317977,3,4,0,BEARISH
LONG,WINNER,0.8595959595974063,2,3,3,BULLISH
SHORT,LOSER,-0.34912280701317977,1,3,1,BEARISH
LONG,LOSER,-2.4212121212077813,1,4,1,BULLISH
LONG,LOSER,-3.8491228070131798,3,2,1,NEUTRAL
SHORT,LOSER,-0.6843137254920131,3,3,0,BEARISH
LONG,WINNER,0.24444444444353275,2,1,2,NEUTRAL
SHORT,WINNER,0.039393939396109356,2,4,1,BEARISH
SHORT,WINNER,1.2970370370367776,1,4,2,BEARISH
SHORT,WINNER,0.8083333333338463,2,4,2,BEARISH
SHORT,LOSER,-2.0213836477985554,1,4,1,BEARISH
LONG,LOSER,-2.3533333333323485,1,1,2,TRANSITION
SHORT,LOSER,-0.6843137254920131,2,3,1,BEARISH
LONG,LOSER,-2.8666666666654175,1,3,2,BULLISH
SHORT,LOSER,-2.3533333333323485,2,1,2,BULLISH
LONG,WINNER,0.1463768115912245,2,3,2,BULLISH
SHORT,WINNER,1.2410852713183975,2,1,2,NEUTRAL
LONG,LOSER,-2.546666666666667,2,4,2,BULLISH
SHORT,WINNER,2.0562841530054294,2,2,1,NEUTRAL
LONG,WINNER,2.066933333333266,3,4,2,BULLISH
LONG,WINNER,1.7266666666666666,2,4,1,BULLISH
SHORT,LOSER,-1.8202020202021407,2,1,2,BULLISH
LONG,WINNER,1.550292397661142,1,3,1,BULLISH
SHORT,LOSER,-1.8079601990048582,1,1,2,TRANSITION
LONG,WINNER,1.3722222222217664,2,3,1,BULLISH
SHORT,LOSER,-1.9175141242939362,1,3,2,BEARISH
LONG,LOSER,-2.0213836477985554,1,3,2,BULLISH
SHORT,LOSER,-1.9842424242427714,1,3,2,BEARISH
LONG,LOSER,-1.7518518518521558,0,3,2,BULLISH
SHORT,LOSER,-2.127777777778234,1,4,2,BEARISH
SHORT,LOSER,-6.413333333338585,1,2,1,TRANSITION
LONG,LOSER,-5.5111111111001705,2,1,1,TRANSITION
SHORT,LOSER,-2.6404040404025935,2,1,2,NEUTRAL
LONG,LOSER,-2.8044444444461947,2,3,1,BULLISH
SHORT,LOSER,-4.608888888884221,1,2,2,NEUTRAL
LONG,LOSER,-4.007407407405786,2,3,1,BULLISH
LONG,LOSER,-5.5111111111001705,0,4,2,BULLISH
SHORT,LOSER,-2.913333333338585,1,3,1,BEARISH
LONG,LOSER,-7.014814814834265,1,3,1,BULLISH
SHORT,LOSER,-0.34912280701317977,1,4,1,BEARISH
LONG,LOSER,-5.233333333333333,2,2,0,NEUTRAL
LONG,LOSER,-4.383333333339488,2,3,1,BULLISH
SHORT,LOSER,-3.165333333332493,1,2,2,BEARISH
LONG,LOSER,-3.3536231884087755,2,2,1,NEUTRAL
SHORT,LOSER,-2.691666666666154,2,2,2,NEUTRAL
SHORT,LOSER,-0.8833333333394875,2,4,1,BEARISH
SHORT,LOSER,-4.866666666666667,1,4,1,BEARISH
SHORT,WINNER,0.6333333333345823,2,2,1,NEUTRAL
SHORT,LOSER,-2.2589147286816025,1,1,2,NEUTRAL
LONG,WINNER,2.2763085399449126,3,2,1,BULLISH
LONG,WINNER,1.9940809968845976,1,2,2,BULLISH
LONG,WINNER,1.6268817204298343,1,3,2,BULLISH
LONG,LOSER,-2.4245614035091356,0,4,2,BULLISH
SHORT,LOSER,-2.503703703702893,0,3,2,BEARISH
LONG,LOSER,-2.4212121212077813,2,4,2,BULLISH
SHORT,LOSER,-6.522222222251397,2,2,1,BEARISH
LONG,LOSER,-4.383333333339488,2,1,2,BULLISH
SHORT,LOSER,-0.5074074074057866,2,2,1,NEUTRAL
LONG,LOSER,-1.664102564108779,1,3,2,BULLISH
LONG,LOSER,-3.577777777777778,3,3,2,BULLISH
SHORT,LOSER,-6.522222222251397,3,3,0,BEARISH
LONG,LOSER,-4.007407407405786,1,1,2,NEUTRAL
SHORT,LOSER,-7.014814814834265,2,3,1,BEARISH
LONG,LOSER,-19.044444444502794,2,1,1,NEUTRAL
SHORT,LOSER,-4.266666666650256,2,2,1,TRANSITION
LONG,WINNER,0.5666666666666667,2,4,2,BULLISH
LONG,LOSER,-3.004938271606379,1,2,2,NEUTRAL
LONG,LOSER,-1.3666666666666667,2,2,1,BULLISH
LONG,LOSER,-1.8592592592592592,2,2,1,TRANSITION
LONG,WINNER,2.110551558752943,0,4,2,BULLISH
SHORT,WINNER,2.188888888888854,0,3,2,BEARISH
LONG,LOSER,-1.2666666666666666,1,2,2,NEUTRAL
SHORT,LOSER,-1.470724637681199,1,2,2,BEARISH
SHORT,LOSER,-1.4511111111110382,0,4,2,BEARISH
LONG,WINNER,1.9744336569580772,1,4,2,BULLISH
LONG,WINNER,2.0333333333333723,0,3,3,BULLISH
LONG,WINNER,1.6268817204298343,1,4,1,BULLISH
LONG,LOSER,-5.233333333333333,2,2,1,NEUTRAL
LONG,LOSER,-1.3666666666666667,2,2,1,BULLISH
SHORT,LOSER,-0.5074074074057866,2,3,1,BEARISH
LONG,LOSER,-5.5111111111001705,2,1,1,TRANSITION
SHORT,LOSER,-3.8491228070131798,2,2,1,BEARISH
LONG,LOSER,-0.07777777777777795,0,3,2,BULLISH
SHORT,LOSER,-5.164102564108779,1,2,3,BULLISH
SHORT,LOSER,-0.6843137254920131,1,4,2,BEARISH
SHORT,LOSER,-1.664102564108779,2,4,1,BEARISH
LONG,LOSER,-5.5111111111001705,1,4,2,BULLISH
SHORT,LOSER,-2.0111111111001705,1,1,2,NEUTRAL
LONG,LOSER,-4.184313725492013,1,2,2,NEUTRAL
SHORT,LOSER,-0.34912280701317977,2,2,1,BEARISH
LONG,LOSER,-2.0111111111001705,2,1,2,TRANSITION
SHORT,WINNER,0.6955555555538051,0,4,2,BEARISH
SHORT,LOSER,-3.2555555555564673,2,4,1,BEARISH
SHORT,LOSER,-1.7217777777774979,1,4,1,BEARISH
LONG,WINNER,2.1616666666666258,2,3,1,BULLISH
SHORT,WINNER,1.9476190476190476,1,3,2,BEARISH
SHORT,LOSER,-1.3222222222222222,2,4,2,BEARISH
LONG,LOSER,-1.5758865248227545,2,4,1,BULLISH
LONG,LOSER,-1.5359735973597874,2,3,2,BULLISH
LONG,LOSER,-1.582078853046777,1,4,2,BULLISH
LONG,WINNER,1.6671794871791143,2,3,2,BULLISH
SHORT,LOSER,-1.9842424242427714,1,2,2,BEARISH
LONG,LOSER,-2.0410256410258354,1,1,2,TRANSITION
SHORT,LOSER,-1.9666666666666668,2,3,1,BEARISH
LONG,WINNER,1.5824858757060638,1,3,2,BULLISH
LONG,WINNER,1.2410852713183975,2,3,1,BULLISH
SHORT,LOSER,-0.20666666666929245,0,1,3,NEUTRAL
LONG,LOSER,-4.608888888884221,3,4,0,BULLISH
LONG,LOSER,-4.608888888884221,1,4,2,BULLISH
SHORT,WINNER,0.24444444444353275,1,2,1,BEARISH
LONG,WINNER,0.5666666666666667,0,4,3,BULLISH
LONG,LOSER,-5.921212121207781,2,4,1,BULLISH
LONG,LOSER,-5.921212121207781,2,1,1,TRANSITION
SHORT,LOSER,-8.326666666603646,3,3,0,BEARISH
LONG,LOSER,-3.577777777777778,2,3,2,BULLISH
SHORT,LOSER,-4.184313725492013,1,3,1,BEARISH
SHORT,LOSER,-4.007407407405786,2,4,1,BEARISH
LONG,WINNER,0.8083333333338463,1,3,2,BULLISH
LONG,WINNER,0.4179487179510484,2,1,2,NEUTRAL
SHORT,LOSER,-0.8833333333394875,2,4,2,BEARISH
LONG,LOSER,-2.9333333333333336,0,3,2,BULLISH
LONG,LOSER,-4.383333333339488,1,3,1,BULLISH
LONG,WINNER,0.5666666666666667,2,3,2,BULLISH
SHORT,LOSER,-2.691666666666154,1,1,2,TRANSITION
LONG,LOSER,-1.2879432624113774,1,1,2,TRANSITION
SHORT,WINNER,2.045098039215686,2,4,1,BEARISH
LONG,LOSER,-1.660162601625782,1,1,3,NEUTRAL
SHORT,WINNER,1.4385620915026622,1,4,2,BEARISH
SHORT,LOSER,-1.9175141242939362,2,1,1,NEUTRAL
LONG,LOSER,-2.230303030303844,0,4,2,BULLISH
SHORT,LOSER,-1.5106918238992777,2,3,1,BEARISH
SHORT,WINNER,1.814767932489199,2,4,2,BEARISH
SHORT,WINNER,1.7969696969696969,2,4,2,BEARISH
SHORT,LOSER,-1.5307189542483155,1,3,2,BEARISH
LONG,WINNER,2.0526170798896994,1,2,2,BULLISH
SHORT,WINNER,0.49506172839362117,1,4,2,BEARISH
LONG,LOSER,-10.022222222251397,2,4,1,BULLISH
SHORT,WINNER,0.8083333333338463,2,2,1,BEARISH
LONG,LOSER,-1.3666666666666667,2,4,1,BULLISH
SHORT,WINNER,0.5666666666666667,1,3,2,BEARISH
LONG,LOSER,-2.5921568627460063,2,1,2,NEUTRAL
SHORT,LOSER,-2.8666666666654175,2,3,2,BEARISH
LONG,LOSER,-1.664102564108779,1,1,2,TRANSITION
SHORT,LOSER,-5.5111111111001705,2,2,1,BEARISH
LONG,LOSER,-2.0111111111001705,1,4,2,BULLISH
SHORT,LOSER,-3.577777777777778,1,2,2,TRANSITION
LONG,LOSER,-3.577777777777778,2,4,1,BULLISH
SHORT,LOSER,-2.2888888888888888,1,3,2,BEARISH
SHORT,LOSER,-3.577777777777778,2,1,1,NEUTRAL
LONG,WINNER,0.9533333333333334,1,2,2,NEUTRAL
LONG,LOSER,-3.7066666666692925,1,2,2,NEUTRAL
SHORT,LOSER,-2.7462365591403315,1,3,2,BEARISH
LONG,LOSER,-3.2555555555564673,2,4,2,BULLISH
SHORT,WINNER,2.1484848484848484,1,4,2,BEARISH
SHORT,WINNER,2.029275362318801,3,1,0,NEUTRAL
SHORT,WINNER,2.0526170798896994,2,4,3,BEARISH
LONG,WINNER,2.1187793427229265,2,4,2,BULLISH
SHORT,WINNER,2.025146198830288,1,3,2,BEARISH
LONG,LOSER,-2.002469135801929,1,4,2,BULLISH
LONG,LOSER,-1.6766666666667487,2,3,1,BULLISH
SHORT,WINNER,0.039393939396109356,2,2,1,BEARISH
LONG,LOSER,-7.014814814834265,2,2,1,TRANSITION
SHORT,LOSER,-4.866666666666667,2,4,1,BEARISH
LONG,WINNER,0.1463768115912245,2,2,1,BULLISH
LONG,LOSER,-0.8833333333394875,0,4,2,BULLISH
SHORT,LOSER,-4.007407407405786,3,3,1,BEARISH
LONG,LOSER,-1.3666666666666667,2,3,1,BULLISH
LONG,WINNER,0.8083333333338463,0,4,2,BULLISH
LONG,LOSER,-4.383333333339488,0,4,2,BULLISH
SHORT,LOSER,-4.383333333339488,2,4,2,BEARISH
SHORT,LOSER,-0.07777777777777795,2,3,1,BEARISH
LONG,LOSER,-0.20666666666929245,2,3,1,BULLISH
LONG,WINNER,1.4385620915026622,2,1,1,NEUTRAL
LONG,WINNER,2.136689038031249,1,4,2,BULLISH
LONG,LOSER,-1.5468013468012396,1,4,2,BULLISH
SHORT,LOSER,-1.5359735973597874,2,1,1,NEUTRAL
SHORT,LOSER,-1.8328205128208857,2,3,1,BEARISH
LONG,LOSER,-2.0213836477985554,2,1,1,NEUTRAL
LONG,LOSER,-1.784541062802153,2,4,2,BULLISH
LONG,LOSER,-2.9333333333333336,1,2,2,NEUTRAL
SHORT,LOSER,-1.664102564108779,1,3,2,BEARISH
SHORT,WINNER,0.5666666666666667,1,4,2,BEARISH
LONG,WINNER,0.3346666666675069,2,1,2,BEARISH
SHORT,WINNER,0.039393939396109356,1,4,1,BEARISH
LONG,LOSER,-3.3536231884087755,1,3,2,BULLISH
LONG,LOSER,-0.07777777777777795,2,3,2,BULLISH
SHORT,LOSER,-3.577777777777778,2,1,1,TRANSITION
LONG,LOSER,-3.8491228070131798,1,2,1,NEUTRAL
SHORT,WINNER,0.1463768115912245,2,4,2,BEARISH
SHORT,WINNER,0.49506172839362117,1,3,2,BEARISH
LONG,WINNER,0.9078431372539935,0,2,2,NEUTRAL
SHORT,LOSER,-2.230303030303844,1,4,2,BEARISH
LONG,LOSER,-2.463063063064214,1,1,2,NEUTRAL
SHORT,WINNER,2.1573839662447467,0,4,3,BEARISH
LONG,WINNER,2.183430799220255,2,3,1,BULLISH
LONG,WINNER,1.7969696969696969,1,4,1,BULLISH
LONG,WINNER,1.6407407407407408,1,2,2,TRANSITION
LONG,LOSER,-2.1517730496446767,3,3,1,BULLISH
SHORT,WINNER,1.6407407407407408,2,1,1,NEUTRAL
LONG,LOSER,-1.8202020202021407,2,1,2,NEUTRAL
SHORT,WINNER,1.550292397661142,2,4,1,BEARISH
SHORT,LOSER,-1.7122807017545678,0,4,2,BEARISH
LONG,LOSER,-2.3203252032526573,1,1,2,NEUTRAL
SHORT,WINNER,0.6333333333345823,2,4,1,BEARISH
SHORT,LOSER,-0.5074074074057866,2,4,1,BEARISH
LONG,LOSER,-2.0111111111001705,3,3,1,BULLISH
SHORT,LOSER,-7.766666666650256,3,3,0,BEARISH
LONG,WINNER,0.24444444444353275,1,2,1,BULLISH
LONG,LOSER,-3.2555555555564673,0,4,2,BULLISH
LONG,LOSER,-5.921212121207781,0,3,2,BULLISH
SHORT,LOSER,-4.608888888884221,1,2,2,BULLISH
LONG,LOSER,-0.20666666666929245,0,4,3,BULLISH
SHORT,LOSER,-2.9333333333333336,2,3,1,BEARISH
SHORT,WINNER,0.24444444444353275,2,2,2,BEARISH
LONG,LOSER,-3.7066666666692925,1,4,2,BULLISH
SHORT,LOSER,-2.546666666666667,3,4,2,BEARISH
LONG,WINNER,0.3346666666675069,2,3,1,BULLISH
SHORT,WINNER,0.7537634408596685,2,4,2,BEARISH
LONG,LOSER,-0.34912280701317977,0,2,2,NEUTRAL
LONG,LOSER,-0.6843137254920131,1,3,1,BULLISH
LONG,LOSER,-2.546666666666667,0,4,3,BULLISH
SHORT,WINNER,0.3346666666675069,1,1,2,NEUTRAL
LONG,LOSER,-0.07777777777777795,2,4,1,BULLISH
LONG,WINNER,1.5157575757572286,0,4,2,BULLISH
SHORT,LOSER,-1.4748538011697119,1,2,1,BEARISH
SHORT,LOSER,-1.4790560471975578,3,2,1,BEARISH
LONG,LOSER,-2.127777777778234,0,4,2,BULLISH
SHORT,WINNER,1.2970370370367776,2,3,2,BEARISH
