trade_id,system,opportunity_id,variant,direction,tag,signal_j,signal_m1_i,entry_i,entry_ts,entry_price,exit_i,exit_price,exit_reason,stop,target,atr,gross_R,cost_R,net_R,MFE_R,MAE_R,duration_min,delay_bars_1m,price_improvement_atr,entry_deterioration_atr,15m_state,15m_strength,location_score,direction_score,reaction_score,total_evidence
E-000091,E,OPP_00004744_LONG,E,LONG,TAKE,-1,4744,4745,2017-10-05 06:04:00-05:00,6007.75,4746,6008.21875,TARGET,6007.5625,6008.21875,0.25,2.5,3.8666666666666667,-1.3666666666666667,2.6666666666666665,0.0,1,1,0,0,BULLISH,1.5,2,2,1,5
E-000167,E,OPP_00008363_SHORT,E,SHORT,TAKE,-1,8363,8364,2017-10-09 23:44:00-05:00,6067.75,8367,6067.910714285715,STOP,6067.910714285715,6067.348214285715,0.21428571428571427,-1.0,4.5111111111001705,-5.5111111111001705,1.5555555555517828,1.5555555555517828,3,1,0,0,BEARISH,-1.0,2,2,1,5
E-000303,E,OPP_00016006_LONG,E,LONG,TAKE,-1,16006,16007,2017-10-17 17:46:00-05:00,6122.0,16008,6121.892857142857,STOP,6121.892857142857,6122.267857142857,0.14285714285714285,-1.0,6.766666666650256,-7.766666666650256,0.0,2.3333333333276745,1,1,0,0,BULLISH,1.5,2,3,0,5
E-000965,E,OPP_00049738_SHORT,E,SHORT,TAKE,-1,49738,49739,2017-11-21 15:14:00-06:00,6380.0,49740,6378.024553571428,TARGET,6380.790178571428,6378.024553571428,1.0535714285714286,2.5,0.9175141242939362,1.5824858757060638,2.847457627119112,0.0,1,1,0,0,NEUTRAL,0.5,2,1,2,5
E-001041,E,OPP_00053900_LONG,E,LONG,TAKE,-1,53900,53901,2017-11-27 02:22:00-06:00,6409.75,53902,6412.026785714285,TARGET,6408.839285714285,6412.026785714285,1.2142857142857142,2.5,0.7960784313722084,1.7039215686277918,3.5686274509788647,0.0,1,1,0,0,BULLISH,2.0,2,4,2,8
E-001048,E,OPP_00054276_LONG,E,LONG,TAKE,-1,54276,54277,2017-11-27 08:40:00-06:00,6410.5,54283,6416.258928571428,TARGET,6408.196428571428,6416.258928571428,3.0714285714285716,2.5,0.3147286821705249,2.185271317829475,2.604651162790551,0.0,6,1,0,0,BULLISH,2.0,2,3,2,7
E-001074,E,OPP_00055688_LONG,E,LONG,TAKE,-1,55688,55689,2017-11-28 09:31:00-06:00,6417.0,55699,6420.448660714285,TARGET,6415.620535714285,6420.448660714285,1.8392857142857142,2.5,0.5255663430419227,1.9744336569580772,2.7184466019409794,0.5436893203881958,10,1,0,0,NEUTRAL,-0.5,2,1,3,6
E-001094,E,OPP_00056589_LONG,E,LONG,TAKE,-1,56589,56590,2017-11-29 02:06:00-06:00,6423.5,56595,6422.65625,STOP,6422.65625,6425.609375,1.125,-1.0,0.8592592592592593,-1.8592592592592592,0.5925925925925926,1.1851851851851851,5,1,0,0,BEARISH,-1.0,3,2,2,6
E-001425,E,OPP_00072775_LONG,E,LONG,TAKE,-1,72775,72776,2017-12-15 00:35:00-06:00,6416.5,72782,6417.303571428572,TARGET,6416.178571428572,6417.303571428572,0.42857142857142855,2.5,2.2555555555564673,0.24444444444353275,3.111111111112369,0.0,6,1,0,0,BULLISH,1.5,2,3,1,6
E-001889,E,OPP_00097269_SHORT,E,SHORT,TAKE,-1,97269,97270,2018-01-12 06:07:00-06:00,6733.75,97280,6734.258928571428,STOP,6734.258928571428,6732.477678571428,0.6785714285714286,-1.0,1.4245614035091356,-2.4245614035091356,1.473684210526692,1.473684210526692,10,1,0,0,BEARISH,-1.0,2,3,1,6
E-002319,E,OPP_00118582_LONG,E,LONG,TAKE,-1,118582,118583,2018-02-05 01:42:00-06:00,6758.5,118584,6756.263392857143,STOP,6756.263392857143,6764.091517857143,2.982142857142857,-1.0,0.3241516966068241,-1.324151696606824,0.0,1.6766467065870212,1,1,0,0,BULLISH,2.0,2,2,3,7
E-002398,E,OPP_00122408_SHORT,E,SHORT,TAKE,-1,122408,122409,2018-02-07 21:13:00-06:00,6553.0,122413,6546.738839285715,TARGET,6555.504464285715,6546.738839285715,3.3392857142857144,2.5,0.2894830659536091,2.210516934046391,2.6951871657749815,0.19964349376110974,4,1,0,0,TRANSITION,0.0,1,2,2,5
E-002818,E,OPP_00143319_SHORT,E,SHORT,TAKE,-1,143319,143320,2018-03-01 08:34:00-06:00,6875.5,143321,6863.881696428572,TARGET,6880.147321428572,6863.881696428572,6.196428571428571,2.5,0.1560038424591695,2.3439961575408303,2.8511047070124085,0.9145052833813385,1,1,0,0,BEARISH,-1.5,1,2,3,5
E-003309,E,OPP_00169867_SHORT,E,SHORT,TAKE,-1,169867,169868,2018-03-28 20:35:00-05:00,6495.75,169870,6490.727678571428,TARGET,6497.758928571428,6490.727678571428,2.6785714285714284,2.5,0.36088888888891224,2.1391111111110876,2.737777777777955,0.0,2,1,0,0,BEARISH,-2.0,1,4,2,7
E-003576,E,OPP_00184055_LONG,E,LONG,TAKE,-1,184055,184056,2018-04-13 05:38:00-05:00,6668.75,184061,6671.294642857143,TARGET,6667.732142857143,6671.294642857143,1.3571428571428572,2.5,0.7122807017545678,1.7877192982454322,2.701754385965602,0.0,5,1,0,0,BULLISH,2.0,2,4,2,8
E-003614,E,OPP_00186198_SHORT,E,SHORT,TAKE,-1,186198,186199,2018-04-16 19:51:00-05:00,6718.0,186201,6719.205357142857,STOP,6719.205357142857,6714.986607142857,1.6071428571428572,-1.0,0.6014814814816112,-1.6014814814816112,0.20740740740745212,1.4518518518521648,2,1,0,0,NEUTRAL,0.5,2,1,1,4
E-004502,E,OPP_00233064_LONG,E,LONG,TAKE,-1,233064,233065,2018-06-04 10:20:00-05:00,7121.75,233068,7118.977678571428,STOP,7118.977678571428,7128.680803571428,3.6964285714285716,-1.0,0.26151368760063187,-1.2615136876006319,1.2624798711754641,1.5330112721416351,3,1,0,0,BULLISH,2.0,2,4,2,8
E-004667,E,OPP_00240556_LONG,E,LONG,TAKE,-1,240556,240557,2018-06-11 23:23:00-05:00,7197.0,240558,7196.584821428572,STOP,7196.584821428572,7198.037946428572,0.5535714285714286,-1.0,1.7462365591403315,-2.7462365591403315,0.0,4.817204301076776,1,1,0,0,NEUTRAL,-0.5,2,1,2,5
E-004704,E,OPP_00241998_LONG,E,LONG,TAKE,-1,241998,241999,2018-06-13 00:42:00-05:00,7248.5,242006,7248.178571428572,STOP,7248.178571428572,7249.303571428572,0.42857142857142855,-1.0,2.2555555555564673,-3.2555555555564673,1.5555555555561844,1.5555555555561844,7,1,0,0,TRANSITION,0.0,2,0,3,4
E-005230,E,OPP_00267573_SHORT,E,SHORT,TAKE,-1,267573,267574,2018-07-10 02:06:00-05:00,7317.25,267579,7313.734375,TARGET,7318.65625,7313.734375,1.875,2.5,0.5155555555555555,1.9844444444444445,2.6666666666666665,0.5333333333333333,5,1,0,0,TRANSITION,0.0,2,1,1,4
E-005404,E,OPP_00276418_LONG,E,LONG,TAKE,-1,276418,276419,2018-07-18 12:57:00-05:00,7405.25,276420,7408.832589285715,TARGET,7403.816964285715,7408.832589285715,1.9107142857142858,2.5,0.5059190031154024,1.9940809968845976,2.7912772585677375,0.0,1,1,0,0,NEUTRAL,-0.5,2,2,2,6
E-005792,E,OPP_00294916_LONG,E,LONG,TAKE,-1,294916,294917,2018-08-07 02:52:00-05:00,7468.25,294918,7467.540178571428,STOP,7467.540178571428,7470.024553571428,0.9464285714285714,-1.0,1.0213836477985552,-2.0213836477985554,0.0,1.7610062893078537,1,1,0,0,TRANSITION,0.0,2,1,1,4
