confidence_band,location,direction_good_count,direction_bad_count,direction_good_TotalR,direction_bad_TotalR
VERY_HIGH,GOOD,6523,6362,13906.160097194297,-8924.264507798685
VERY_HIGH,WEAK,9931,11792,21318.67713131594,-16134.53795921439
HIGH,GOOD,4026,6264,8644.915694577703,-8692.175040041522
HIGH,WEAK,2998,6036,6458.72049609959,-8173.98000643473
MEDIUM,GOOD,980,1033,2110.34053092087,-1429.548436244606
MEDIUM,WEAK,667,712,1422.700965987389,-1002.7480235131036
LOW,GOOD,1149,1202,2491.7083989561406,-1605.6700293767071
LOW,WEAK,396,417,866.3968835955,-568.5099849191611
VERY_LOW,GOOD,508,660,1079.0009412994941,-898.3132488276253
VERY_LOW,WEAK,144,153,306.91205870584326,-220.62044439704624
