trade_id,canonical_entry_time,unix_ms,unix_ms_correct,entry_price_csv,entry_open_raw,entry_parity,m0_exit_csv,m0_exit_reconstructed,m0_exit_time_csv,m0_exit_time_reconstructed,m0_outcome_parity,m1_exit_csv,m1_exit_reconstructed,m1_exit_time_csv,m1_exit_time_reconstructed,m1_outcome_parity,corrected_pine_entry_time,tradingview_chart_time_chicago,tradingview_chart_time_ny
LW-063138,2026-08-26T13:41:00-05:00,1787769660000,True,29293.25,29293.25,True,STOP,STOP,2026-08-26T13:43:00-05:00,2026-08-26 13:43:00-05:00,True,TARGET,TARGET,2026-08-26T13:45:00-05:00,2026-08-26 13:45:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 26, 13, 41)",13:41,14:41
LW-063184,2026-08-28T03:31:00-05:00,1787905860000,True,29610.25,29610.25,True,TARGET,TARGET,2026-08-28T03:33:00-05:00,2026-08-28 03:33:00-05:00,True,TARGET,TARGET,2026-08-28T03:34:00-05:00,2026-08-28 03:34:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 3, 31)",03:31,04:31
LW-063187,2026-08-28T04:59:00-05:00,1787911140000,True,29606.0,29606.0,True,TARGET,TARGET,2026-08-28T05:07:00-05:00,2026-08-28 05:07:00-05:00,True,STOP,STOP,2026-08-28T05:22:00-05:00,2026-08-28 05:22:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 4, 59)",04:59,05:59
LW-063188,2026-08-28T05:28:00-05:00,1787912880000,True,29611.0,29611.0,True,TARGET,TARGET,2026-08-28T05:31:00-05:00,2026-08-28 05:31:00-05:00,True,TARGET,TARGET,2026-08-28T05:31:00-05:00,2026-08-28 05:31:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 5, 28)",05:28,06:28
LW-063190,2026-08-28T06:55:00-05:00,1787918100000,True,29611.75,29611.75,True,TARGET,TARGET,2026-08-28T06:57:00-05:00,2026-08-28 06:57:00-05:00,True,STOP,STOP,2026-08-28T07:05:00-05:00,2026-08-28 07:05:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 6, 55)",06:55,07:55
LW-063191,2026-08-28T07:10:00-05:00,1787919000000,True,29627.5,29627.5,True,STOP,STOP,2026-08-28T07:11:00-05:00,2026-08-28 07:11:00-05:00,True,STOP,STOP,2026-08-28T07:11:00-05:00,2026-08-28 07:11:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 7, 10)",07:10,08:10
LW-063192,2026-08-28T08:39:00-05:00,1787924340000,True,29648.5,29648.5,True,TARGET,TARGET,2026-08-28T08:41:00-05:00,2026-08-28 08:41:00-05:00,True,STOP,STOP,2026-08-28T09:00:00-05:00,2026-08-28 09:00:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 8, 39)",08:39,09:39
LW-063193,2026-08-28T09:25:00-05:00,1787927100000,True,29643.5,29643.5,True,STOP,STOP,2026-08-28T09:26:00-05:00,2026-08-28 09:26:00-05:00,True,STOP,STOP,2026-08-28T09:26:00-05:00,2026-08-28 09:26:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 9, 25)",09:25,10:25
LW-063194,2026-08-28T10:39:00-05:00,1787931540000,True,29732.75,29732.75,True,TARGET,TARGET,2026-08-28T10:40:00-05:00,2026-08-28 10:40:00-05:00,True,TARGET,TARGET,2026-08-28T10:40:00-05:00,2026-08-28 10:40:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 10, 39)",10:39,11:39
LW-063195,2026-08-28T11:57:00-05:00,1787936220000,True,29506.25,29506.25,True,STOP,STOP,2026-08-28T11:58:00-05:00,2026-08-28 11:58:00-05:00,True,TARGET,TARGET,2026-08-28T12:00:00-05:00,2026-08-28 12:00:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 11, 57)",11:57,12:57
LW-063196,2026-08-28T13:15:00-05:00,1787940900000,True,29489.25,29489.25,True,STOP,STOP,2026-08-28T13:16:00-05:00,2026-08-28 13:16:00-05:00,True,STOP,STOP,2026-08-28T13:16:00-05:00,2026-08-28 13:16:00-05:00,True,"timestamp(""America/Chicago"", 2026, 8, 28, 13, 15)",13:15,14:15
