bucket,trade_id,m0_p58_gross,m0_ind_gross,m1_p58_gross,m1_ind_gross,m0_match,m1_match
m0_winner,E-056117,2.5,2.5,2.5,2.5,True,True
m0_winner,E-023583,2.5,2.5,2.5,2.5,True,True
m0_winner,E-008793,2.5,2.5,2.5,2.5,True,True
m0_winner,E-038341,2.5,2.5,2.5,2.5,True,True
m0_winner,E-054544,2.5,2.5,2.5,2.5,True,True
m0_winner,E-013145,2.5,2.5,2.5,2.5,True,True
m0_winner,E-039924,2.5,2.5,2.5,2.5,True,True
m0_winner,E-033342,2.5,2.5,2.5,2.5,True,True
m0_winner,E-059043,2.5,2.5,-1.0,-1.0,True,True
m0_winner,E-031777,2.5,2.5,2.5,2.5,True,True
m0_winner,E-035394,2.5,2.5,2.5,2.5,True,True
m0_winner,E-039536,2.5,2.5,2.5,2.5,True,True
m0_winner,E-036590,2.5,2.5,2.5,2.5,True,True
m0_winner,E-019431,2.5,2.5,2.5,2.5,True,True
m0_winner,E-057451,2.5,2.5,2.5,2.5,True,True
m0_winner,E-008943,2.5,2.5,2.5,2.5,True,True
m0_winner,E-048215,2.5,2.5,2.5,2.5,True,True
m0_winner,E-018085,2.5,2.5,2.5,2.5,True,True
m0_winner,E-060803,2.5,2.5,2.5,2.5,True,True
m0_winner,E-019214,2.5,2.5,2.5,2.5,True,True
m0_winner,E-015280,2.5,2.5,-1.0,-1.0,True,True
m0_winner,E-060234,2.5,2.5,2.5,2.5,True,True
m0_winner,E-052523,2.5,2.5,2.5,2.5,True,True
m0_winner,E-032884,2.5,2.5,2.5,2.5,True,True
m0_winner,E-016945,2.5,2.5,2.5,2.5,True,True
m0_loser,E-052061,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-005287,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-009807,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-024211,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-057220,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-048765,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-059984,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-052299,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-053147,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-009298,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-013469,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-026579,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-046494,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-028489,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-012721,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-002064,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-046195,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-048526,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-037072,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-052618,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-016631,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-023946,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-022294,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-026839,-1.0,-1.0,-1.0,-1.0,True,True
m0_loser,E-008348,-1.0,-1.0,-1.0,-1.0,True,True
m1_winner,E-016503,2.5,2.5,2.5,2.5,True,True
m1_winner,E-052371,-1.0,-1.0,2.5,2.5,True,True
m1_winner,E-004256,-1.0,-1.0,2.5,2.5,True,True
m1_winner,E-049725,2.5,2.5,2.5,2.5,True,True
m1_winner,E-009208,-1.0,-1.0,2.5,2.5,True,True
m1_winner,E-044813,2.5,2.5,2.5,2.5,True,True
m1_winner,E-013612,2.5,2.5,1.2645161290323768,1.2645161290322582,True,True
m1_winner,E-050001,2.5,2.5,2.5,2.5,True,True
m1_winner,E-058344,2.5,2.5,2.5,2.5,True,True
m1_winner,E-059638,2.5,2.5,2.5,2.5,True,True
m1_winner,E-032783,-1.0,-1.0,2.5,2.5,True,True
m1_winner,E-004301,2.5,2.5,2.5,2.5,True,True
m1_winner,E-061294,-1.0,-1.0,2.5,2.5,True,True
m1_winner,E-013405,2.5,2.5,2.5,2.5,True,True
m1_winner,E-008121,2.5,2.5,2.5,2.5,True,True
m1_winner,E-028821,-1.0,-1.0,2.5,2.5,True,True
m1_winner,E-061925,2.5,2.5,2.5,2.5,True,True
m1_winner,E-019029,2.5,2.5,2.5,2.5,True,True
m1_winner,E-007457,2.5,2.5,2.5,2.5,True,True
m1_winner,E-058213,2.5,2.5,2.5,2.5,True,True
m1_winner,E-050545,2.5,2.5,2.5,2.5,True,True
m1_winner,E-058641,2.5,2.5,2.5,2.5,True,True
m1_winner,E-033786,-1.0,-1.0,2.5,2.5,True,True
m1_winner,E-055145,-1.0,-1.0,2.5,2.5,True,True
m1_winner,E-057135,-1.0,-1.0,1.82113821138197,1.8211382113821137,True,True
m1_loser,E-019584,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-047450,2.5,2.5,-1.0,-1.0,True,True
m1_loser,E-020413,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-037668,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-005278,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-032078,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-048916,2.5,2.5,-1.0,-1.0,True,True
m1_loser,E-021874,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-027500,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-029312,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-051076,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-024957,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-025142,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-046653,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-019108,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-045371,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-040542,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-038369,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-047842,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-048914,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-011777,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-043543,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-008980,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-061553,-1.0,-1.0,-1.0,-1.0,True,True
m1_loser,E-052891,-1.0,-1.0,-1.0,-1.0,True,True
changed,E-061363,-1.0,-1.0,2.5,2.5,True,True
changed,E-052746,2.5,2.5,-1.0,-1.0,True,True
changed,E-026093,2.5,2.5,-1.0,-1.0,True,True
changed,E-044340,2.5,2.5,-1.0,-1.0,True,True
changed,E-039834,2.5,2.5,-1.0,-1.0,True,True
changed,E-029706,-1.0,-1.0,2.5,2.5,True,True
changed,E-049321,2.5,2.5,-1.0,-1.0,True,True
changed,E-008379,-1.0,-1.0,2.5,2.5,True,True
changed,E-058520,2.5,2.5,-1.0,-1.0,True,True
changed,E-015764,-1.0,-1.0,2.5,2.5,True,True
changed,E-010742,2.5,2.5,-1.0,-1.0,True,True
changed,E-057285,2.5,2.5,-1.0,-1.0,True,True
changed,E-048621,2.5,2.5,-1.0,-1.0,True,True
changed,E-042043,-1.0,-1.0,2.5,2.5,True,True
changed,E-020501,2.5,2.5,-1.0,-1.0,True,True
changed,E-004168,-1.0,-1.0,2.5,2.5,True,True
changed,E-030809,-1.0,-1.0,2.5,2.5,True,True
changed,E-061123,-1.0,-1.0,2.5,2.5,True,True
changed,E-012906,-1.0,-1.0,2.5,2.5,True,True
changed,E-042872,-1.0,-1.0,2.5,2.5,True,True
changed,E-026921,-1.0,-1.0,2.5,2.5,True,True
changed,E-001074,2.5,2.5,-1.0,-1.0,True,True
changed,E-028285,-1.0,-1.0,2.5,2.5,True,True
changed,E-004129,-1.0,-1.0,2.5,2.5,True,True
changed,E-029452,-1.0,-1.0,2.5,2.5,True,True
