trade_id,entry_i,expected_first_bar,expected_deadline_bar
E-017712,898739,898740,898799
E-018975,964713,964714,964773
E-015711,798457,798458,798517
E-005016,256551,256552,256611
E-006395,325908,325909,325968
E-039207,1962072,1962073,1962132
E-019210,977357,977358,977417
E-057770,2871215,2871216,2871275
E-047420,2367014,2367015,2367074
E-058745,2915793,2915794,2915853
E-048843,2436768,2436769,2436828
E-017722,899355,899356,899415
E-031907,1602691,1602692,1602751
E-031144,1561514,1561515,1561574
E-041778,2092578,2092579,2092638
E-035778,1791816,1791817,1791876
E-054018,2689662,2689663,2689722
E-004294,223322,223323,223382
E-051122,2546579,2546580,2546639
E-055531,2762505,2762506,2762565
E-056297,2799619,2799620,2799679
E-034220,1716316,1716317,1716376
E-030433,1526547,1526548,1526607
E-060915,3022580,3022581,3022640
E-002002,103467,103468,103527
E-039541,1977789,1977790,1977849
E-043410,2172997,2172998,2173057
E-047928,2393005,2393006,2393065
E-052993,2640574,2640575,2640634
E-009841,500506,500507,500566
E-006469,328756,328757,328816
E-020326,1033579,1033580,1033639
E-057504,2859055,2859056,2859115
E-022658,1148921,1148922,1148981
E-049286,2460654,2460655,2460714
E-046347,2313635,2313636,2313695
E-002651,134230,134231,134290
E-030260,1517687,1517688,1517747
E-006867,347554,347555,347614
E-033883,1698811,1698812,1698871
E-041431,2075747,2075748,2075807
E-023309,1180513,1180514,1180573
E-058199,2890986,2890987,2891046
E-050772,2530854,2530855,2530914
E-006321,321342,321343,321402
E-010829,552532,552533,552592
E-049846,2488213,2488214,2488273
E-048031,2397831,2397832,2397891
E-054666,2720596,2720597,2720656
E-014291,725366,725367,725426
E-013854,702721,702722,702781
E-043594,2180795,2180796,2180855
E-058811,2918757,2918758,2918817
E-019100,971704,971705,971764
E-027346,1375848,1375849,1375908
E-056244,2796999,2797000,2797059
E-029110,1461631,1461632,1461691
E-045951,2293160,2293161,2293220
E-019942,1013002,1013003,1013062
E-044843,2241251,2241252,2241311
E-015379,779888,779889,779948
E-026617,1341462,1341463,1341522
E-028224,1417877,1417878,1417937
E-027177,1368944,1368945,1369004
E-029741,1492786,1492787,1492846
E-058307,2895960,2895961,2896020
E-024998,1263439,1263440,1263499
E-056039,2786170,2786171,2786230
E-040343,2019166,2019167,2019226
E-005136,262512,262513,262572
E-019003,966019,966020,966079
E-037341,1867349,1867350,1867409
E-029483,1480400,1480401,1480460
E-007346,373596,373597,373656
E-052979,2639906,2639907,2639966
E-047369,2364459,2364460,2364519
E-061550,3053961,3053962,3054021
E-052342,2608605,2608606,2608665
E-003761,195130,195131,195190
E-033534,1683748,1683749,1683808
E-024716,1250307,1250308,1250367
E-053157,2648981,2648982,2649041
E-055137,2743408,2743409,2743468
E-043122,2158780,2158781,2158840
E-016189,821848,821849,821908
E-040606,2033328,2033329,2033388
E-038849,1944260,1944261,1944320
E-059490,2952444,2952445,2952504
E-050530,2519704,2519705,2519764
E-002216,113910,113911,113970
E-006218,316281,316282,316341
E-000823,42913,42914,42973
E-044222,2210533,2210534,2210593
E-059000,2928350,2928351,2928410
E-020076,1019266,1019267,1019326
E-002548,129448,129449,129508
E-045853,2288684,2288685,2288744
E-012508,634617,634618,634677
E-040521,2028822,2028823,2028882
E-023081,1169432,1169433,1169492
