review_group,review_number,trade_id,opportunity_id,instrument,direction,entry_price,atr_at_entry,m0_stop_price,m0_target_price,m0_exit_reason,m0_exit_time,m0_net_r,m1_stop_price,m1_target_price,m1_exit_reason,m1_exit_time,m1_net_r,delta_r,phase58d_decision,p4_status,h1_status,15m_context,5m_context,visual_diagnostic_label,review_status,entry_time,entry_time_utc,entry_time_exchange,exchange_timezone,unix_ms,tradingview_jump_time,date
A — M0 STOP → M1 TARGET,1,LW-063138,OPP_03134046_LONG,NQ,LONG,29293.25,6.678571428571429,29288.241071428572,29305.772321428572,STOP,2026-08-26T13:43:00-05:00,-1.144741532976857,29286.571428571428,29309.946428571428,TARGET,2026-08-26T13:45:00-05:00,2.4999752446269867,3.644716777603844,TAKE,KEEP,KEEP,BULLISH,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-26T13:41:00-05:00,2026-08-26T18:41:00+00:00,2026-08-26 13:41:00,America/Chicago,1787769660000,2026-08-26 13:41:00 America/Chicago,2026-08-26
C — Normal M1 winner,2,LW-063184,OPP_03136196_LONG,NQ,LONG,29610.25,8.267857142857142,29604.04910714286,29625.75223214286,TARGET,2026-08-28T03:33:00-05:00,2.3830813534916913,29601.98214285714,29630.91964285714,TARGET,2026-08-28T03:34:00-05:00,2.4999755083968194,0.11689415490512811,TAKE,KEEP,KEEP,BULLISH,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-28T03:31:00-05:00,2026-08-28T08:31:00+00:00,2026-08-28 03:31:00,America/Chicago,1787905860000,2026-08-28 03:31:00 America/Chicago,2026-08-28
B — M1 worse than M0,3,LW-063187,OPP_03136284_SHORT,NQ,SHORT,29606.0,5.232142857142857,29609.92410714286,29596.18973214286,TARGET,2026-08-28T05:07:00-05:00,2.3152445961320414,29611.23214285714,29592.91964285714,STOP,2026-08-28T05:22:00-05:00,-1.0000244926078776,-3.315269088739919,TAKE,KEEP,KEEP,BEARISH,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-28T04:59:00-05:00,2026-08-28T09:59:00+00:00,2026-08-28 04:59:00,America/Chicago,1787911140000,2026-08-28 04:59:00 America/Chicago,2026-08-28
C — Normal M1 winner,4,LW-063188,OPP_03136313_LONG,NQ,LONG,29611.0,4.660714285714286,29607.504464285714,29619.738839285714,TARGET,2026-08-28T05:31:00-05:00,2.2925925925926234,29606.339285714286,29622.651785714286,TARGET,2026-08-28T05:31:00-05:00,2.4999755120012304,0.20738291940860698,TAKE,KEEP,KEEP,BULLISH,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-28T05:28:00-05:00,2026-08-28T10:28:00+00:00,2026-08-28 05:28:00,America/Chicago,1787912880000,2026-08-28 05:28:00 America/Chicago,2026-08-28
B — M1 worse than M0,5,LW-063190,OPP_03136400_SHORT,NQ,SHORT,29611.75,6.267857142857143,29616.45089285714,29599.99776785714,TARGET,2026-08-28T06:57:00-05:00,2.3457739791072614,29618.01785714286,29596.08035714286,STOP,2026-08-28T07:05:00-05:00,-1.0000244887077503,-3.345798467815012,TAKE,KEEP,KEEP,BEARISH,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-28T06:55:00-05:00,2026-08-28T11:55:00+00:00,2026-08-28 06:55:00,America/Chicago,1787918100000,2026-08-28 06:55:00 America/Chicago,2026-08-28
D — M1 loser,6,LW-063191,OPP_03136415_LONG,NQ,LONG,29627.5,6.553571428571429,29622.584821428572,29639.787946428572,STOP,2026-08-28T07:11:00-05:00,-1.1475022706630649,29620.946428571428,29643.883928571428,STOP,2026-08-28T07:11:00-05:00,-1.0000244759228658,0.14747779474019906,TAKE,KEEP,KEEP,BULLISH,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-28T07:10:00-05:00,2026-08-28T12:10:00+00:00,2026-08-28 07:10:00,America/Chicago,1787919000000,2026-08-28 07:10:00 America/Chicago,2026-08-28
B — M1 worse than M0,7,LW-063192,OPP_03136504_LONG,NQ,LONG,29648.5,25.964285714285715,29629.026785714286,29697.183035714286,TARGET,2026-08-28T08:41:00-05:00,2.4627693718477754,29622.535714285714,29713.410714285714,STOP,2026-08-28T09:00:00-05:00,-1.0000244746097022,-3.462793846457478,TAKE,KEEP,KEEP,BULLISH,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-28T08:39:00-05:00,2026-08-28T13:39:00+00:00,2026-08-28 08:39:00,America/Chicago,1787924340000,2026-08-28 08:39:00 America/Chicago,2026-08-28
D — M1 loser,8,LW-063193,OPP_03136550_LONG,NQ,LONG,29643.5,32.892857142857146,29618.83035714286,29705.17410714286,STOP,2026-08-28T09:26:00-05:00,-1.0293883460007258,29610.60714285714,29725.73214285714,STOP,2026-08-28T09:26:00-05:00,-1.0000244844692479,0.029363861531477964,TAKE,KEEP,KEEP,TRANSITION,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-28T09:25:00-05:00,2026-08-28T14:25:00+00:00,2026-08-28 09:25:00,America/Chicago,1787927100000,2026-08-28 09:25:00 America/Chicago,2026-08-28
C — Normal M1 winner,9,LW-063194,OPP_03136624_SHORT,NQ,SHORT,29732.75,13.160714285714286,29742.620535714286,29708.073660714286,TARGET,2026-08-28T10:40:00-05:00,2.4265490728177332,29745.910714285714,29699.848214285714,TARGET,2026-08-28T10:40:00-05:00,2.4999756053156377,0.07342653249790443,TAKE,KEEP,KEEP,BEARISH,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-28T10:39:00-05:00,2026-08-28T15:39:00+00:00,2026-08-28 10:39:00,America/Chicago,1787931540000,2026-08-28 10:39:00 America/Chicago,2026-08-28
A — M0 STOP → M1 TARGET,10,LW-063195,OPP_03136702_SHORT,NQ,SHORT,29506.25,19.660714285714285,29520.995535714286,29469.386160714286,STOP,2026-08-28T11:58:00-05:00,-1.049167423554343,29525.910714285714,29457.098214285714,TARGET,2026-08-28T12:00:00-05:00,2.4999754125513474,3.5491428361056903,TAKE,KEEP,KEEP,TRANSITION,,VISUAL_DIAGNOSTIC_ONLY,NOT_REVIEWED,2026-08-28T11:57:00-05:00,2026-08-28T16:57:00+00:00,2026-08-28 11:57:00,America/Chicago,1787936220000,2026-08-28 11:57:00 America/Chicago,2026-08-28
