trade_id,transition,m0_r,m1_r,delta_r,direction,entry_price,stop_m0,target_m0,exit_i_m0,net_R_m0,stop_m1,target_m1,exit_i_m1,net_R_m1
E-023664,M0_STOP_M1_TARGET,-1.1230303030303084,2.499943242502698,3.6229735455330063,LONG,12781.5,12775.607142857143,12796.232142857143,1198701,-1.1230303030303084,12773.642857142857,12801.142857142857,1198720,2.499943242502698
E-031564,M0_STOP_M1_TARGET,-1.2074074074073766,2.499950162707712,3.7073575701150885,SHORT,14552.0,14555.495535714286,14543.261160714286,1582636,-1.2074074074073766,14556.660714285714,14540.348214285714,1582644,2.499950162707712
E-052373,M0_STOP_M1_TARGET,-1.039513381995135,2.499964353820814,3.539477735815949,LONG,20363.25,20344.901785714286,20409.120535714286,2609738,-1.039513381995135,20338.785714285714,20424.410714285714,2609742,2.499964353820814
E-015485,M0_STOP_M1_TARGET,-2.0024691358031896,2.4999185304988902,4.50238766630208,LONG,8900.0,8899.276785714286,8901.808035714286,786126,-2.0024691358031896,8899.035714285714,8902.410714285714,786127,2.4999185304988902
E-048803,M0_STOP_M1_TARGET,-1.10350541746336,2.499961766968733,3.603467184432093,SHORT,18972.0,18979.004464285714,18954.488839285714,2434998,-1.10350541746336,18981.339285714286,18948.651785714286,2434999,2.499961766968733
E-013723,M0_STOP_M1_TARGET,-1.3980392156863028,2.4999066331833943,3.897945848869697,SHORT,7767.5,7769.321428571428,7762.946428571428,696564,-1.3980392156863028,7769.928571428572,7761.428571428572,696569,2.4999066331833943
E-005049,M0_STOP_M1_TARGET,-1.4833333333333334,2.499897290596777,3.9832306239301105,SHORT,7060.75,7062.25,7057.0,258055,-1.4833333333333334,7062.75,7055.75,258070,2.499897290596777
E-033914,M0_STOP_M1_TARGET,-1.072564789991069,2.499944993158016,3.5725097831490853,SHORT,13193.5,13203.49107142857,13168.52232142857,1700166,-1.072564789991069,13206.82142857143,13160.19642857143,1700169,2.499944993158016
E-045429,M0_STOP_M1_TARGET,-1.240592592592717,2.4999603683981904,3.7405529609909074,SHORT,18297.5,18300.51339285714,18289.96651785714,2268690,-1.240592592592717,18301.51785714286,18287.45535714286,2268694,2.4999603683981904
E-020643,M0_STOP_M1_TARGET,-1.3041198501871665,2.4999366096465754,3.804056459833742,LONG,11440.25,11437.86607142857,11446.20982142857,1050573,-1.3041198501871665,11437.07142857143,11448.19642857143,1050577,2.4999366096465754
E-015835,M0_STOP_M1_TARGET,-1.3470085470084607,2.499921447228403,3.8469299942368638,LONG,9232.25,9230.160714285714,9237.473214285714,804692,-1.3470085470084607,9229.464285714286,9239.214285714286,804708,2.499921447228403
E-025842,M0_STOP_M1_TARGET,-1.4262467191600399,2.4999495607687137,3.9261962799287535,LONG,14376.0,14374.299107142857,14380.252232142857,1303203,-1.4262467191600399,14373.732142857143,14381.669642857143,1303217,2.4999495607687137
E-050423,M0_STOP_M1_TARGET,-1.1241590214067168,2.4999652114901476,3.6241242328968646,LONG,20848.0,20842.160714285714,20862.598214285714,2514937,-1.1241590214067168,20840.214285714286,20867.464285714286,2514938,2.4999652114901476
E-018673,M0_STOP_M1_TARGET,-1.3129094412332107,2.4999283165512844,3.812837757784495,SHORT,10117.0,10119.316964285714,10111.207589285714,949050,-1.3129094412332107,10120.089285714286,10109.276785714286,949056,2.4999283165512844
E-002367,M0_STOP_M1_TARGET,-1.3280808080807889,2.499890198157168,3.827971006237957,SHORT,6605.75,6607.959821428572,6600.225446428572,121162,-1.3280808080807889,6608.696428571428,6598.383928571428,121171,2.499890198157168
E-026073,M0_STOP_M1_TARGET,-1.118974358974359,2.4999506697852434,3.6189250287596026,SHORT,14705.0,14711.09375,14689.765625,1315885,-1.118974358974359,14713.125,14684.6875,1315889,2.4999506697852434
E-058018,M0_STOP_M1_TARGET,-1.2374269005847145,2.4999717345385837,3.737398635123298,LONG,25653.75,25650.696428571428,25661.383928571428,2882394,-1.2374269005847145,25649.678571428572,25663.928571428572,2882434,2.4999717345385837
E-040834,M0_STOP_M1_TARGET,-1.23233190271813,2.4999538740671143,3.732285776785244,LONG,15722.0,15718.879464285714,15729.801339285714,2045033,-1.23233190271813,15717.839285714286,15732.401785714286,2045036,2.4999538740671143
E-004247,M0_STOP_M1_TARGET,-1.7415525114156236,2.499895192538535,4.241447703954158,LONG,6918.75,6917.772321428572,6921.194196428572,220573,-1.7415525114156236,6917.446428571428,6922.008928571428,220579,2.499895192538535
E-021592,M0_STOP_M1_TARGET,-1.3785547785546244,2.4999395981641412,3.8784943767187654,LONG,12005.5,12003.58482142857,12010.28794642857,1096205,-1.3785547785546244,12002.94642857143,12011.88392857143,1096215,2.4999395981641412
E-001700,M0_STOP_M1_TARGET,-1.6683127572015661,2.499889826897976,4.168202584099542,LONG,6582.0,6580.915178571428,6584.712053571428,88275,-1.6683127572015661,6580.553571428572,6585.616071428572,88285,2.499889826897976
E-002056,M0_STOP_M1_TARGET,-1.3733333333332585,2.4998947927598762,3.8732281260931347,LONG,6893.75,6891.808035714285,6898.604910714285,105511,-1.3733333333332585,6891.160714285715,6900.223214285715,105539,2.4998947927598762
E-052871,M0_STOP_M1_TARGET,-1.0706701479547505,2.4999627633620833,3.570632911316834,SHORT,19483.75,19494.008928571428,19458.102678571428,2634646,-1.0706701479547505,19497.428571428572,19449.553571428572,2634672,2.4999627633620833
E-037750,M0_STOP_M1_TARGET,-1.2720268006699371,2.4999414138877945,3.771968214557732,SHORT,12378.5,12381.16517857143,12371.83705357143,1889095,-1.2720268006699371,12382.05357142857,12369.61607142857,1889099,2.4999414138877945
E-014852,M0_STOP_M1_TARGET,-2.8044444444421104,2.4999139743024714,5.304358418744582,LONG,8428.25,8427.848214285714,8429.254464285714,754467,-2.8044444444421104,8427.714285714286,8429.589285714286,754471,2.4999139743024714
E-010048,M0_STOP_M1_TARGET,-2.0826666666662463,2.4999023451593505,4.582569011825597,SHORT,7425.0,7425.669642857143,7423.325892857143,511004,-2.0826666666662463,7425.892857142857,7422.767857142857,511011,2.4999023451593505
E-002238,M0_STOP_M1_TARGET,-1.5205128205129177,2.4998960594765083,4.020408879989426,LONG,6977.0,6975.607142857143,6980.482142857143,114898,-1.5205128205129177,6975.142857142857,6981.642857142857,114898,2.4998960594765083
E-039709,M0_STOP_M1_TARGET,-1.0505446623093682,2.4999499633352027,3.550494625644571,SHORT,14508.5,14522.84375,14472.640625,1986516,-1.0505446623093682,14527.625,14460.6875,1986520,2.4999499633352027
E-005948,M0_STOP_M1_TARGET,-1.7415525114156236,2.4999027589163605,4.2414552703319846,SHORT,7457.0,7457.977678571428,7454.555803571428,302694,-1.7415525114156236,7458.303571428572,7453.741071428572,302701,2.4999027589163605
E-030709,M0_STOP_M1_TARGET,-1.0441544317563887,2.499945639366739,3.5441000711231276,SHORT,13358.75,13375.169642857143,13317.700892857143,1539956,-1.0441544317563887,13380.642857142857,13304.017857142857,1539960,2.499945639366739
E-061938,M0_STOP_M1_TARGET,-1.0580207216863142,2.49997529820121,3.5579960198875242,LONG,29366.75,29354.254464285714,29397.988839285714,3074215,-1.0580207216863142,29350.089285714286,29408.401785714286,3074219,2.49997529820121
E-044770,M0_STOP_M1_TARGET,-1.123592085235899,2.499958971000784,3.623551056236683,SHORT,17678.25,17684.116071428572,17663.584821428572,2237562,-1.123592085235899,17686.071428571428,17658.696428571428,2237571,2.499958971000784
E-035782,M0_STOP_M1_TARGET,-1.152919020715656,2.499934464334716,3.652853485050372,LONG,11069.0,11064.25892857143,11080.85267857143,1792110,-1.152919020715656,11062.67857142857,11084.80357142857,1792113,2.499934464334716
E-030298,M0_STOP_M1_TARGET,-1.141340295909501,2.4999509626893706,3.6412912585988715,SHORT,14791.5,14796.629464285714,14778.676339285714,1519363,-1.141340295909501,14798.339285714286,14774.401785714286,1519379,2.4999509626893706
