bar_i,ts_utc,ts_chicago,ts_ny,unix_ms,open,high,low,close,atr,m5_completed_ts,m15_completed_ts,m5_open,m5_high,m5_low,m5_close,m15_open,m15_high,m15_low,m15_close,ctxDir,ctxConf,bullSc,bearSc,ctxRs,locationScore_LONG,locationScore_SHORT,reactionScore_LONG,reactionScore_SHORT,totalArm_LONG,totalArm_SHORT,would_arm_LONG,would_arm_SHORT,engine_state,engine_decision,engine_dir,armedBar,armedPrice,pbExtreme,engine_total_score,rawTake_engine,evTotal,evLoc,evDir,evReact,evContra,phase58d_decision,p4_status,h1_status,canonical_signal,canonical_entry,trade_id,signal_trade_id,entry_price_canon,stop_m1,target_m1
3134041,2026-08-26 18:35:00+00:00,2026-08-26 13:35:00-05:00,2026-08-26 14:35:00-04:00,1787769300000,29297.25,29299.75,29293.0,29297.25,7.178571428571429,2026-08-26 13:35:00-05:00,2026-08-26 13:30:00-05:00,29297.25,29299.75,29290.0,29292.0,29279.75,29303.5,29275.75,29295.0,BULLISH,50,3,1,SWING_HL|MOM_BULL|M5_BEAR|M15_BULL,1,1,0,0,3,2,True,False,WATCH,WATCH,,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134042,2026-08-26 18:36:00+00:00,2026-08-26 13:36:00-05:00,2026-08-26 14:36:00-04:00,1787769360000,29297.25,29298.25,29293.5,29298.0,7.196428571428571,2026-08-26 13:35:00-05:00,2026-08-26 13:30:00-05:00,29297.25,29299.75,29290.0,29292.0,29279.75,29303.5,29275.75,29295.0,BULLISH,50,3,1,SWING_HL|MOM_BULL|M5_BEAR|M15_BULL,0,1,1,0,2,2,True,False,ARMED_LONG,ARMED,LONG,3134042,29298.0,29298.0,2,False,,,,,,,,,False,False,,,,,
3134043,2026-08-26 18:37:00+00:00,2026-08-26 13:37:00-05:00,2026-08-26 14:37:00-04:00,1787769420000,29298.0,29298.25,29292.75,29293.75,7.035714285714286,2026-08-26 13:35:00-05:00,2026-08-26 13:30:00-05:00,29297.25,29299.75,29290.0,29292.0,29279.75,29303.5,29275.75,29295.0,BULLISH,50,3,1,SWING_HL|MOM_BULL|M5_BEAR|M15_BULL,1,2,0,2,3,3,True,False,ARMED_LONG,ARMED,LONG,3134042,29298.0,29292.75,3,False,,,,,,,,,False,False,,,,,
3134044,2026-08-26 18:38:00+00:00,2026-08-26 13:38:00-05:00,2026-08-26 14:38:00-04:00,1787769480000,29294.0,29296.5,29290.0,29295.5,7.089285714285714,2026-08-26 13:35:00-05:00,2026-08-26 13:30:00-05:00,29297.25,29299.75,29290.0,29292.0,29279.75,29303.5,29275.75,29295.0,NEUTRAL,25,3,2,SWING_HH|SWING_HL|MOM_BEAR|M5_BEAR|M15_BULL,1,1,1,0,3,3,False,False,ARMED_LONG,WAIT,LONG,3134042,29298.0,29290.0,3,False,,,,,,,,,False,False,,,,,
3134045,2026-08-26 18:39:00+00:00,2026-08-26 13:39:00-05:00,2026-08-26 14:39:00-04:00,1787769540000,29295.0,29296.75,29290.75,29292.0,6.803571428571429,2026-08-26 13:35:00-05:00,2026-08-26 13:30:00-05:00,29297.25,29299.75,29290.0,29292.0,29279.75,29303.5,29275.75,29295.0,NEUTRAL,25,3,2,SWING_HH|SWING_HL|MOM_BEAR|M5_BEAR|M15_BULL,1,0,0,3,3,2,False,False,ARMED_LONG,ARMED,LONG,3134042,29298.0,29290.0,2,False,,,,,,,,,False,False,,,,,
3134046,2026-08-26 18:40:00+00:00,2026-08-26 13:40:00-05:00,2026-08-26 14:40:00-04:00,1787769600000,29292.0,29293.75,29288.5,29293.5,6.875,2026-08-26 13:40:00-05:00,2026-08-26 13:30:00-05:00,29292.0,29298.0,29288.0,29295.0,29279.75,29303.5,29275.75,29295.0,BULLISH,50,3,1,SWING_HH|MOM_BEAR|M5_BULL|M15_BULL,1,1,1,0,3,2,True,False,IN_LONG,TAKE_LONG,LONG,3134042,29298.0,29288.5,4,False,6.0,1.0,4.0,1.0,,TAKE,KEEP,KEEP,True,False,TRACE-063138,TRACE-063138,,,
3134047,2026-08-26 18:41:00+00:00,2026-08-26 13:41:00-05:00,2026-08-26 14:41:00-04:00,1787769660000,29293.25,29294.75,29290.75,29293.75,6.678571428571429,2026-08-26 13:40:00-05:00,2026-08-26 13:30:00-05:00,29292.0,29298.0,29288.0,29295.0,29279.75,29303.5,29275.75,29295.0,BULLISH,50,3,1,SWING_HH|MOM_BEAR|M5_BULL|M15_BULL,1,1,2,1,3,2,True,False,IN_LONG,HOLD,LONG,3134042,29298.0,29288.5,0,False,,,,,,,,,False,True,TRACE-063138,,29293.25,29286.571428571428,29309.946428571428
3134048,2026-08-26 18:42:00+00:00,2026-08-26 13:42:00-05:00,2026-08-26 14:42:00-04:00,1787769720000,29293.5,29298.0,29292.5,29292.75,6.839285714285714,2026-08-26 13:40:00-05:00,2026-08-26 13:30:00-05:00,29292.0,29298.0,29288.0,29295.0,29279.75,29303.5,29275.75,29295.0,BULLISH,75,3,0,SWING_HH|M5_BULL|M15_BULL,1,1,0,3,3,1,True,False,IN_LONG,HOLD,LONG,3134042,29298.0,29288.5,0,False,,,,,,,,,False,False,,,,,
3134049,2026-08-26 18:43:00+00:00,2026-08-26 13:43:00-05:00,2026-08-26 14:43:00-04:00,1787769780000,29292.0,29294.25,29288.0,29289.25,6.803571428571429,2026-08-26 13:40:00-05:00,2026-08-26 13:30:00-05:00,29292.0,29298.0,29288.0,29295.0,29279.75,29303.5,29275.75,29295.0,BULLISH,50,3,1,SWING_HH|MOM_BEAR|M5_BULL|M15_BULL,1,1,0,2,3,2,True,False,COOLDOWN,EXIT_STOP,LONG,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134050,2026-08-26 18:44:00+00:00,2026-08-26 13:44:00-05:00,2026-08-26 14:44:00-04:00,1787769840000,29289.5,29295.25,29288.5,29295.0,6.732142857142857,2026-08-26 13:40:00-05:00,2026-08-26 13:30:00-05:00,29292.0,29298.0,29288.0,29295.0,29279.75,29303.5,29275.75,29295.0,BULLISH,100,4,0,SWING_HH|MOM_BULL|M5_BULL|M15_BULL,1,1,2,0,3,1,True,False,COOLDOWN,WATCH,,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
3134051,2026-08-26 18:45:00+00:00,2026-08-26 13:45:00-05:00,2026-08-26 14:45:00-04:00,1787769900000,29295.0,29313.75,29294.75,29311.25,7.732142857142857,2026-08-26 13:45:00-05:00,2026-08-26 13:45:00-05:00,29295.0,29328.75,29294.75,29319.75,29295.0,29329.75,29294.75,29321.75,BULLISH,100,4,0,SWING_HH|MOM_BULL|M5_BULL|M15_BULL,0,1,2,0,2,1,True,False,COOLDOWN,WATCH,,-1,0.0,0.0,0,False,,,,,,,,,False,False,,,,,
