mode,slice,N,AvgR,PF,TotalR,WinRate,MaxDD,LONG,SHORT
original,year_2017,1605,0.5704511057636026,2.0377024895424083,915.5740247505822,0.44984423676012464,15.001814193707988,848,757
original,year_2018,6694,0.5594124513352121,2.0115422634898286,3744.7069492379096,0.4469674335225575,14.003436320023866,3475,3219
original,year_2019,6802,0.49937460121548,1.8767283377833002,3396.746037467695,0.4298735665980594,17.506046788626378,3530,3272
original,year_2020,6703,0.4952358447588371,1.8665086137316125,3319.565867418485,0.42786811875279723,19.00205594126919,3486,3217
original,year_2021,6988,0.5335568068830563,1.9536749559961142,3728.4949664987976,0.4398969662278191,16.000715730344382,3580,3408
original,year_2022,6946,0.5135684237145068,1.9088652813031675,3567.2462711209646,0.4337748344370861,21.627986015887927,3477,3469
original,year_2023,6822,0.5513058392913569,1.993762106359397,3761.008435645637,0.4448841981823512,17.501949991397396,3442,3380
original,year_2024,7059,0.538612096435132,1.9644740963588867,3802.0627887355963,0.44099730840062334,15.500765188372498,3614,3445
original,year_2025,7052,0.5191889584449261,1.9208582353446697,3661.3205349536183,0.4356211003970505,22.001035169433635,3609,3443
original,year_2026,4664,0.5654452679554067,2.0256076904655407,2637.236729744017,0.4481132075471698,16.00045007070139,2373,2291
causal_a,year_2017,1042,0.0650457662398727,1.0936047659407884,67.77768842194735,0.30518234165067176,34.52428160694215,562,480
causal_a,year_2018,3854,0.01964307991850642,1.0277956019812717,75.70443000592374,0.2926829268292683,65.21891154784862,2064,1790
causal_a,year_2019,3936,0.03488574818452181,1.0496893056274075,137.31030485427783,0.2967479674796748,91.52955579511143,2093,1843
causal_a,year_2020,3786,-0.016529931626372573,0.9769541694015197,-62.582321137446556,0.28182778658214475,199.76260474352165,2055,1731
causal_a,year_2021,3972,-0.010023961255027185,0.9859912285279089,-39.81517410496798,0.2837361530715005,134.753421646927,2156,1816
causal_a,year_2022,3864,-0.04094155289102702,0.9433993330196193,-158.1981603709284,0.275879917184265,185.13250456727698,1942,1922
causal_a,year_2023,3895,0.04351888242552231,1.0622128130039952,169.5060470474094,0.2998716302952503,79.42661147222547,2038,1857
causal_a,year_2024,3920,0.04795249035066941,1.0686395130626747,187.97376217462408,0.3012755102040816,56.28815388754964,2078,1842
causal_a,year_2025,3886,0.04067921391936141,1.0580044388171164,158.07942529063845,0.29850746268656714,58.01638246368197,2064,1822
causal_a,year_2026,2536,0.08325967970540593,1.120943968401511,211.14654773290945,0.3111198738170347,50.006002672371764,1348,1188
causal_b,year_2017,1690,0.19269609747392294,1.2930318360798156,325.65640473092975,0.34201183431952664,39.6401119754198,887,803
causal_b,year_2018,7159,0.1931384707318965,1.2938011081980858,1382.678311969647,0.3422265679564185,49.93389344052207,3731,3428
causal_b,year_2019,7123,0.15889531442666444,1.2382406456887813,1131.8113246611308,0.33244419486171556,47.225848643455464,3698,3425
causal_b,year_2020,7035,0.1669919757267193,1.251029131007507,1174.7885492374703,0.334044065387349,56.52609339221186,3620,3415
causal_b,year_2021,7411,0.18518473254311793,1.2809848349279627,1372.404052877047,0.3404398866549723,41.50647656042361,3798,3613
causal_b,year_2022,7363,0.16742772137762105,1.2521226150204754,1232.7703125034238,0.33532527502376747,29.002775640245545,3702,3661
causal_b,year_2023,7330,0.1746129370306741,1.2635799870227402,1279.9128284348412,0.3369713506139154,45.511129589414764,3723,3607
causal_b,year_2024,7304,0.18131496189805837,1.2746780497936694,1324.3244817034183,0.338855421686747,43.50798436610489,3746,3558
causal_b,year_2025,7204,0.22172111136408218,1.3414537931761097,1597.278886266848,0.35008328706274294,26.001529785109597,3721,3483
causal_b,year_2026,4883,0.18542198857549735,1.2810376472471174,905.4155702141536,0.33954536145812003,38.08158873090656,2515,2368
