trade_id,opportunity_ts,take_ts,entry_ts,direction,entry_price,outcome,net_R,m5_O,m5_H,m5_L,m5_C,m15_O,m15_H,m15_L,m15_C
P60-009139,2020-01-14 10:44:00-06:00,2020-01-14 10:44:00-06:00,2020-01-14 10:45:00-06:00,LONG,9062.5,TARGET,2.4999199746126357,9068.5,9068.75,9059.75,9062.5,9065.0,9069.5,9059.75,9062.5
P60-004767,2018-12-10 23:02:00-06:00,2018-12-10 23:02:00-06:00,2018-12-10 23:03:00-06:00,LONG,6674.0,TARGET,2.499891341874326,6674.25,6675.0,6672.75,6675.0,6674.25,6675.0,6672.75,6675.0
P60-022116,2023-03-21 01:41:00-05:00,2023-03-21 01:41:00-05:00,2023-03-21 01:42:00-05:00,LONG,12703.25,TARGET,2.499942916195069,12705.0,12705.0,12702.25,12703.0,12701.75,12706.5,12699.0,12703.0
P60-009196,2020-01-19 17:07:00-06:00,2020-01-19 17:07:00-06:00,2020-01-19 17:08:00-06:00,LONG,9175.25,TARGET,2.4999209632362245,9170.25,9175.25,9170.25,9175.25,9174.0,9179.25,9168.0,9175.25
P60-035884,2026-08-05 06:01:00-05:00,2026-08-05 06:01:00-05:00,2026-08-05 06:02:00-05:00,LONG,29892.0,TARGET,2.4999757372354554,29865.5,29892.75,29865.5,29892.0,29865.5,29892.75,29865.5,29892.0
P60-005994,2019-04-01 02:32:00-05:00,2019-04-01 02:32:00-05:00,2019-04-01 02:33:00-05:00,LONG,7473.0,TARGET,2.499902962975356,7474.0,7474.0,7472.25,7473.0,7474.0,7474.0,7472.25,7473.0
P60-010189,2020-04-26 23:02:00-05:00,2020-04-26 23:02:00-05:00,2020-04-26 23:03:00-05:00,LONG,8843.0,TARGET,2.4999179718437343,8836.75,8848.0,8834.75,8842.75,8836.75,8848.0,8834.75,8842.75
P60-010547,2020-05-29 13:59:00-05:00,2020-05-29 13:59:00-05:00,2020-05-29 14:00:00-05:00,LONG,9497.5,TARGET,2.499923462655054,9425.5,9498.5,9408.5,9497.5,9461.0,9498.5,9391.75,9497.5
P60-015141,2021-07-14 22:24:00-05:00,2021-07-14 22:24:00-05:00,2021-07-14 22:25:00-05:00,LONG,14903.25,TARGET,2.4999513467716907,14905.0,14905.5,14901.75,14903.0,14903.5,14908.75,14901.75,14903.0
P60-035704,2026-07-20 19:18:00-05:00,2026-07-20 19:18:00-05:00,2026-07-20 19:19:00-05:00,LONG,28767.75,TARGET,2.499974776138227,28740.0,28772.5,28709.0,28768.75,28740.0,28772.5,28709.0,28768.75
P60-019893,2022-09-12 12:51:00-05:00,2022-09-12 12:51:00-05:00,2022-09-12 12:52:00-05:00,LONG,12734.0,STOP,-1.0000569636681236,12723.75,12734.5,12721.75,12733.75,12714.0,12734.5,12710.75,12733.75
P60-034053,2026-02-23 05:16:00-06:00,2026-02-23 05:16:00-06:00,2026-02-23 05:17:00-06:00,LONG,24987.25,STOP,-1.0000290204386804,24977.75,24987.25,24977.0,24986.0,24977.75,24987.25,24977.0,24986.0
P60-035061,2026-05-20 22:02:00-05:00,2026-05-20 22:02:00-05:00,2026-05-20 22:03:00-05:00,LONG,29339.25,STOP,-1.0000247167767862,29329.75,29341.0,29325.25,29339.5,29329.75,29341.0,29325.25,29339.5
P60-030370,2025-04-07 03:04:00-05:00,2025-04-07 03:04:00-05:00,2025-04-07 03:05:00-05:00,LONG,16869.5,STOP,-1.0000430921939445,16683.0,16872.5,16668.5,16869.75,16683.0,16872.5,16668.5,16869.75
P60-005360,2019-02-01 15:01:00-06:00,2019-02-01 15:01:00-06:00,2019-02-01 15:02:00-06:00,LONG,6879.5,STOP,-1.0001054288043958,6879.0,6882.5,6877.0,6879.5,6879.0,6882.5,6877.0,6879.5
P60-033074,2025-11-27 19:13:00-06:00,2025-11-27 19:13:00-06:00,2025-11-27 19:14:00-06:00,LONG,25359.5,STOP,-1.0000285958185307,25354.75,25360.25,25345.5,25360.0,25340.0,25360.25,25336.0,25360.0
P60-001855,2018-03-19 20:11:00-05:00,2018-03-19 20:11:00-05:00,2018-03-19 20:12:00-05:00,LONG,6900.0,STOP,-1.000105105105105,6896.75,6903.5,6896.75,6900.0,6888.5,6903.5,6886.25,6900.0
P60-015160,2021-07-16 08:34:00-05:00,2021-07-16 08:34:00-05:00,2021-07-16 08:35:00-05:00,LONG,14864.5,STOP,-1.0000488053507974,14829.75,14869.0,14826.5,14864.5,14829.75,14869.0,14826.5,14864.5
