signal_i,entry_i,direction,entry_price,stop_price,risk_pts,risk_atr,gross_R,cost_R,net_R,exit_reason,exit_i,max_mfe_R,realization_efficiency,duration,events,hit_25r,hit_3r,entry_ts,year
115,116,LONG,5993.0,5992.34375,0.65625,1.75,2.5,0.0,2.5,TARGET,124,2.6666666666666665,0.9375,8,ENTRY:EARLY_LOCATION,True,False,2017-10-01 18:56:00-05:00,2017
122,123,SHORT,5992.75,5993.46875,0.71875,1.75,-1.0,0.0,-1.0,STOP,123,0.0,0.0,0,ENTRY:EARLY_LOCATION,False,False,2017-10-01 19:03:00-05:00,2017
164,165,LONG,5991.5,5990.8125,0.6875,1.75,-1.0,0.0,-1.0,STOP,173,0.7272727272727273,-1.375,8,ENTRY:EARLY_LOCATION,False,False,2017-10-01 19:46:00-05:00,2017
253,254,SHORT,5990.25,5990.8125,0.5625,1.7499999999999998,2.5,0.0,2.5,TARGET,266,4.0,0.625,12,ENTRY:EARLY_LOCATION,True,True,2017-10-01 21:16:00-05:00,2017
313,314,LONG,5991.0,5990.40625,0.59375,1.75,-1.0,0.0,-1.0,STOP,328,1.263157894736842,-0.7916666666666667,14,ENTRY:EARLY_LOCATION,False,False,2017-10-01 22:17:00-05:00,2017
334,335,SHORT,5991.25,5991.5,0.25,1.0769230769230769,2.5,0.0,2.5,TARGET,335,3.0,0.8333333333333334,0,ENTRY:EARLY_LOCATION,True,True,2017-10-01 22:38:00-05:00,2017
342,343,LONG,5992.25,5991.25,1.0,1.75,-1.0,0.0,-1.0,STOP,344,0.0,0.0,1,ENTRY:EARLY_LOCATION,False,False,2017-10-01 22:46:00-05:00,2017
361,362,SHORT,5990.0,5990.625,0.625,1.75,-1.0,0.0,-1.0,STOP,373,0.4,-2.5,11,ENTRY:EARLY_LOCATION,False,False,2017-10-01 23:06:00-05:00,2017
387,388,LONG,5991.0,5990.5625,0.4375,1.75,2.5,0.0,2.5,TARGET,397,4.0,0.625,9,ENTRY:EARLY_LOCATION,True,True,2017-10-01 23:33:00-05:00,2017
413,414,SHORT,5990.75,5991.34375,0.59375,1.75,-1.0,0.0,-1.0,STOP,416,0.0,0.0,2,ENTRY:EARLY_LOCATION,False,False,2017-10-02 00:02:00-05:00,2017
442,443,LONG,5992.25,5991.625,0.625,1.75,-1.0,0.0,-1.0,STOP,448,0.8,-1.25,5,ENTRY:EARLY_LOCATION,False,False,2017-10-02 00:37:00-05:00,2017
466,467,SHORT,5991.25,5992.21875,0.96875,1.75,2.5,0.0,2.5,TARGET,514,2.5806451612903225,0.96875,47,ENTRY:EARLY_LOCATION,True,False,2017-10-02 01:03:00-05:00,2017
475,476,LONG,5991.5,5990.625,0.875,1.75,-1.0,0.0,-1.0,STOP,480,0.2857142857142857,-3.5,4,ENTRY:EARLY_LOCATION,False,False,2017-10-02 01:12:00-05:00,2017
500,501,SHORT,5989.5,5989.90625,0.40625,1.75,-1.0,0.0,-1.0,STOP,504,0.0,0.0,3,ENTRY:EARLY_LOCATION,False,False,2017-10-02 01:37:00-05:00,2017
545,546,LONG,5989.75,5988.59375,1.15625,1.75,-1.0,0.0,-1.0,STOP,551,0.43243243243243246,-2.3125,5,ENTRY:EARLY_LOCATION,False,False,2017-10-02 02:23:00-05:00,2017
552,553,SHORT,5988.25,5989.3125,1.0625,1.7500000000000002,2.5,0.0,2.5,TARGET,589,2.588235294117647,0.9659090909090908,36,ENTRY:EARLY_LOCATION,True,False,2017-10-02 02:30:00-05:00,2017
614,615,LONG,5987.5,5986.78125,0.71875,1.75,-1.0,0.0,-1.0,STOP,622,2.4347826086956523,-0.4107142857142857,7,ENTRY:EARLY_LOCATION,False,False,2017-10-02 03:33:00-05:00,2017
626,627,SHORT,5985.5,5986.4375,0.9375,1.75,-1.0,0.0,-1.0,STOP,652,1.6,-0.625,25,ENTRY:EARLY_LOCATION,False,False,2017-10-02 03:45:00-05:00,2017
655,656,LONG,5987.25,5986.40625,0.84375,1.75,2.5,0.0,2.5,TARGET,673,4.444444444444445,0.5625,17,ENTRY:EARLY_LOCATION,True,True,2017-10-02 04:14:00-05:00,2017
767,768,SHORT,5995.25,5996.125,0.875,1.75,2.5,0.0,2.5,TARGET,772,2.857142857142857,0.875,4,ENTRY:EARLY_LOCATION,True,False,2017-10-02 06:06:00-05:00,2017
799,800,LONG,5997.5,5996.25,1.25,1.75,-1.0,0.0,-1.0,STOP,804,0.0,0.0,4,ENTRY:EARLY_LOCATION,False,False,2017-10-02 06:38:00-05:00,2017
827,828,SHORT,5996.0,5996.875,0.875,1.75,-1.0,0.0,-1.0,STOP,831,0.0,0.0,3,ENTRY:EARLY_LOCATION,False,False,2017-10-02 07:06:00-05:00,2017
905,906,LONG,5989.75,5989.174107142857,0.5758928571428572,0.75,-1.0000000000004512,0.0,-1.0000000000004512,STOP,907,0.0,0.0,1,ENTRY:EARLY_LOCATION,False,False,2017-10-02 08:24:00-05:00,2017
980,981,SHORT,6005.0,6006.75,1.75,0.8521739130434783,-1.0,0.0,-1.0,STOP,987,2.142857142857143,-0.4666666666666667,6,ENTRY:EARLY_LOCATION,False,False,2017-10-02 09:39:00-05:00,2017
1088,1089,LONG,5976.0,5972.0625,3.9375,1.75,0.7619047619047619,0.0,0.7619047619047619,TIME,1148,1.8412698412698412,0.41379310344827586,59,ENTRY:EARLY_LOCATION,False,False,2017-10-02 11:27:00-05:00,2017
1170,1171,SHORT,5979.25,5980.75,1.5,0.9882352941176471,-1.0,0.0,-1.0,STOP,1181,1.5,-0.6666666666666666,10,ENTRY:EARLY_LOCATION,False,False,2017-10-02 12:49:00-05:00,2017
1189,1190,LONG,5979.5,5977.09375,2.40625,1.75,-1.0,0.0,-1.0,STOP,1199,0.935064935064935,-1.0694444444444444,9,ENTRY:EARLY_LOCATION,False,False,2017-10-02 13:08:00-05:00,2017
1202,1203,SHORT,5976.5,5978.4375,1.9375,1.75,-1.0,0.0,-1.0,STOP,1206,0.25806451612903225,-3.875,3,ENTRY:EARLY_LOCATION,False,False,2017-10-02 13:21:00-05:00,2017
1215,1216,LONG,5986.5,5983.5625,2.9375,1.75,-1.0,0.0,-1.0,STOP,1220,0.425531914893617,-2.35,4,ENTRY:EARLY_LOCATION,False,False,2017-10-02 13:34:00-05:00,2017
1244,1245,SHORT,5980.5,5982.9375,2.4375,1.75,-1.0,0.0,-1.0,STOP,1251,0.10256410256410256,-9.75,6,ENTRY:EARLY_LOCATION,False,False,2017-10-02 14:03:00-05:00,2017
1252,1253,LONG,5983.5,5980.90625,2.59375,1.75,-1.0,0.0,-1.0,STOP,1256,0.0,0.0,3,ENTRY:EARLY_LOCATION,False,False,2017-10-02 14:11:00-05:00,2017
