signal_i,atr,orig_dir,family,decision,direction,trigger_i,entry_i,delay_bars,reason,invalidation,chase_atr,level_name
122,0.4107142857142857,SHORT,E2,TAKE,LONG,124,125,3,E2_BREAK_ACCEPT_HIGH_LONG,5994.0,4.869565217391305,hi_5
164,0.39285714285714285,LONG,E2,TAKE,LONG,164,165,1,E2_BREAK_ACCEPT_HIGH_LONG,5991.25,1.2727272727272727,hi_5
361,0.35714285714285715,SHORT,E2,TAKE,SHORT,364,365,4,E2_BREAK_ACCEPT_LOW_SHORT,5990.0,1.4,lo_5
413,0.3392857142857143,SHORT,E2,TAKE,LONG,416,417,4,E2_BREAK_ACCEPT_HIGH_LONG,5990.75,1.4736842105263157,hi_5
442,0.35714285714285715,LONG,E2,TAKE,LONG,442,443,1,E2_BREAK_ACCEPT_HIGH_LONG,5992.25,2.8,hi_5
475,0.5,LONG,E2,TAKE,LONG,475,476,1,E2_BREAK_ACCEPT_HIGH_LONG,5990.5,2.0,hi_5
545,0.6607142857142857,LONG,E2,TAKE,SHORT,547,548,3,E2_BREAK_ACCEPT_LOW_SHORT,5989.5,0.7567567567567568,lo_5
552,0.6071428571428571,SHORT,E2,TAKE,SHORT,553,554,2,E2_BREAK_ACCEPT_LOW_SHORT,5988.25,1.647058823529412,lo_5
614,0.4107142857142857,LONG,E2,TAKE,LONG,614,615,1,E2_BREAK_ACCEPT_HIGH_LONG,5987.0,1.2173913043478262,hi_5
626,0.5357142857142857,SHORT,E2,TAKE,SHORT,627,628,2,E2_BREAK_ACCEPT_LOW_SHORT,5985.5,0.9333333333333333,lo_5
655,0.48214285714285715,LONG,E2,TAKE,LONG,658,659,4,E2_BREAK_ACCEPT_HIGH_LONG,5987.5,3.6296296296296298,hi_5
767,0.5,SHORT,E2,TAKE,SHORT,769,770,3,E2_BREAK_ACCEPT_LOW_SHORT,5995.25,2.0,lo_5
799,0.7142857142857143,LONG,E2,TAKE,LONG,799,800,1,E2_BREAK_ACCEPT_HIGH_LONG,5997.25,0.7,hi_5
827,0.5,SHORT,E2,TAKE,SHORT,827,828,1,E2_BREAK_ACCEPT_LOW_SHORT,5996.5,2.5,lo_5
905,0.7678571428571429,LONG,E2,TAKE,SHORT,907,908,3,E2_BREAK_ACCEPT_LOW_SHORT,5989.5,1.627906976744186,lo_5
980,2.0535714285714284,SHORT,E2,TAKE,SHORT,983,984,4,E2_BREAK_ACCEPT_LOW_SHORT,6003.5,1.2173913043478262,lo_5
1088,2.25,LONG,E2,TAKE,LONG,1089,1090,2,E2_BREAK_ACCEPT_HIGH_LONG,5976.25,0.8888888888888888,hi_5
1189,1.375,LONG,E2,TAKE,LONG,1190,1191,2,E2_BREAK_ACCEPT_HIGH_LONG,5980.0,1.0909090909090908,hi_5
1215,1.6785714285714286,LONG,E2,TAKE,SHORT,1218,1219,4,E2_BREAK_ACCEPT_LOW_SHORT,5985.75,0.44680851063829785,lo_5
1244,1.3928571428571428,SHORT,E2,TAKE,SHORT,1244,1245,1,E2_BREAK_ACCEPT_LOW_SHORT,5981.0,1.794871794871795,lo_5
1260,1.5357142857142858,SHORT,E2,TAKE,LONG,1263,1264,4,E2_BREAK_ACCEPT_HIGH_LONG,5980.5,2.2790697674418605,hi_5
1274,1.5714285714285714,LONG,E2,TAKE,SHORT,1275,1276,2,E2_BREAK_ACCEPT_LOW_SHORT,5981.5,0.7954545454545455,lo_5
1384,0.23214285714285715,LONG,E2,TAKE,LONG,1384,1385,1,E2_BREAK_ACCEPT_HIGH_LONG,5983.0,1.0769230769230769,hi_5
