family,direction,setup_i,trigger_i,entry_i,entry_ts,setup_ts,origin,invalidation,delay,chase_atr,reason,level,+2_before_-1,mfe_15m,mae_15m,gross_R,cost_R,net_R
A,LONG,2133326,2133328,2133329,2023-10-26 11:26:00-05:00,2023-10-26 11:23:00-05:00,14160.25,14171.75,3,2.016304347826087,A_RESUMPTION_LONG,exp_origin,False,0.6945169712793734,2.558746736292428,-1.0,0.04622566321302501,-1.046225663213025
A,SHORT,2461064,2461069,2461070,2024-09-30 14:05:00-05:00,2024-09-30 13:59:00-05:00,20175.0,20153.75,6,2.3399433427762037,A_RESUMPTION_SHORT,exp_origin,True,2.132183908045977,1.3275862068965516,-1.0,0.08172302737521757,-1.0817230273752176
A,SHORT,1881382,1881387,1881388,2023-02-10 11:39:00-06:00,2023-02-10 11:33:00-06:00,12293.0,12283.0,6,2.03338898163606,A_RESUMPTION_SHORT,exp_origin,False,0.3993288590604027,2.0671140939597317,-1.0,0.05902878743821103,-1.059028787438211
A,LONG,277961,277971,277972,2018-07-19 17:23:00-05:00,2018-07-19 17:12:00-05:00,7381.5,7388.25,11,6.379746835443037,A_RESUMPTION_LONG,exp_origin,False,0.958904109589041,3.452054794520548,-1.0,0.3131507905899939,-1.313150790589994
A,LONG,1304088,1304090,1304091,2021-06-27 21:37:00-05:00,2021-06-27 21:34:00-05:00,14337.0,14341.5,3,4.375,A_RESUMPTION_LONG,exp_origin,False,1.6310679611650487,1.3592233009708738,2.0,0.23447877562813516,1.7655212243718648
A,SHORT,937358,937362,937363,2020-06-10 10:32:00-05:00,2020-06-10 10:27:00-05:00,10069.75,10064.25,5,2.1411764705882352,A_RESUMPTION_SHORT,exp_origin,False,1.9296187683284458,2.873900293255132,-1.0,0.09289554970826457,-1.0928955497082646
A,SHORT,2698761,2698763,2698764,2025-06-04 05:01:00-05:00,2025-06-04 04:58:00-05:00,21744.0,21737.5,3,2.6294416243654823,A_RESUMPTION_SHORT,exp_origin,False,0.7734806629834254,8.740331491712707,-1.0,0.2490033731983343,-1.2490033731983343
A,LONG,1122010,1122014,1122015,2020-12-17 11:06:00-06:00,2020-12-17 11:01:00-06:00,12683.75,12713.25,5,6.660194174757281,A_RESUMPTION_LONG,exp_origin,False,0.45016077170418006,3.8713826366559485,-1.0,0.0963112323567779,-1.0963112323567779
A,LONG,1937236,1937240,1937241,2023-04-10 11:28:00-05:00,2023-04-10 11:23:00-05:00,13023.75,13039.0,5,4.881578947368421,A_RESUMPTION_LONG,exp_origin,True,10.477124183006536,0.869281045751634,2.0,0.06291647295831083,1.937083527041689
A,LONG,1396959,1396964,1396965,2021-09-29 12:51:00-05:00,2021-09-29 12:45:00-05:00,14711.0,14730.25,6,3.246376811594203,A_RESUMPTION_LONG,exp_origin,True,2.7599364069952306,0.37837837837837834,2.0,0.041879416163803085,1.9581205838361968
A,LONG,397406,397408,397409,2018-11-20 10:39:00-06:00,2018-11-20 10:36:00-06:00,6552.75,6588.0,3,4.034267912772586,A_RESUMPTION_LONG,exp_origin,False,1.536050156739812,1.536050156739812,-1.0,0.06266399135669141,-1.0626639913566913
A,SHORT,698969,698971,698972,2019-10-02 08:34:00-05:00,2019-10-02 08:31:00-05:00,7655.5,7640.5,3,4.57516339869281,A_RESUMPTION_SHORT,exp_origin,True,4.681672025723472,0.22508038585209003,2.0,0.07054122144036104,1.9294587785596389
A,LONG,1758115,1758121,1758122,2022-10-05 15:13:00-05:00,2022-10-05 15:06:00-05:00,11611.75,11643.75,7,4.003787878787879,A_RESUMPTION_LONG,exp_origin,False,0.7252252252252253,2.081081081081081,-1.0,0.11795467751307978,-1.1179546775130798
A,LONG,1354228,1354232,1354233,2021-08-17 09:24:00-05:00,2021-08-17 09:19:00-05:00,14952.5,14962.25,5,1.8700361010830326,A_RESUMPTION_LONG,exp_origin,True,3.4956521739130433,0.3130434782608696,2.0,0.038731218697829715,1.9612687813021703
A,LONG,1365783,1365786,1365787,2021-08-29 18:58:00-05:00,2021-08-29 18:54:00-05:00,15449.75,15451.75,4,2.9382716049382718,A_RESUMPTION_LONG,exp_origin,False,1.2098765432098766,7.08641975308642,-1.0,0.3121876201460557,-1.3121876201460556
A,LONG,36877,36886,36887,2017-11-08 04:42:00-06:00,2017-11-08 04:32:00-06:00,6314.75,6317.75,10,6.0,A_RESUMPTION_LONG,exp_origin,False,1.4736842105263157,0.3684210526315789,-1.0,0.9248291571749081,-1.924829157174908
A,LONG,1614541,1614543,1614544,2022-05-11 22:09:00-05:00,2022-05-11 22:06:00-05:00,12019.0,12025.5,3,3.0067114093959733,A_RESUMPTION_LONG,exp_origin,False,0.56,2.66,-1.0,0.0742230347349197,-1.0742230347349198
A,LONG,1112285,1112289,1112290,2020-12-08 08:13:00-06:00,2020-12-08 08:08:00-06:00,12557.5,12564.0,5,4.217948717948718,A_RESUMPTION_LONG,exp_origin,True,3.2941176470588234,0.7320261437908496,2.0,0.13459307144042665,1.8654069285595734
A,LONG,973651,973654,973655,2020-07-17 06:55:00-05:00,2020-07-17 06:51:00-05:00,10595.0,10600.0,4,3.1818181818181817,A_RESUMPTION_LONG,exp_origin,True,4.634482758620689,0.28965517241379307,2.0,0.18688147295744736,1.8131185270425527
A,SHORT,2291652,2291655,2291656,2024-04-09 22:37:00-05:00,2024-04-09 22:33:00-05:00,18383.0,18381.0,4,2.7017543859649122,A_RESUMPTION_SHORT,exp_origin,True,3.8387096774193545,0.22580645161290322,2.0,0.900221729489906,1.099778270510094
A,SHORT,2372544,2372546,2372547,2024-07-01 22:20:00-05:00,2024-07-01 22:17:00-05:00,19973.5,19970.25,3,2.635294117647059,A_RESUMPTION_SHORT,exp_origin,False,1.011111111111111,2.6444444444444444,-1.0,0.14763636363637925,-1.1476363636363793
A,LONG,328768,328771,328772,2018-09-11 03:21:00-05:00,2018-09-11 03:17:00-05:00,7467.75,7469.0,4,2.8000000000000003,A_RESUMPTION_LONG,exp_origin,False,1.25,4.75,-1.0,0.4027777777777371,-1.402777777777737
A,LONG,2862786,2862788,2862789,2025-11-18 19:21:00-06:00,2025-11-18 19:18:00-06:00,24510.25,24546.5,3,5.422535211267606,A_RESUMPTION_LONG,exp_origin,True,2.2820809248554914,0.5988439306358382,-1.0,0.01541820943700716,-1.0154182094370072
A,SHORT,516289,516294,516295,2019-03-26 20:12:00-05:00,2019-03-26 20:06:00-05:00,7378.25,7372.5,6,2.6344086021505375,A_RESUMPTION_SHORT,exp_origin,False,0.7909604519774012,1.8192090395480227,-1.0,0.22957308453491848,-1.2295730845349184
